GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	C9XI63	TEP1	involved_in	GO:0002376	immune system process	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0391	7165	Anopheles gambiae	UniProt	Thioester-containing protein 1 allele S3	20260105
UniProtKB	C9XI63	TEP1	enables	GO:0004866	endopeptidase inhibitor activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001599|InterPro:IPR002890	7165	Anopheles gambiae	InterPro	Thioester-containing protein 1 allele S3	20260105
UniProtKB	C9XI63	TEP1	located_in	GO:0005576	extracellular region	cellular_component	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR009048|InterPro:IPR036595|UniProtKB-SubCell:SL-0243	7165	Anopheles gambiae	UniProt	Thioester-containing protein 1 allele S3	20260105
UniProtKB	C9XI63	TEP1	located_in	GO:0005615	extracellular space	cellular_component	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00027728|InterPro:IPR011626	7165	Anopheles gambiae	UniProt	Thioester-containing protein 1 allele S3	20260105
UniProtKB	C9XI63	TEP1	located_in	GO:0005615	extracellular space	cellular_component	ECO:0000314	IDA	PMID:25012124		7165	Anopheles gambiae	UniProt	Thioester-containing protein 1 allele S3	20220302
UniProtKB	C9XI63	TEP1	involved_in	GO:0048023	positive regulation of melanin biosynthetic process	biological_process	ECO:0000315	IMP	PMID:25012124		7165	Anopheles gambiae	UniProt	Thioester-containing protein 1 allele S3	20220302
UniProtKB	C9XI63	TEP1	involved_in	GO:0140367	antibacterial innate immune response	biological_process	ECO:0000315	IMP	PMID:25012124		7165	Anopheles gambiae	UniProt	Thioester-containing protein 1 allele S3	20220302
UniProtKB	C9XI63	TEP1	involved_in	GO:0140546	defense response to symbiont	biological_process	ECO:0000315	IMP	PMID:25012124		7165	Anopheles gambiae	UniProt	Thioester-containing protein 1 allele S3	20220302
UniProtKB	C9XI63	TEP1	located_in	GO:0005615	extracellular space	cellular_component	ECO:0000314	IDA	PMID:15006349		7165	Anopheles gambiae	UniProt	Thioester-containing protein 1 allele S3	20220301
UniProtKB	C9XI63	TEP1	involved_in	GO:0140546	defense response to symbiont	biological_process	ECO:0000314	IDA	PMID:15006349		7165	Anopheles gambiae	UniProt	Thioester-containing protein 1 allele S3	20220301
UniProtKB	C9XI63	TEP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:19286136	UniProtKB:A7URS6|UniProtKB:Q7Q5N3	7165	Anopheles gambiae	UniProt	Thioester-containing protein 1 allele S3	20220228
UniProtKB	C9XI63	TEP1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:24039584	UniProtKB:A0A1S4HE51	7165	Anopheles gambiae	UniProt	Thioester-containing protein 1 allele S3	20220228
UniProtKB	C9XI63	TEP1	located_in	GO:0005576	extracellular region	cellular_component	ECO:0000314	IDA	PMID:23166497		7165	Anopheles gambiae	UniProt	Thioester-containing protein 1 allele S3	20220228
UniProtKB	C9XI63	TEP1	located_in	GO:0005576	extracellular region	cellular_component	ECO:0000314	IDA	PMID:24039584		7165	Anopheles gambiae	UniProt	Thioester-containing protein 1 allele S3	20220228
UniProtKB	C9XI63	TEP1	located_in	GO:0005615	extracellular space	cellular_component	ECO:0000314	IDA	PMID:19286136		7165	Anopheles gambiae	UniProt	Thioester-containing protein 1 allele S3	20220228
UniProtKB	C9XI63	TEP1	involved_in	GO:0048023	positive regulation of melanin biosynthetic process	biological_process	ECO:0000315	IMP	PMID:23166497		7165	Anopheles gambiae	UniProt	Thioester-containing protein 1 allele S3	20220228
UniProtKB	C9XI63	TEP1	involved_in	GO:0048023	positive regulation of melanin biosynthetic process	biological_process	ECO:0000315	IMP	PMID:24039584		7165	Anopheles gambiae	UniProt	Thioester-containing protein 1 allele S3	20220228
UniProtKB	C9XI63	TEP1	involved_in	GO:0048023	positive regulation of melanin biosynthetic process	biological_process	ECO:0000315	IMP	PMID:30690067		7165	Anopheles gambiae	UniProt	Thioester-containing protein 1 allele S3	20220228
UniProtKB	C9XI63	TEP1	involved_in	GO:0061760	antifungal innate immune response	biological_process	ECO:0000315	IMP	PMID:23166497		7165	Anopheles gambiae	UniProt	Thioester-containing protein 1 allele S3	20220228
UniProtKB	C9XI63	TEP1	involved_in	GO:0098743	cell aggregation	biological_process	ECO:0000315	IMP	PMID:30690067		7165	Anopheles gambiae	UniProt	Thioester-containing protein 1 allele S3	20220228
UniProtKB	C9XI63	TEP1	involved_in	GO:0140367	antibacterial innate immune response	biological_process	ECO:0000315	IMP	PMID:24039584		7165	Anopheles gambiae	UniProt	Thioester-containing protein 1 allele S3	20220228
UniProtKB	C9XI63	TEP1	involved_in	GO:0140367	antibacterial innate immune response	biological_process	ECO:0000315	IMP	PMID:30690067		7165	Anopheles gambiae	UniProt	Thioester-containing protein 1 allele S3	20220228
UniProtKB	C9XI63	TEP1	involved_in	GO:0140546	defense response to symbiont	biological_process	ECO:0000315	IMP	PMID:24039584		7165	Anopheles gambiae	UniProt	Thioester-containing protein 1 allele S3	20220228
