GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q8GYY1	HSFA3	enables	GO:0003700	DNA-binding transcription factor activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	CGD:CAL0000195882|FB:FBgn0001222|MGI:MGI:2685585|PANTHER:PTN007416549|PomBase:SPAC2E12.02|PomBase:SPAC8C9.14|SGD:S000001249|SGD:S000003041|SGD:S000005666|TAIR:locus:2057371|TAIR:locus:2149050|UniProtKB:P38529|UniProtKB:P38531|UniProtKB:Q00613|UniProtKB:Q03933|UniProtKB:Q5KMX8|UniProtKB:Q9ULV5|WB:WBGene00002004	3702	Arabidopsis thaliana	GO_Central	Heat stress transcription factor A-3	20250902
UniProtKB	Q8GYY1	HSFA3	enables	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:96238|MGI:MGI:96239|PANTHER:PTN007416549|PomBase:SPAC2E12.02|PomBase:SPAC8C9.14|SGD:S000005666|UniProtKB:P38529|UniProtKB:P38531|UniProtKB:Q00613|UniProtKB:Q03933|UniProtKB:Q9ULV5	3702	Arabidopsis thaliana	GO_Central	Heat stress transcription factor A-3	20250514
UniProtKB	Q8GYY1	HSFA3	is_active_in	GO:0005634	nucleus	cellular_component	ECO:0000318	IBA	GO_REF:0000033	CGD:CAL0000178027|CGD:CAL0000195882|FB:FBgn0001222|MGI:MGI:2685585|MGI:MGI:3045337|MGI:MGI:96238|MGI:MGI:96239|PANTHER:PTN007416549|PomBase:SPAC2E12.02|PomBase:SPAC8C9.14|SGD:S000001249|SGD:S000003041|SGD:S000005666|TAIR:locus:2005495|TAIR:locus:2057371|TAIR:locus:2075447|TAIR:locus:2117139|TAIR:locus:2139792|TAIR:locus:2144603|TAIR:locus:2149050|TAIR:locus:2174043|TAIR:locus:2204750|UniProtKB:I1LGH5|UniProtKB:I1MPZ9|UniProtKB:K7LH36|UniProtKB:P38529|UniProtKB:P38530|UniProtKB:P38531|UniProtKB:Q00613|UniProtKB:Q03933|UniProtKB:Q43457|UniProtKB:Q942D6|UniProtKB:Q96LI6|UniProtKB:Q9UBD0|UniProtKB:Q9ULV5|WB:WBGene00002004	3702	Arabidopsis thaliana	GO_Central	Heat stress transcription factor A-3	20250514
UniProtKB	Q8GYY1	HSFA3	involved_in	GO:0034605	cellular response to heat	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000797409|TAIR:locus:2057371	3702	Arabidopsis thaliana	GO_Central	Heat stress transcription factor A-3	20200626
UniProtKB	Q8GYY1	HSFA3	enables	GO:0003677	DNA binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0238	3702	Arabidopsis thaliana	UniProt	Heat stress transcription factor A-3	20251103
UniProtKB	Q8GYY1	HSFA3	enables	GO:0003700	DNA-binding transcription factor activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000232	3702	Arabidopsis thaliana	InterPro	Heat stress transcription factor A-3	20251103
UniProtKB	Q8GYY1	HSFA3	located_in	GO:0005634	nucleus	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0191	3702	Arabidopsis thaliana	UniProt	Heat stress transcription factor A-3	20251103
UniProtKB	Q8GYY1	HSFA3	involved_in	GO:0006355	regulation of DNA-templated transcription	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000232	3702	Arabidopsis thaliana	InterPro	Heat stress transcription factor A-3	20251103
UniProtKB	Q8GYY1	HSFA3	enables	GO:0043565	sequence-specific DNA binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000232	3702	Arabidopsis thaliana	InterPro	Heat stress transcription factor A-3	20251103
UniProtKB	Q8GYY1	HSFA3	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:28650476	UniProtKB:Q9FMC8	3702	Arabidopsis thaliana	IntAct	Heat stress transcription factor A-3	20251101
UniProtKB	Q8GYY1	HSFA3	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:28650476	UniProtKB:Q9LV52	3702	Arabidopsis thaliana	IntAct	Heat stress transcription factor A-3	20251101
UniProtKB	Q8GYY1	HSFA3	located_in	GO:0005634	nucleus	cellular_component	ECO:0000314	IDA	PMID:18261981		3702	Arabidopsis thaliana	TAIR	Heat stress transcription factor A-3	20110329
UniProtKB	Q8GYY1	HSFA3	enables	GO:0003677	DNA binding	molecular_function	ECO:0000314	IDA	PMID:17999647		3702	Arabidopsis thaliana	TAIR	Heat stress transcription factor A-3	20080422
UniProtKB	Q8GYY1	HSFA3	acts_upstream_of_or_within	GO:0006355	regulation of DNA-templated transcription	biological_process	ECO:0000314	IDA	PMID:17999647		3702	Arabidopsis thaliana	TAIR	Heat stress transcription factor A-3	20080422
UniProtKB	Q8GYY1	HSFA3	acts_upstream_of_or_within	GO:0009408	response to heat	biological_process	ECO:0000270	IEP	PMID:17999647		3702	Arabidopsis thaliana	TAIR	Heat stress transcription factor A-3	20080422
UniProtKB	Q8GYY1	HSFA3	enables	GO:0003700	DNA-binding transcription factor activity	molecular_function	ECO:0000250	ISS	PMID:11118137		3702	Arabidopsis thaliana	TAIR	Heat stress transcription factor A-3	20030606
