GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q96524	CRY2	NOT|enables	GO:0016301	kinase activity	molecular_function		IDA	PMID:17073458		3702	Arabidopsis thaliana	UniProt	Cryptochrome-2	20160211
UniProtKB	Q96524	CRY2	NOT|involved_in	GO:0046777	protein autophosphorylation	biological_process		IDA	PMID:17073458		3702	Arabidopsis thaliana	UniProt	Cryptochrome-2	20160211
UniProtKB	Q96524	CRY2	acts_upstream_of_or_within	GO:0006325	chromatin organization	biological_process		IMP	PMID:20935177		3702	Arabidopsis thaliana	TAIR	Cryptochrome-2	20101119
UniProtKB	Q96524	CRY2	acts_upstream_of_or_within	GO:0006338	chromatin remodeling	biological_process		IMP	PMID:17470059		3702	Arabidopsis thaliana	TAIR	Cryptochrome-2	20070621
UniProtKB	Q96524	CRY2	acts_upstream_of_or_within	GO:0009414	response to water deprivation	biological_process		IGI	PMID:16093319	AGI_LocusCode:AT4G08920	3702	Arabidopsis thaliana	TAIR	Cryptochrome-2	20110325
UniProtKB	Q96524	CRY2	acts_upstream_of_or_within	GO:0009416	response to light stimulus	biological_process		IEP	PMID:20935177		3702	Arabidopsis thaliana	TAIR	Cryptochrome-2	20101119
UniProtKB	Q96524	CRY2	acts_upstream_of_or_within	GO:0009416	response to light stimulus	biological_process		IMP	PMID:36508461		3702	Arabidopsis thaliana	TAIR	Cryptochrome-2	20230211
UniProtKB	Q96524	CRY2	acts_upstream_of_or_within	GO:0009637	response to blue light	biological_process		IMP	PMID:9565033		3702	Arabidopsis thaliana	TAIR	Cryptochrome-2	20061002
UniProtKB	Q96524	CRY2	acts_upstream_of_or_within	GO:0009785	blue light signaling pathway	biological_process		IGI	PMID:27846570	AGI_LocusCode:AT3G44450	3702	Arabidopsis thaliana	TAIR	Cryptochrome-2	20171110
UniProtKB	Q96524	CRY2	acts_upstream_of_or_within	GO:0009909	regulation of flower development	biological_process		IDA	PMID:17259260		3702	Arabidopsis thaliana	TAIR	Cryptochrome-2	20070329
UniProtKB	Q96524	CRY2	acts_upstream_of_or_within	GO:0009911	positive regulation of flower development	biological_process		IMP	PMID:17259260	AGI_LocusCode:AT1G65480	3702	Arabidopsis thaliana	TAIR	Cryptochrome-2	20080822
UniProtKB	Q96524	CRY2	acts_upstream_of_or_within	GO:0010075	regulation of meristem growth	biological_process		IGI	PMID:18424613	AGI_LocusCode:AT2G26670|AGI_LocusCode:AT4G08920	3702	Arabidopsis thaliana	TAIR	Cryptochrome-2	20081126
UniProtKB	Q96524	CRY2	acts_upstream_of_or_within	GO:0010118	stomatal movement	biological_process		IGI	PMID:16093319	AGI_LocusCode:AT4G08920	3702	Arabidopsis thaliana	TAIR	Cryptochrome-2	20110325
UniProtKB	Q96524	CRY2	acts_upstream_of_or_within	GO:0010617	circadian regulation of calcium ion oscillation	biological_process		IMP	PMID:17982000		3702	Arabidopsis thaliana	TAIR	Cryptochrome-2	20080822
UniProtKB	Q96524	CRY2	enables	GO:0003904	deoxyribodipyrimidine photo-lyase activity	molecular_function		IBA	GO_REF:0000033	PANTHER:PTN000155848|SGD:S000005913|UniProtKB:P00914|UniProtKB:Q5BGE3|ZFIN:ZDB-GENE-040617-2	3702	Arabidopsis thaliana	GO_Central	Cryptochrome-2	20220922
UniProtKB	Q96524	CRY2	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:11089975	UniProtKB:P14713	3702	Arabidopsis thaliana	IntAct	Cryptochrome-2	20260425
UniProtKB	Q96524	CRY2	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:11509693	UniProtKB:P43254	3702	Arabidopsis thaliana	IntAct	Cryptochrome-2	20260425
UniProtKB	Q96524	CRY2	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:18988809	UniProtKB:Q8GY61	3702	Arabidopsis thaliana	UniProt	Cryptochrome-2	20160217
UniProtKB	Q96524	CRY2	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:20624951	UniProtKB:P43254	3702	Arabidopsis thaliana	UniProt	Cryptochrome-2	20160217
UniProtKB	Q96524	CRY2	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:20624951	UniProtKB:P43254	3702	Arabidopsis thaliana	IntAct	Cryptochrome-2	20260425
UniProtKB	Q96524	CRY2	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:20624951	UniProtKB:Q8GY61	3702	Arabidopsis thaliana	IntAct	Cryptochrome-2	20260425
UniProtKB	Q96524	CRY2	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:21511872	UniProtKB:Q9SYX2	3702	Arabidopsis thaliana	UniProt	Cryptochrome-2	20160203
UniProtKB	Q96524	CRY2	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:21514160	UniProtKB:Q9SYX2	3702	Arabidopsis thaliana	UniProt	Cryptochrome-2	20160217
UniProtKB	Q96524	CRY2	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:22139370	UniProtKB:Q8GY61	3702	Arabidopsis thaliana	IntAct	Cryptochrome-2	20260425
UniProtKB	Q96524	CRY2	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:22739826	AGI_LocusCode:AT1G53090	3702	Arabidopsis thaliana	TAIR	Cryptochrome-2	20120711
UniProtKB	Q96524	CRY2	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:22739826	AGI_LocusCode:AT2G46340	3702	Arabidopsis thaliana	TAIR	Cryptochrome-2	20120711
