GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9SQI2	GI	acts_upstream_of_or_within	GO:0006355	regulation of DNA-templated transcription	biological_process		IDA	PMID:17872410		3702	Arabidopsis thaliana	TAIR	Protein GIGANTEA	20110318
UniProtKB	Q9SQI2	GI	acts_upstream_of_or_within	GO:0007623	circadian rhythm	biological_process		IDA	PMID:17872410		3702	Arabidopsis thaliana	TAIR	Protein GIGANTEA	20080211
UniProtKB	Q9SQI2	GI	acts_upstream_of_or_within	GO:0009409	response to cold	biological_process		IMP	PMID:16231185		3702	Arabidopsis thaliana	TAIR	Protein GIGANTEA	20060616
UniProtKB	Q9SQI2	GI	acts_upstream_of_or_within	GO:0009637	response to blue light	biological_process		IDA	PMID:17872410		3702	Arabidopsis thaliana	TAIR	Protein GIGANTEA	20080211
UniProtKB	Q9SQI2	GI	acts_upstream_of_or_within	GO:0009908	flower development	biological_process		TAS	PMID:10202817		3702	Arabidopsis thaliana	TAIR	Protein GIGANTEA	20060616
UniProtKB	Q9SQI2	GI	acts_upstream_of_or_within	GO:0010218	response to far red light	biological_process		IMP	PMID:18790998		3702	Arabidopsis thaliana	TAIR	Protein GIGANTEA	20090312
UniProtKB	Q9SQI2	GI	acts_upstream_of_or_within	GO:0010378	temperature compensation of the circadian clock	biological_process		IMP	PMID:16617099		3702	Arabidopsis thaliana	TAIR	Protein GIGANTEA	20070620
UniProtKB	Q9SQI2	GI	acts_upstream_of_or_within	GO:0042542	response to hydrogen peroxide	biological_process		IMP	PMID:9681039		3702	Arabidopsis thaliana	TAIR	Protein GIGANTEA	20060726
UniProtKB	Q9SQI2	GI	acts_upstream_of_or_within	GO:0042752	regulation of circadian rhythm	biological_process		IMP	PMID:16006578		3702	Arabidopsis thaliana	TAIR	Protein GIGANTEA	20060616
UniProtKB	Q9SQI2	GI	acts_upstream_of_or_within	GO:0048578	positive regulation of long-day photoperiodism, flowering	biological_process		IMP	PMID:16006578		3702	Arabidopsis thaliana	TAIR	Protein GIGANTEA	20060616
UniProtKB	Q9SQI2	GI	enables	GO:0003677	DNA binding	molecular_function		IDA	PMID:40157149		3702	Arabidopsis thaliana	TAIR	Protein GIGANTEA	20250403
UniProtKB	Q9SQI2	GI	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:15155885	UniProtKB:Q96301	3702	Arabidopsis thaliana	IntAct	Protein GIGANTEA	20260425
UniProtKB	Q9SQI2	GI	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:17704763	UniProtKB:Q8W420	3702	Arabidopsis thaliana	IntAct	Protein GIGANTEA	20260425
UniProtKB	Q9SQI2	GI	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:17704763	UniProtKB:Q94BT6	3702	Arabidopsis thaliana	IntAct	Protein GIGANTEA	20260425
UniProtKB	Q9SQI2	GI	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:17704763	UniProtKB:Q9C9W9	3702	Arabidopsis thaliana	IntAct	Protein GIGANTEA	20260425
UniProtKB	Q9SQI2	GI	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:17872410	UniProtKB:Q8W1E3	3702	Arabidopsis thaliana	IntAct	Protein GIGANTEA	20260425
UniProtKB	Q9SQI2	GI	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:17872410	UniProtKB:Q9C9W9	3702	Arabidopsis thaliana	IntAct	Protein GIGANTEA	20260425
UniProtKB	Q9SQI2	GI	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:19452453	AGI_LocusCode:At1g78300	3702	Arabidopsis thaliana	TAIR	Protein GIGANTEA	20091029
UniProtKB	Q9SQI2	GI	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:21709243	UniProtKB:P82280	3702	Arabidopsis thaliana	IntAct	Protein GIGANTEA	20260425
UniProtKB	Q9SQI2	GI	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:21709243	UniProtKB:Q9C6M5	3702	Arabidopsis thaliana	IntAct	Protein GIGANTEA	20260425
UniProtKB	Q9SQI2	GI	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:21709243	UniProtKB:Q9FVC1	3702	Arabidopsis thaliana	IntAct	Protein GIGANTEA	20260425
UniProtKB	Q9SQI2	GI	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:32612234	UniProtKB:O22179	3702	Arabidopsis thaliana	IntAct	Protein GIGANTEA	20260425
UniProtKB	Q9SQI2	GI	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:32612234	UniProtKB:O23160	3702	Arabidopsis thaliana	IntAct	Protein GIGANTEA	20260425
UniProtKB	Q9SQI2	GI	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:32612234	UniProtKB:O24408	3702	Arabidopsis thaliana	IntAct	Protein GIGANTEA	20260425
UniProtKB	Q9SQI2	GI	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:32612234	UniProtKB:O80931	3702	Arabidopsis thaliana	IntAct	Protein GIGANTEA	20260425
UniProtKB	Q9SQI2	GI	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:32612234	UniProtKB:P46639	3702	Arabidopsis thaliana	IntAct	Protein GIGANTEA	20260425
UniProtKB	Q9SQI2	GI	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:32612234	UniProtKB:Q84MB2	3702	Arabidopsis thaliana	IntAct	Protein GIGANTEA	20260425
UniProtKB	Q9SQI2	GI	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:32612234	UniProtKB:Q8LAL2	3702	Arabidopsis thaliana	IntAct	Protein GIGANTEA	20260425
UniProtKB	Q9SQI2	GI	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:32612234	UniProtKB:Q8RXD6	3702	Arabidopsis thaliana	IntAct	Protein GIGANTEA	20260425
UniProtKB	Q9SQI2	GI	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:32612234	UniProtKB:Q9LVG2	3702	Arabidopsis thaliana	IntAct	Protein GIGANTEA	20260425
UniProtKB	Q9SQI2	GI	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:40157149	AGI_LocusCode:AT5G03740	3702	Arabidopsis thaliana	TAIR	Protein GIGANTEA	20250403
UniProtKB	Q9SQI2	GI	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:40157149	AGI_LocusCode:AT5G67320	3702	Arabidopsis thaliana	TAIR	Protein GIGANTEA	20250403
UniProtKB	Q9SQI2	GI	involved_in	GO:2000028	regulation of photoperiodism, flowering	biological_process		IEA	GO_REF:0000002	InterPro:IPR026211	3702	Arabidopsis thaliana	InterPro	Protein GIGANTEA	20260428
UniProtKB	Q9SQI2	GI	located_in	GO:0005634	nucleus	cellular_component		IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0191	3702	Arabidopsis thaliana	UniProt	Protein GIGANTEA	20260428
UniProtKB	Q9SQI2	GI	located_in	GO:0005634	nucleus	cellular_component		ISM	GO_REF:0000122		3702	Arabidopsis thaliana	TAIR	Protein GIGANTEA	20180831
UniProtKB	Q9SQI2	GI	located_in	GO:0005634	nucleus	cellular_component		IDA	PMID:16006578		3702	Arabidopsis thaliana	TAIR	Protein GIGANTEA	20060616
UniProtKB	Q9SQI2	GI	located_in	GO:0005634	nucleus	cellular_component		IDA	PMID:19061637		3702	Arabidopsis thaliana	TAIR	Protein GIGANTEA	20111007
UniProtKB	Q9SQI2	GI	located_in	GO:0005654	nucleoplasm	cellular_component		IDA	PMID:10920210		3702	Arabidopsis thaliana	TAIR	Protein GIGANTEA	20060616
UniProtKB	Q9SQI2	GI	located_in	GO:0005737	cytoplasm	cellular_component		IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	3702	Arabidopsis thaliana	UniProt	Protein GIGANTEA	20260428
