GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9LMA8	JAZ1	located_in	GO:0005634	nucleus	cellular_component	ECO:0000314	IDA	PMID:17637677		3702	Arabidopsis thaliana	TAIR	Protein TIFY 10A
UniProtKB	Q9LMA8	JAZ1	enables	GO:0042802	identical protein binding	molecular_function	ECO:0000353	IPI	PMID:19309455		3702	Arabidopsis thaliana	IntAct	Protein TIFY 10A
UniProtKB	Q9LMA8	JAZ1	enables	GO:0042802	identical protein binding	molecular_function	ECO:0000353	IPI	PMID:21798944		3702	Arabidopsis thaliana	IntAct	Protein TIFY 10A
UniProtKB	Q9LMA8	JAZ1	enables	GO:0042802	identical protein binding	molecular_function	ECO:0000353	IPI	PMID:32612234		3702	Arabidopsis thaliana	IntAct	Protein TIFY 10A
UniProtKB	Q9LMA8	JAZ1	involved_in	GO:0042742	defense response to bacterium	biological_process	ECO:0000315	IMP	PMID:18547396		3702	Arabidopsis thaliana	TAIR	Protein TIFY 10A
UniProtKB	Q9LMA8	JAZ1	involved_in	GO:0009908	flower development	biological_process	ECO:0000315	IMP	PMID:17637677		3702	Arabidopsis thaliana	TAIR	Protein TIFY 10A
UniProtKB	Q9LMA8	JAZ1	involved_in	GO:0009867	jasmonic acid mediated signaling pathway	biological_process	ECO:0000315	IMP	PMID:17637677		3702	Arabidopsis thaliana	TAIR	Protein TIFY 10A
UniProtKB	Q9LMA8	JAZ1	involved_in	GO:0009555	pollen development	biological_process	ECO:0000315	IMP	PMID:17637677		3702	Arabidopsis thaliana	TAIR	Protein TIFY 10A
UniProtKB	Q9LMA8	JAZ1	involved_in	GO:1900067	regulation of cellular response to alkaline pH	biological_process	ECO:0000315	IMP	PMID:25375909		3702	Arabidopsis thaliana	CACAO	Protein TIFY 10A
UniProtKB	Q9LMA8	JAZ1	involved_in	GO:0031347	regulation of defense response	biological_process	ECO:0000318	IBA	GO_REF:0000033		3702	Arabidopsis thaliana	GO_Central	Protein TIFY 10A
UniProtKB	Q9LMA8	JAZ1	involved_in	GO:2000022	regulation of jasmonic acid mediated signaling pathway	biological_process	ECO:0000318	IBA	GO_REF:0000033		3702	Arabidopsis thaliana	GO_Central	Protein TIFY 10A
UniProtKB	Q9LMA8	JAZ1	involved_in	GO:0009753	response to jasmonic acid	biological_process	ECO:0000270	IEP	PMID:17637677		3702	Arabidopsis thaliana	TAIR	Protein TIFY 10A
UniProtKB	Q9LMA8	JAZ1	involved_in	GO:0009611	response to wounding	biological_process	ECO:0000318	IBA	GO_REF:0000033		3702	Arabidopsis thaliana	GO_Central	Protein TIFY 10A
