GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9S745	PAD4	acts_upstream_of_or_within	GO:0001666	response to hypoxia	biological_process		IMP	PMID:18055613		3702	Arabidopsis thaliana	TAIR	Lipase-like PAD4	20080226
UniProtKB	Q9S745	PAD4	acts_upstream_of_or_within	GO:0002213	defense response to insect	biological_process		IMP	PMID:17725549		3702	Arabidopsis thaliana	TAIR	Lipase-like PAD4	20071116
UniProtKB	Q9S745	PAD4	acts_upstream_of_or_within	GO:0009625	response to insect	biological_process		IMP	PMID:16299172		3702	Arabidopsis thaliana	TAIR	Lipase-like PAD4	20060425
UniProtKB	Q9S745	PAD4	acts_upstream_of_or_within	GO:0009627	systemic acquired resistance	biological_process		IEP	PMID:17419843		3702	Arabidopsis thaliana	TAIR	Lipase-like PAD4	20071107
UniProtKB	Q9S745	PAD4	acts_upstream_of_or_within	GO:0009862	systemic acquired resistance, salicylic acid mediated signaling pathway	biological_process		TAS	PMID:10557364		3702	Arabidopsis thaliana	TAIR	Lipase-like PAD4	20060425
UniProtKB	Q9S745	PAD4	acts_upstream_of_or_within	GO:0009862	systemic acquired resistance, salicylic acid mediated signaling pathway	biological_process		IMP	PMID:11574472		3702	Arabidopsis thaliana	TAIR	Lipase-like PAD4	20060425
UniProtKB	Q9S745	PAD4	acts_upstream_of_or_within	GO:0010150	leaf senescence	biological_process		IMP	PMID:16299172		3702	Arabidopsis thaliana	TAIR	Lipase-like PAD4	20060425
UniProtKB	Q9S745	PAD4	acts_upstream_of_or_within	GO:0010310	regulation of hydrogen peroxide metabolic process	biological_process		IMP	PMID:18055613		3702	Arabidopsis thaliana	TAIR	Lipase-like PAD4	20080226
UniProtKB	Q9S745	PAD4	acts_upstream_of_or_within	GO:0010618	aerenchyma formation	biological_process		IMP	PMID:18055613		3702	Arabidopsis thaliana	TAIR	Lipase-like PAD4	20080822
UniProtKB	Q9S745	PAD4	acts_upstream_of_or_within	GO:0031348	negative regulation of defense response	biological_process		IMP	PMID:16732289		3702	Arabidopsis thaliana	TAIR	Lipase-like PAD4	20070802
UniProtKB	Q9S745	PAD4	acts_upstream_of_or_within	GO:0042742	defense response to bacterium	biological_process		IMP	PMID:9136026		3702	Arabidopsis thaliana	TAIR	Lipase-like PAD4	20201218
UniProtKB	Q9S745	PAD4	acts_upstream_of_or_within	GO:0050829	defense response to Gram-negative bacterium	biological_process		IMP	PMID:29253890		3702	Arabidopsis thaliana	TAIR	Lipase-like PAD4	20180615
UniProtKB	Q9S745	PAD4	acts_upstream_of_or_within	GO:0051707	response to other organism	biological_process		IEP	PMID:16531493		3702	Arabidopsis thaliana	TAIR	Lipase-like PAD4	20060920
UniProtKB	Q9S745	PAD4	acts_upstream_of_or_within	GO:0060866	leaf abscission	biological_process		IMP	PMID:29253890		3702	Arabidopsis thaliana	TAIR	Lipase-like PAD4	20180522
UniProtKB	Q9S745	PAD4	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:11574472	AGI_LocusCode:AT3G48090	3702	Arabidopsis thaliana	TAIR	Lipase-like PAD4	20080822
UniProtKB	Q9S745	PAD4	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:11574472	UniProtKB:Q9SU72	3702	Arabidopsis thaliana	IntAct	Lipase-like PAD4	20260425
UniProtKB	Q9S745	PAD4	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:16040633	UniProtKB:Q9SU72	3702	Arabidopsis thaliana	UniProt	Lipase-like PAD4	20140422
UniProtKB	Q9S745	PAD4	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:21434927	UniProtKB:Q9SU72	3702	Arabidopsis thaliana	UniProt	Lipase-like PAD4	20140429
UniProtKB	Q9S745	PAD4	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:23275581	UniProtKB:F4KHI3	3702	Arabidopsis thaliana	UniProt	Lipase-like PAD4	20140430
UniProtKB	Q9S745	PAD4	enables	GO:0005515	protein binding	molecular_function		IPI	PMID:28555890	UniProtKB:Q9SU72	3702	Arabidopsis thaliana	IntAct	Lipase-like PAD4	20260425
UniProtKB	Q9S745	PAD4	enables	GO:0016298	lipase activity	molecular_function		ISS	PMID:10557364		3702	Arabidopsis thaliana	TAIR	Lipase-like PAD4	20060425
UniProtKB	Q9S745	PAD4	involved_in	GO:0006629	lipid metabolic process	biological_process		IEA	GO_REF:0000002	InterPro:IPR002921	3702	Arabidopsis thaliana	InterPro	Lipase-like PAD4	20260428
UniProtKB	Q9S745	PAD4	involved_in	GO:0009617	response to bacterium	biological_process		IDA	PMID:10557364		3702	Arabidopsis thaliana	UniProt	Lipase-like PAD4	20140415
UniProtKB	Q9S745	PAD4	involved_in	GO:0009625	response to insect	biological_process		IDA	PMID:21426427		3702	Arabidopsis thaliana	UniProt	Lipase-like PAD4	20140429
UniProtKB	Q9S745	PAD4	involved_in	GO:0009626	plant-type hypersensitive response	biological_process		IMP	PMID:16040633		3702	Arabidopsis thaliana	ComplexPortal	Lipase-like PAD4	20240827
UniProtKB	Q9S745	PAD4	involved_in	GO:0009626	plant-type hypersensitive response	biological_process		IMP	PMID:19616764		3702	Arabidopsis thaliana	UniProt	Lipase-like PAD4	20230207
UniProtKB	Q9S745	PAD4	involved_in	GO:0009626	plant-type hypersensitive response	biological_process		NAS	PMID:22072959		3702	Arabidopsis thaliana	ComplexPortal	Lipase-like PAD4	20240827
