GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P35510	PAL1	enables	GO:0003824	catalytic activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008948	3702	Arabidopsis thaliana	InterPro	Phenylalanine ammonia-lyase 1	20260601
UniProtKB	P35510	PAL1	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR005922|UniProtKB-SubCell:SL-0086	3702	Arabidopsis thaliana	UniProt	Phenylalanine ammonia-lyase 1	20260601
UniProtKB	P35510	PAL1	involved_in	GO:0006559	L-phenylalanine catabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR005922	3702	Arabidopsis thaliana	InterPro	Phenylalanine ammonia-lyase 1	20260601
UniProtKB	P35510	PAL1	involved_in	GO:0006952	defense response	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026315	3702	Arabidopsis thaliana	UniProt	Phenylalanine ammonia-lyase 1	20260601
UniProtKB	P35510	PAL1	involved_in	GO:0006979	response to oxidative stress	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026273	3702	Arabidopsis thaliana	UniProt	Phenylalanine ammonia-lyase 1	20260601
UniProtKB	P35510	PAL1	involved_in	GO:0009611	response to wounding	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026469	3702	Arabidopsis thaliana	UniProt	Phenylalanine ammonia-lyase 1	20260601
UniProtKB	P35510	PAL1	involved_in	GO:0009698	phenylpropanoid metabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026696	3702	Arabidopsis thaliana	UniProt	Phenylalanine ammonia-lyase 1	20260601
UniProtKB	P35510	PAL1	enables	GO:0016841	ammonia-lyase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR005922|InterPro:IPR022313	3702	Arabidopsis thaliana	InterPro	Phenylalanine ammonia-lyase 1	20260601
UniProtKB	P35510	PAL1	enables	GO:0045548	phenylalanine ammonia-lyase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	RHEA:21384|EC:4.3.1.24	3702	Arabidopsis thaliana	UniProt	Phenylalanine ammonia-lyase 1	20260601
UniProtKB	P35510	PAL1	involved_in	GO:0046395	carboxylic acid catabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00027882	3702	Arabidopsis thaliana	UniProt	Phenylalanine ammonia-lyase 1	20260601
UniProtKB	P35510	PAL1	involved_in	GO:0009800	cinnamic acid biosynthetic process	biological_process	ECO:0007322	IEA	GO_REF:0000041	UniPathway:UPA00713	3702	Arabidopsis thaliana	UniProt	Phenylalanine ammonia-lyase 1	20260227
UniProtKB	P35510	PAL1	enables	GO:0045548	phenylalanine ammonia-lyase activity	molecular_function	ECO:0000269	EXP	PMID:15276452		3702	Arabidopsis thaliana	UniProt	Phenylalanine ammonia-lyase 1	20211209
UniProtKB	P35510	PAL1	acts_upstream_of_or_within	GO:0006952	defense response	biological_process	ECO:0000270	IEP	PMID:31568832		3702	Arabidopsis thaliana	TAIR	Phenylalanine ammonia-lyase 1	20191004
