GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q1G3K8	RIC7	is_active_in	GO:0005886	plasma membrane	cellular_component	ECO:0000318	IBA	GO_REF:0000033	AGI_LocusCode:AT2G20430|AGI_LocusCode:AT4G28556|PANTHER:PTN005297055	3702	Arabidopsis thaliana	GO_Central	CRIB domain-containing protein RIC7	20250912
UniProtKB	Q1G3K8	RIC7	involved_in	GO:0009860	pollen tube growth	biological_process	ECO:0000318	IBA	GO_REF:0000033	AGI_LocusCode:AT1G04450|AGI_LocusCode:AT2G20430|AGI_LocusCode:AT2G33460|AGI_LocusCode:AT3G23380|AGI_LocusCode:AT4G04900|PANTHER:PTN008200783	3702	Arabidopsis thaliana	GO_Central	CRIB domain-containing protein RIC7	20250912
UniProtKB	Q1G3K8	RIC7	involved_in	GO:0009966	regulation of signal transduction	biological_process	ECO:0000318	IBA	GO_REF:0000033	AGI_LocusCode:AT1G04450|PANTHER:PTN008706952	3702	Arabidopsis thaliana	GO_Central	CRIB domain-containing protein RIC7	20250912
UniProtKB	Q1G3K8	RIC7	located_in	GO:0005634	nucleus	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0191	3702	Arabidopsis thaliana	UniProt	CRIB domain-containing protein RIC7	20260727
UniProtKB	Q1G3K8	RIC7	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	3702	Arabidopsis thaliana	UniProt	CRIB domain-containing protein RIC7	20260727
UniProtKB	Q1G3K8	RIC7	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00027801|UniProtKB-SubCell:SL-0039	3702	Arabidopsis thaliana	UniProt	CRIB domain-containing protein RIC7	20260727
UniProtKB	Q1G3K8	RIC7	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000269	EXP	PMID:11752391		3702	Arabidopsis thaliana	UniProt	CRIB domain-containing protein RIC7	20231105
UniProtKB	Q1G3K8	RIC7	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000269	EXP	PMID:18178769		3702	Arabidopsis thaliana	UniProt	CRIB domain-containing protein RIC7	20231105
UniProtKB	Q1G3K8	RIC7	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0000269	EXP	PMID:11752391		3702	Arabidopsis thaliana	UniProt	CRIB domain-containing protein RIC7	20231105
UniProtKB	Q1G3K8	RIC7	located_in	GO:0005634	nucleus	cellular_component	ECO:0000255	ISM	GO_REF:0000122		3702	Arabidopsis thaliana	TAIR	CRIB domain-containing protein RIC7	20180831
UniProtKB	Q1G3K8	RIC7	located_in	GO:0005634	nucleus	cellular_component	ECO:0000314	IDA	PMID:18178769		3702	Arabidopsis thaliana	TAIR	CRIB domain-containing protein RIC7	20080225
UniProtKB	Q1G3K8	RIC7	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0000314	IDA	PMID:18178769		3702	Arabidopsis thaliana	TAIR	CRIB domain-containing protein RIC7	20080225
UniProtKB	Q1G3K8	RIC7	acts_upstream_of_or_within	GO:0009416	response to light stimulus	biological_process	ECO:0000314	IDA	PMID:18178769		3702	Arabidopsis thaliana	TAIR	CRIB domain-containing protein RIC7	20080225
UniProtKB	Q1G3K8	RIC7	enables	GO:0003674	molecular_function	molecular_function	ECO:0000307	ND	GO_REF:0000015		3702	Arabidopsis thaliana	TAIR	CRIB domain-containing protein RIC7	20061020
