GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q8H1D2	WOX5	involved_in	GO:0006355	regulation of DNA-templated transcription	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN008173523|UniProtKB:Q7XM13	3702	Arabidopsis thaliana	GO_Central	WUSCHEL-related homeobox 5	20250918
UniProtKB	Q8H1D2	WOX5	enables	GO:0003677	DNA binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001356	3702	Arabidopsis thaliana	InterPro	WUSCHEL-related homeobox 5	20260601
UniProtKB	Q8H1D2	WOX5	enables	GO:0003700	DNA-binding transcription factor activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR044555	3702	Arabidopsis thaliana	InterPro	WUSCHEL-related homeobox 5	20260601
UniProtKB	Q8H1D2	WOX5	located_in	GO:0005634	nucleus	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0191	3702	Arabidopsis thaliana	UniProt	WUSCHEL-related homeobox 5	20260601
UniProtKB	Q8H1D2	WOX5	involved_in	GO:0099402	plant organ development	biological_process	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00027305|InterPro:IPR044555	3702	Arabidopsis thaliana	UniProt	WUSCHEL-related homeobox 5	20260601
UniProtKB	Q8H1D2	WOX5	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:29352064	AGI_LocusCode:AT5G26840	3702	Arabidopsis thaliana	TAIR	WUSCHEL-related homeobox 5	20190109
UniProtKB	Q8H1D2	WOX5	located_in	GO:0005634	nucleus	cellular_component	ECO:0000255	ISM	GO_REF:0000122		3702	Arabidopsis thaliana	TAIR	WUSCHEL-related homeobox 5	20180831
UniProtKB	Q8H1D2	WOX5	enables	GO:0043565	sequence-specific DNA binding	molecular_function	ECO:0000353	IPI	PMID:26028217	AGI_LocusCode:AT2G34140	3702	Arabidopsis thaliana	TAIR	WUSCHEL-related homeobox 5	20151118
UniProtKB	Q8H1D2	WOX5	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:26028217	AGI_LocusCode:AT1G80490	3702	Arabidopsis thaliana	TAIR	WUSCHEL-related homeobox 5	20150721
UniProtKB	Q8H1D2	WOX5	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:26028217	AGI_LocusCode:AT3G15880	3702	Arabidopsis thaliana	TAIR	WUSCHEL-related homeobox 5	20150721
UniProtKB	Q8H1D2	WOX5	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:26028217	AGI_LocusCode:AT3G16830	3702	Arabidopsis thaliana	TAIR	WUSCHEL-related homeobox 5	20150721
UniProtKB	Q8H1D2	WOX5	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:26028217	AGI_LocusCode:AT4G38130	3702	Arabidopsis thaliana	TAIR	WUSCHEL-related homeobox 5	20150721
UniProtKB	Q8H1D2	WOX5	acts_upstream_of_or_within	GO:1902459	positive regulation of stem cell population maintenance	biological_process	ECO:0000315	IMP	PMID:26028217		3702	Arabidopsis thaliana	TAIR	WUSCHEL-related homeobox 5	20150721
UniProtKB	Q8H1D2	WOX5	involved_in	GO:0010078	maintenance of root meristem identity	biological_process	ECO:0000315	IMP	PMID:25631790		3702	Arabidopsis thaliana	UniProt	WUSCHEL-related homeobox 5	20150319
UniProtKB	Q8H1D2	WOX5	acts_upstream_of_or_within	GO:0009733	response to auxin	biological_process	ECO:0000270	IEP	PMID:16262712		3702	Arabidopsis thaliana	TAIR	WUSCHEL-related homeobox 5	20051108
UniProtKB	Q8H1D2	WOX5	enables	GO:0003700	DNA-binding transcription factor activity	molecular_function	ECO:0000250	ISS	PMID:11118137		3702	Arabidopsis thaliana	TAIR	WUSCHEL-related homeobox 5	20030606
