GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	B0S6T2	slc15a2	enables	GO:0071916	dipeptide transmembrane transporter activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	CGD:CAL0000177961|CGD:CAL0000200802|MGI:MGI:1861376|MGI:MGI:1890457|PANTHER:PTN000910039|PomBase:SPBC13A2.04c|RGD:61972|SGD:S000001801|UniProtKB:P46059|UniProtKB:Q16348|WB:WBGene00003877|WB:WBGene00003878|ZFIN:ZDB-GENE-030131-5866	7955	Danio rerio	GO_Central	Solute carrier family 15 member 2	20240205
UniProtKB	B0S6T2	slc15a2	is_active_in	GO:0005886	plasma membrane	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0265575|MGI:MGI:1890457|PANTHER:PTN000910039|PomBase:SPBC13A2.04c|RGD:61972|RGD:621736|SGD:S000001801|UniProtKB:P46059|WB:WBGene00003877|dictyBase:DDB_G0272550	7955	Danio rerio	GO_Central	Solute carrier family 15 member 2	20230831
UniProtKB	B0S6T2	slc15a2	is_active_in	GO:0016324	apical plasma membrane	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000183270|RGD:61972|RGD:621736|UniProtKB:P46059|WB:WBGene00003877	7955	Danio rerio	GO_Central	Solute carrier family 15 member 2	20230831
UniProtKB	B0S6T2	slc15a2	involved_in	GO:0140206	dipeptide import across plasma membrane	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1861376|MGI:MGI:1890457|PANTHER:PTN000910039|PomBase:SPBC13A2.04c|RGD:61972|UniProtKB:P46059|UniProtKB:Q16348	7955	Danio rerio	GO_Central	Solute carrier family 15 member 2	20220422
UniProtKB	B0S6T2	slc15a2	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0039	7955	Danio rerio	UniProt	Solute carrier family 15 member 2	20260428
UniProtKB	B0S6T2	slc15a2	involved_in	GO:0006857	oligopeptide transport	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR018456	7955	Danio rerio	InterPro	Solute carrier family 15 member 2	20260428
UniProtKB	B0S6T2	slc15a2	located_in	GO:0016020	membrane	cellular_component	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000109|InterPro:IPR018456	7955	Danio rerio	InterPro	Solute carrier family 15 member 2	20260428
UniProtKB	B0S6T2	slc15a2	located_in	GO:0016324	apical plasma membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0015	7955	Danio rerio	UniProt	Solute carrier family 15 member 2	20260428
UniProtKB	B0S6T2	slc15a2	enables	GO:0022857	transmembrane transporter activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000109|InterPro:IPR018456	7955	Danio rerio	InterPro	Solute carrier family 15 member 2	20260428
UniProtKB	B0S6T2	slc15a2	located_in	GO:0030670	phagocytic vesicle membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0205	7955	Danio rerio	UniProt	Solute carrier family 15 member 2	20260428
UniProtKB	B0S6T2	slc15a2	involved_in	GO:0055085	transmembrane transport	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000109	7955	Danio rerio	InterPro	Solute carrier family 15 member 2	20260428
UniProtKB	B0S6T2	slc15a2	involved_in	GO:1902600	proton transmembrane transport	biological_process	ECO:0000364	IEA	GO_REF:0000108	GO:0015333	7955	Danio rerio	GOC	Solute carrier family 15 member 2	20260428
UniProtKB	B0S6T2	slc15a2	located_in	GO:0016324	apical plasma membrane	cellular_component	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q63424	7955	Danio rerio	UniProt	Solute carrier family 15 member 2	20241126
UniProtKB	B0S6T2	slc15a2	enables	GO:0015333	peptide:proton symporter activity	molecular_function	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q63424	7955	Danio rerio	UniProt	Solute carrier family 15 member 2	20230504
UniProtKB	B0S6T2	slc15a2	located_in	GO:0016324	apical plasma membrane	cellular_component	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q63424	7955	Danio rerio	UniProt	Solute carrier family 15 member 2	20230504
UniProtKB	B0S6T2	slc15a2	enables	GO:0042937	tripeptide transmembrane transporter activity	molecular_function	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q63424	7955	Danio rerio	UniProt	Solute carrier family 15 member 2	20230504
UniProtKB	B0S6T2	slc15a2	involved_in	GO:0140206	dipeptide import across plasma membrane	biological_process	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q63424	7955	Danio rerio	UniProt	Solute carrier family 15 member 2	20230504
UniProtKB	B0S6T2	slc15a2	involved_in	GO:0140207	tripeptide import across plasma membrane	biological_process	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q63424	7955	Danio rerio	UniProt	Solute carrier family 15 member 2	20230504
UniProtKB	B0S6T2	slc15a2	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9ES07	7955	Danio rerio	UniProt	Solute carrier family 15 member 2	20200702
UniProtKB	B0S6T2	slc15a2	involved_in	GO:0015835	peptidoglycan transport	biological_process	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9ES07	7955	Danio rerio	UniProt	Solute carrier family 15 member 2	20200702
UniProtKB	B0S6T2	slc15a2	involved_in	GO:0070424	regulation of nucleotide-binding domain, leucine rich repeat containing receptor signaling pathway	biological_process	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9ES07	7955	Danio rerio	UniProt	Solute carrier family 15 member 2	20200702
UniProtKB	B0S6T2	slc15a2	involved_in	GO:0140206	dipeptide import across plasma membrane	biological_process	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q16348	7955	Danio rerio	UniProt	Solute carrier family 15 member 2	20200702
UniProtKB	B0S6T2	slc15a2	acts_upstream_of_or_within	GO:0001878	response to yeast	biological_process	ECO:0000314	IDA	PMID:23947337		7955	Danio rerio	ZFIN	Solute carrier family 15 member 2	20131122
UniProtKB	B0S6T2	slc15a2	enables	GO:0071916	dipeptide transmembrane transporter activity	molecular_function	ECO:0000314	IDA	PMID:16317081		7955	Danio rerio	ZFIN	Solute carrier family 15 member 2	20060309
