GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q7T347	ufsp2	is_active_in	GO:0005783	endoplasmic reticulum	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1913679|PANTHER:PTN008489070|UniProtKB:Q9NUQ7	7955	Danio rerio	GO_Central	Ufm1-specific protease 2	20240802
UniProtKB	Q7T347	ufsp2	enables	GO:0071567	deUFMylase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1913679|MGI:MGI:1917490|PANTHER:PTN008489024|UniProtKB:Q6NVU6|UniProtKB:Q9NUQ7|WB:WBGene00018160	7955	Danio rerio	GO_Central	Ufm1-specific protease 2	20240802
UniProtKB	Q7T347	ufsp2	is_active_in	GO:0005634	nucleus	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1913679|PANTHER:PTN008489070	7955	Danio rerio	GO_Central	Ufm1-specific protease 2	20230720
UniProtKB	Q7T347	ufsp2	involved_in	GO:0006508	proteolysis	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN008489070|UniProtKB:Q9NUQ7|WB:WBGene00018160	7955	Danio rerio	GO_Central	Ufm1-specific protease 2	20230720
UniProtKB	Q7T347	ufsp2	located_in	GO:0005634	nucleus	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0191	7955	Danio rerio	UniProt	Ufm1-specific protease 2	20260302
UniProtKB	Q7T347	ufsp2	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	7955	Danio rerio	UniProt	Ufm1-specific protease 2	20260302
UniProtKB	Q7T347	ufsp2	located_in	GO:0005783	endoplasmic reticulum	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0095	7955	Danio rerio	UniProt	Ufm1-specific protease 2	20260302
UniProtKB	Q7T347	ufsp2	enables	GO:0071567	deUFMylase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00045055	7955	Danio rerio	UniProt	Ufm1-specific protease 2	20260302
UniProtKB	Q7T347	ufsp2	involved_in	GO:0032790	ribosome disassembly	biological_process	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9NUQ7	7955	Danio rerio	UniProt	Ufm1-specific protease 2	20240318
UniProtKB	Q7T347	ufsp2	involved_in	GO:0006508	proteolysis	biological_process	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9NUQ7	7955	Danio rerio	UniProt	Ufm1-specific protease 2	20141120
UniProtKB	Q7T347	ufsp2	enables	GO:0071567	deUFMylase activity	molecular_function	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9NUQ7	7955	Danio rerio	UniProt	Ufm1-specific protease 2	20141120
UniProtKB	Q7T347	ufsp2	located_in	GO:0005634	nucleus	cellular_component	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q99K23	7955	Danio rerio	UniProt	Ufm1-specific protease 2	20110214
UniProtKB	Q7T347	ufsp2	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q99K23	7955	Danio rerio	UniProt	Ufm1-specific protease 2	20110214
UniProtKB	Q7T347	ufsp2	located_in	GO:0005783	endoplasmic reticulum	cellular_component	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q99K23	7955	Danio rerio	UniProt	Ufm1-specific protease 2	20110214
