GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q55F68	acrA	enables	GO:0004016	adenylate cyclase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002454020|UniProtKB:D6XEJ9|UniProtKB:P94982|UniProtKB:P9WMU9|UniProtKB:P9WQ31|UniProtKB:P9WQ33|UniProtKB:Q583C8|UniProtKB:Q583C9|UniProtKB:Q583D0|UniProtKB:Q583D1|UniProtKB:Q583D2|UniProtKB:Q9HZ23|dictyBase:DDB_G0267376	44689	Dictyostelium discoideum	GO_Central	Adenylate cyclase, terminal-differentiation specific	20241203
UniProtKB	Q55F68	acrA	involved_in	GO:0006171	cAMP biosynthetic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002454020|UniProtKB:P94982|UniProtKB:P9WQ31|UniProtKB:P9WQ33|UniProtKB:Q9HZ23	44689	Dictyostelium discoideum	GO_Central	Adenylate cyclase, terminal-differentiation specific	20241203
UniProtKB	Q55F68	acrA	involved_in	GO:0000160	phosphorelay signal transduction system	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001789	44689	Dictyostelium discoideum	InterPro	Adenylate cyclase, terminal-differentiation specific	20260706
UniProtKB	Q55F68	acrA	enables	GO:0004016	adenylate cyclase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	RHEA:15389|EC:4.6.1.1	44689	Dictyostelium discoideum	UniProt	Adenylate cyclase, terminal-differentiation specific	20260706
UniProtKB	Q55F68	acrA	involved_in	GO:0009190	cyclic nucleotide biosynthetic process	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001054	44689	Dictyostelium discoideum	InterPro	Adenylate cyclase, terminal-differentiation specific	20260706
UniProtKB	Q55F68	acrA	located_in	GO:0016020	membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0162	44689	Dictyostelium discoideum	UniProt	Adenylate cyclase, terminal-differentiation specific	20260706
UniProtKB	Q55F68	acrA	enables	GO:0016772	transferase activity, transferring phosphorus-containing groups	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004358	44689	Dictyostelium discoideum	InterPro	Adenylate cyclase, terminal-differentiation specific	20260706
UniProtKB	Q55F68	acrA	involved_in	GO:0035556	intracellular signal transduction	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001054	44689	Dictyostelium discoideum	InterPro	Adenylate cyclase, terminal-differentiation specific	20260706
UniProtKB	Q55F68	acrA	acts_upstream_of_or_within	GO:0009642	response to light intensity	biological_process	ECO:0007007	HEP	PMID:41057014		44689	Dictyostelium discoideum	dictyBase	Adenylate cyclase, terminal-differentiation specific	20251015
UniProtKB	Q55F68	acrA	enables	GO:0005524	ATP binding	molecular_function	ECO:0000305	IC	PMID:10556070	GO:0004016	44689	Dictyostelium discoideum	dictyBase	Adenylate cyclase, terminal-differentiation specific	20220906
