GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q54ER9	dimB	is_active_in	GO:0005634	nucleus	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN008555219|dictyBase:DDB_G0278971|dictyBase:DDB_G0291372	44689	Dictyostelium discoideum	GO_Central	Basic-leucine zipper transcription factor B	20230926
UniProtKB	Q54ER9	dimB	involved_in	GO:0010468	regulation of gene expression	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN008555219|dictyBase:DDB_G0291372	44689	Dictyostelium discoideum	GO_Central	Basic-leucine zipper transcription factor B	20230926
UniProtKB	Q54ER9	dimB	enables	GO:0043565	sequence-specific DNA binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN008555219|dictyBase:DDB_G0278971|dictyBase:DDB_G0291372	44689	Dictyostelium discoideum	GO_Central	Basic-leucine zipper transcription factor B	20230926
UniProtKB	Q54ER9	dimB	enables	GO:0003700	DNA-binding transcription factor activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004827|InterPro:IPR046347	44689	Dictyostelium discoideum	InterPro	Basic-leucine zipper transcription factor B	20260706
UniProtKB	Q54ER9	dimB	located_in	GO:0005634	nucleus	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0191	44689	Dictyostelium discoideum	UniProt	Basic-leucine zipper transcription factor B	20260706
UniProtKB	Q54ER9	dimB	involved_in	GO:0006355	regulation of DNA-templated transcription	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004827|InterPro:IPR046347	44689	Dictyostelium discoideum	InterPro	Basic-leucine zipper transcription factor B	20260706
UniProtKB	Q54ER9	dimB	involved_in	GO:0010629	negative regulation of gene expression	biological_process	ECO:0000315	IMP	PMID:20300194		44689	Dictyostelium discoideum	dictyBase	Basic-leucine zipper transcription factor B	20240209
UniProtKB	Q54ER9	dimB	involved_in	GO:0043069	negative regulation of programmed cell death	biological_process	ECO:0000315	IMP	PMID:16410410		44689	Dictyostelium discoideum	dictyBase	Basic-leucine zipper transcription factor B	20230331
UniProtKB	Q54ER9	dimB	involved_in	GO:1903014	cellular response to differentiation-inducing factor 1	biological_process	ECO:0007005	HDA	PMID:25518940		44689	Dictyostelium discoideum	dictyBase	Basic-leucine zipper transcription factor B	20230331
UniProtKB	Q54ER9	dimB	acts_upstream_of_or_within	GO:0031153	slug development involved in sorocarp development	biological_process	ECO:0000315	IMP	PMID:16396914		44689	Dictyostelium discoideum	dictyBase	Basic-leucine zipper transcription factor B	20211027
UniProtKB	Q54ER9	dimB	is_active_in	GO:0005634	nucleus	cellular_component	ECO:0000314	IDA	PMID:16396914		44689	Dictyostelium discoideum	dictyBase	Basic-leucine zipper transcription factor B	20210914
UniProtKB	Q54ER9	dimB	is_active_in	GO:0005634	nucleus	cellular_component	ECO:0000314	IDA	PMID:16410410		44689	Dictyostelium discoideum	dictyBase	Basic-leucine zipper transcription factor B	20210914
UniProtKB	Q54ER9	dimB	is_active_in	GO:0005634	nucleus	cellular_component	ECO:0000314	IDA	PMID:21458438		44689	Dictyostelium discoideum	dictyBase	Basic-leucine zipper transcription factor B	20210914
UniProtKB	Q54ER9	dimB	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000314	IDA	PMID:16396914		44689	Dictyostelium discoideum	dictyBase	Basic-leucine zipper transcription factor B	20210914
UniProtKB	Q54ER9	dimB	involved_in	GO:0031287	positive regulation of sorocarp stalk cell differentiation	biological_process	ECO:0000315	IMP	PMID:16396914		44689	Dictyostelium discoideum	dictyBase	Basic-leucine zipper transcription factor B	20210914
UniProtKB	Q54ER9	dimB	enables	GO:0043565	sequence-specific DNA binding	molecular_function	ECO:0000314	IDA	PMID:16396914		44689	Dictyostelium discoideum	dictyBase	Basic-leucine zipper transcription factor B	20210914
UniProtKB	Q54ER9	dimB	involved_in	GO:0045184	establishment of protein localization	biological_process	ECO:0000315	IMP	PMID:16410410		44689	Dictyostelium discoideum	dictyBase	Basic-leucine zipper transcription factor B	20210914
UniProtKB	Q54ER9	dimB	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000314	IDA	PMID:16410410		44689	Dictyostelium discoideum	dictyBase	Basic-leucine zipper transcription factor B	20210715
UniProtKB	Q54ER9	dimB	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:16410410	UniProtKB:Q54XG7	44689	Dictyostelium discoideum	dictyBase	Basic-leucine zipper transcription factor B	20210416
UniProtKB	Q54ER9	dimB	enables	GO:0000976	transcription cis-regulatory region binding	molecular_function	ECO:0000314	IDA	PMID:21458438		44689	Dictyostelium discoideum	dictyBase	Basic-leucine zipper transcription factor B	20191107
UniProtKB	Q54ER9	dimB	enables	GO:0000976	transcription cis-regulatory region binding	molecular_function	ECO:0000314	IDA	PMID:22253818		44689	Dictyostelium discoideum	dictyBase	Basic-leucine zipper transcription factor B	20191107
