GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q551V8	sgcA	enables	GO:0000287	magnesium ion binding	molecular_function	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000413374	44689	Dictyostelium discoideum	UniProt	Guanylate cyclase domain-containing protein	20260706
UniProtKB	Q551V8	sgcA	involved_in	GO:0006182	cGMP biosynthetic process	biological_process	ECO:0000364	IEA	GO_REF:0000108	GO:0004383	44689	Dictyostelium discoideum	GOC	Guanylate cyclase domain-containing protein	20260706
UniProtKB	Q551V8	sgcA	involved_in	GO:0009190	cyclic nucleotide biosynthetic process	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001054	44689	Dictyostelium discoideum	InterPro	Guanylate cyclase domain-containing protein	20260706
UniProtKB	Q551V8	sgcA	involved_in	GO:0035556	intracellular signal transduction	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001054	44689	Dictyostelium discoideum	InterPro	Guanylate cyclase domain-containing protein	20260706
UniProtKB	Q551V8	sgcA	acts_upstream_of_or_within	GO:0019722	calcium-mediated signaling	biological_process	ECO:0000316	IGI	PMID:40295210	UniProtKB:Q553Y7	44689	Dictyostelium discoideum	dictyBase	Guanylate cyclase domain-containing protein	20260311
UniProtKB	Q551V8	sgcA	located_in	GO:0031252	cell leading edge	cellular_component	ECO:0000314	IDA	PMID:19346484		44689	Dictyostelium discoideum	dictyBase	Guanylate cyclase domain-containing protein	20181031
UniProtKB	Q551V8	sgcA	acts_upstream_of_or_within	GO:0051602	response to electrical stimulus	biological_process	ECO:0000316	IGI	PMID:19346484	UniProtKB:Q553Y7	44689	Dictyostelium discoideum	dictyBase	Guanylate cyclase domain-containing protein	20181031
UniProtKB	Q551V8	sgcA	located_in	GO:0031252	cell leading edge	cellular_component	ECO:0000314	IDA	PMID:29118357		44689	Dictyostelium discoideum	dictyBase	Guanylate cyclase domain-containing protein	20171114
UniProtKB	Q551V8	sgcA	located_in	GO:0005829	cytosol	cellular_component	ECO:0000314	IDA	PMID:15601898		44689	Dictyostelium discoideum	dictyBase	Guanylate cyclase domain-containing protein	20170306
UniProtKB	Q551V8	sgcA	located_in	GO:1904269	cell leading edge cell cortex	cellular_component	ECO:0000314	IDA	PMID:15601898		44689	Dictyostelium discoideum	dictyBase	Guanylate cyclase domain-containing protein	20170306
UniProtKB	Q551V8	sgcA	enables	GO:0004383	guanylate cyclase activity	molecular_function	ECO:0000315	IMP	PMID:11500361		44689	Dictyostelium discoideum	dictyBase	Guanylate cyclase domain-containing protein	20170302
UniProtKB	Q551V8	sgcA	acts_upstream_of_or_within	GO:0050920	regulation of chemotaxis	biological_process	ECO:0000316	IGI	PMID:22081140	UniProtKB:P28178|UniProtKB:Q54XY1	44689	Dictyostelium discoideum	dictyBase	Guanylate cyclase domain-containing protein	20141219
UniProtKB	Q551V8	sgcA	acts_upstream_of_or_within	GO:0043327	chemotaxis to cAMP	biological_process	ECO:0000316	IGI	PMID:18299345	UniProtKB:Q54XY1|UniProtKB:Q553Y7	44689	Dictyostelium discoideum	dictyBase	Guanylate cyclase domain-containing protein	20141125
UniProtKB	Q551V8	sgcA	acts_upstream_of_or_within	GO:0006935	chemotaxis	biological_process	ECO:0000316	IGI	PMID:18073238	UniProtKB:Q553Y7	44689	Dictyostelium discoideum	dictyBase	Guanylate cyclase domain-containing protein	20081215
UniProtKB	Q551V8	sgcA	acts_upstream_of_or_within	GO:0120320	lateral pseudopodium retraction	biological_process	ECO:0000316	IGI	PMID:18073238	UniProtKB:Q553Y7	44689	Dictyostelium discoideum	dictyBase	Guanylate cyclase domain-containing protein	20081215
UniProtKB	Q551V8	sgcA	enables	GO:0004383	guanylate cyclase activity	molecular_function	ECO:0000314	IDA	PMID:16790492		44689	Dictyostelium discoideum	dictyBase	Guanylate cyclase domain-containing protein	20081212
UniProtKB	Q551V8	sgcA	acts_upstream_of_or_within	GO:0006935	chemotaxis	biological_process	ECO:0000315	IMP	PMID:16790492		44689	Dictyostelium discoideum	dictyBase	Guanylate cyclase domain-containing protein	20081212
UniProtKB	Q551V8	sgcA	colocalizes_with	GO:0015629	actin cytoskeleton	cellular_component	ECO:0000314	IDA	PMID:16790492		44689	Dictyostelium discoideum	dictyBase	Guanylate cyclase domain-containing protein	20081212
UniProtKB	Q551V8	sgcA	acts_upstream_of_or_within	GO:0031033	myosin filament organization	biological_process	ECO:0000316	IGI	PMID:16790492	UniProtKB:Q553Y7	44689	Dictyostelium discoideum	dictyBase	Guanylate cyclase domain-containing protein	20081212
UniProtKB	Q551V8	sgcA	located_in	GO:0031252	cell leading edge	cellular_component	ECO:0000314	IDA	PMID:16790492		44689	Dictyostelium discoideum	dictyBase	Guanylate cyclase domain-containing protein	20081212
UniProtKB	Q551V8	sgcA	acts_upstream_of_or_within	GO:0031037	myosin II filament disassembly	biological_process	ECO:0000304	TAS	PMID:14710184		44689	Dictyostelium discoideum	dictyBase	Guanylate cyclase domain-containing protein	20050413
UniProtKB	Q551V8	sgcA	acts_upstream_of_or_within	GO:0120320	lateral pseudopodium retraction	biological_process	ECO:0000304	TAS	PMID:14710184		44689	Dictyostelium discoideum	dictyBase	Guanylate cyclase domain-containing protein	20050413
