GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	A1ZBJ2	Acadvl	enables	GO:0017099	very-long-chain fatty acyl-CoA dehydrogenase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000856877|RGD:2014|UniProtKB:P49748	7227	Drosophila melanogaster	GO_Central	Acyl-CoA dehydrogenase very long chain, isoform B	20201026
UniProtKB	A1ZBJ2	Acadvl	enables	GO:0000062	fatty-acyl-CoA binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000856877|RGD:2014	7227	Drosophila melanogaster	GO_Central	Acyl-CoA dehydrogenase very long chain, isoform B	20170228
UniProtKB	A1ZBJ2	Acadvl	enables	GO:0003995	acyl-CoA dehydrogenase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006089	7227	Drosophila melanogaster	InterPro	Acyl-CoA dehydrogenase very long chain, isoform B	20260616
UniProtKB	A1ZBJ2	Acadvl	enables	GO:0004466	long-chain fatty acyl-CoA dehydrogenase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000003	EC:1.3.8.8	7227	Drosophila melanogaster	UniProt	Acyl-CoA dehydrogenase very long chain, isoform B	20260616
UniProtKB	A1ZBJ2	Acadvl	located_in	GO:0005743	mitochondrial inner membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0168	7227	Drosophila melanogaster	UniProt	Acyl-CoA dehydrogenase very long chain, isoform B	20260616
UniProtKB	A1ZBJ2	Acadvl	involved_in	GO:0006631	fatty acid metabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028669	7227	Drosophila melanogaster	UniProt	Acyl-CoA dehydrogenase very long chain, isoform B	20260616
UniProtKB	A1ZBJ2	Acadvl	enables	GO:0016627	oxidoreductase activity, acting on the CH-CH group of donors	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006091|InterPro:IPR009075|InterPro:IPR009100|InterPro:IPR013786|InterPro:IPR036250|InterPro:IPR037069|InterPro:IPR046373	7227	Drosophila melanogaster	InterPro	Acyl-CoA dehydrogenase very long chain, isoform B	20260616
UniProtKB	A1ZBJ2	Acadvl	enables	GO:0017099	very-long-chain fatty acyl-CoA dehydrogenase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000003	EC:1.3.8.9	7227	Drosophila melanogaster	UniProt	Acyl-CoA dehydrogenase very long chain, isoform B	20260616
UniProtKB	A1ZBJ2	Acadvl	enables	GO:0050660	flavin adenine dinucleotide binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR013786|InterPro:IPR037069	7227	Drosophila melanogaster	InterPro	Acyl-CoA dehydrogenase very long chain, isoform B	20260616
UniProtKB	A1ZBJ2	Acadvl	located_in	GO:0005739	mitochondrion	cellular_component	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P49748	7227	Drosophila melanogaster	FlyBase	Acyl-CoA dehydrogenase very long chain, isoform B	20240314
UniProtKB	A1ZBJ2	Acadvl	enables	GO:0004466	long-chain fatty acyl-CoA dehydrogenase activity	molecular_function	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P49748	7227	Drosophila melanogaster	FlyBase	Acyl-CoA dehydrogenase very long chain, isoform B	20220727
UniProtKB	A1ZBJ2	Acadvl	enables	GO:0017099	very-long-chain fatty acyl-CoA dehydrogenase activity	molecular_function	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P49748	7227	Drosophila melanogaster	FlyBase	Acyl-CoA dehydrogenase very long chain, isoform B	20220727
UniProtKB	A1ZBJ2	Acadvl	involved_in	GO:0033539	fatty acid beta-oxidation using acyl-CoA dehydrogenase	biological_process	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P49748	7227	Drosophila melanogaster	FlyBase	Acyl-CoA dehydrogenase very long chain, isoform B	20220727
