GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	G0RBE3	IRE1	enables	GO:0051082	unfolded protein binding	molecular_function	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN001017826	431241	Hypocrea jecorina (strain QM6a)	TreeGrafter	Serine/threonine-protein kinase/endoribonuclease IRE1	20260106
UniProtKB	G0RBE3	IRE1	involved_in	GO:0070059	intrinsic apoptotic signaling pathway in response to endoplasmic reticulum stress	biological_process	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN001017826	431241	Hypocrea jecorina (strain QM6a)	TreeGrafter	Serine/threonine-protein kinase/endoribonuclease IRE1	20260106
UniProtKB	G0RBE3	IRE1	part_of	GO:1990604	IRE1-TRAF2-ASK1 complex	cellular_component	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN001017826	431241	Hypocrea jecorina (strain QM6a)	TreeGrafter	Serine/threonine-protein kinase/endoribonuclease IRE1	20260106
UniProtKB	G0RBE3	IRE1	enables	GO:0000166	nucleotide binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0547	431241	Hypocrea jecorina (strain QM6a)	UniProt	Serine/threonine-protein kinase/endoribonuclease IRE1	20260105
UniProtKB	G0RBE3	IRE1	enables	GO:0004521	RNA endonuclease activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00029225|InterPro:IPR045133|PANTHER:PTN001017826	431241	Hypocrea jecorina (strain QM6a)	UniProt	Serine/threonine-protein kinase/endoribonuclease IRE1	20260105
UniProtKB	G0RBE3	IRE1	enables	GO:0004540	RNA nuclease activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR010513	431241	Hypocrea jecorina (strain QM6a)	InterPro	Serine/threonine-protein kinase/endoribonuclease IRE1	20260105
UniProtKB	G0RBE3	IRE1	enables	GO:0004672	protein kinase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000719|InterPro:IPR008271	431241	Hypocrea jecorina (strain QM6a)	InterPro	Serine/threonine-protein kinase/endoribonuclease IRE1	20260105
UniProtKB	G0RBE3	IRE1	enables	GO:0004674	protein serine/threonine kinase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR045133|EC:2.7.11.1|UniProtKB-KW:KW-0723|PANTHER:PTN001017826	431241	Hypocrea jecorina (strain QM6a)	UniProt	Serine/threonine-protein kinase/endoribonuclease IRE1	20260105
UniProtKB	G0RBE3	IRE1	enables	GO:0005524	ATP binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR000719|InterPro:IPR017441|UniProtKB-KW:KW-0067	431241	Hypocrea jecorina (strain QM6a)	UniProt	Serine/threonine-protein kinase/endoribonuclease IRE1	20260105
UniProtKB	G0RBE3	IRE1	located_in	GO:0005789	endoplasmic reticulum membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0097	431241	Hypocrea jecorina (strain QM6a)	UniProt	Serine/threonine-protein kinase/endoribonuclease IRE1	20260105
