GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	B9INH0	GATC	is_active_in	GO:0005739	mitochondrion	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1923776|PANTHER:PTN001030184|UniProtKB:O43716	3694	Populus trichocarpa	GO_Central	Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial	20230926
UniProtKB	B9INH0	GATC	part_of	GO:0030956	glutamyl-tRNA(Gln) amidotransferase complex	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN001030184|UniProtKB:O43716	3694	Populus trichocarpa	GO_Central	Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial	20230926
UniProtKB	B9INH0	GATC	involved_in	GO:0032543	mitochondrial translation	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN001030184|UniProtKB:O43716	3694	Populus trichocarpa	GO_Central	Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial	20230926
UniProtKB	B9INH0	GATC	involved_in	GO:0070681	glutaminyl-tRNAGln biosynthesis via transamidation	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000385050|UniProtKB:O43716	3694	Populus trichocarpa	GO_Central	Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial	20200313
UniProtKB	B9INH0	GATC	located_in	GO:0005739	mitochondrion	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-SubCell:SL-0173|UniRule:UR000375979	3694	Populus trichocarpa	UniProt	Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial	20260428
UniProtKB	B9INH0	GATC	involved_in	GO:0006450	regulation of translational fidelity	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003837|InterPro:IPR036113	3694	Populus trichocarpa	InterPro	Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial	20260428
UniProtKB	B9INH0	GATC	located_in	GO:0009507	chloroplast	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-SubCell:SL-0049|UniRule:UR000375979	3694	Populus trichocarpa	UniProt	Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial	20260428
UniProtKB	B9INH0	GATC	enables	GO:0016884	carbon-nitrogen ligase activity, with glutamine as amido-N-donor	molecular_function	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000375979	3694	Populus trichocarpa	UniProt	Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial	20260428
UniProtKB	B9INH0	GATC	part_of	GO:0030956	glutamyl-tRNA(Gln) amidotransferase complex	cellular_component	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000375979	3694	Populus trichocarpa	UniProt	Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial	20260428
UniProtKB	B9INH0	GATC	involved_in	GO:0032543	mitochondrial translation	biological_process	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000375979	3694	Populus trichocarpa	UniProt	Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial	20260428
UniProtKB	B9INH0	GATC	enables	GO:0050567	glutaminyl-tRNA synthase (glutamine-hydrolyzing) activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	RHEA:17521|UniRule:UR000375979	3694	Populus trichocarpa	UniProt	Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial	20260428
UniProtKB	B9INH0	GATC	involved_in	GO:0070681	glutaminyl-tRNAGln biosynthesis via transamidation	biological_process	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000375979	3694	Populus trichocarpa	UniProt	Glutamyl-tRNA(Gln) amidotransferase subunit C, chloroplastic/mitochondrial	20260428
