GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q03023	aprA	enables	GO:0004222	metalloendopeptidase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001818|InterPro:IPR016294	208964	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	InterPro	Serralysin	20260616
UniProtKB	Q03023	aprA	enables	GO:0005509	calcium ion binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001343|InterPro:IPR013858|InterPro:IPR016294	208964	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	InterPro	Serralysin	20260616
UniProtKB	Q03023	aprA	located_in	GO:0005576	extracellular region	cellular_component	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR013858|InterPro:IPR016294|UniProtKB-SubCell:SL-0243	208964	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	UniProt	Serralysin	20260616
UniProtKB	Q03023	aprA	involved_in	GO:0006508	proteolysis	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001818|InterPro:IPR006026|InterPro:IPR016294	208964	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	InterPro	Serralysin	20260616
UniProtKB	Q03023	aprA	enables	GO:0008233	peptidase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00027408	208964	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	UniProt	Serralysin	20260616
UniProtKB	Q03023	aprA	enables	GO:0008237	metallopeptidase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006026|InterPro:IPR024079	208964	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	InterPro	Serralysin	20260616
UniProtKB	Q03023	aprA	enables	GO:0008270	zinc ion binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001818|InterPro:IPR006026|InterPro:IPR016294	208964	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	InterPro	Serralysin	20260616
UniProtKB	Q03023	aprA	located_in	GO:0031012	extracellular matrix	cellular_component	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001818	208964	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	InterPro	Serralysin	20260616
UniProtKB	Q03023	aprA	involved_in	GO:0141141	symbiont-mediated evasion of recognition by host pattern recognition receptor	biological_process	ECO:0000269	EXP	PMID:22131330		208964	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	SigSci	Serralysin	20250220
UniProtKB	Q03023	aprA	involved_in	GO:0001869	negative regulation of complement activation, lectin pathway	biological_process	ECO:0000314	IDA	PMID:22131330		208964	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	PseudoCAP	Serralysin	20190311
UniProtKB	Q03023	aprA	enables	GO:0008233	peptidase activity	molecular_function	ECO:0000314	IDA	PMID:22859302		208964	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	PseudoCAP	Serralysin	20190311
UniProtKB	Q03023	aprA	involved_in	GO:0010765	positive regulation of sodium ion transport	biological_process	ECO:0000314	IDA	PMID:22859302		208964	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	PseudoCAP	Serralysin	20190311
UniProtKB	Q03023	aprA	involved_in	GO:0045959	negative regulation of complement activation, classical pathway	biological_process	ECO:0000314	IDA	PMID:22131330		208964	Pseudomonas aeruginosa (strain ATCC 15692 / DSM 22644 / CIP 104116 / JCM 14847 / LMG 12228 / 1C / PRS 101 / PAO1)	PseudoCAP	Serralysin	20190311
