GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q88QU2	cca	enables	GO:0000049	tRNA binding	molecular_function	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000101514	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Multifunctional CCA protein	20260601
UniProtKB	Q88QU2	cca	enables	GO:0000166	nucleotide binding	molecular_function	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000101514	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Multifunctional CCA protein	20260601
UniProtKB	Q88QU2	cca	enables	GO:0000287	magnesium ion binding	molecular_function	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000101514	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Multifunctional CCA protein	20260601
UniProtKB	Q88QU2	cca	involved_in	GO:0001680	tRNA 3'-terminal CCA addition	biological_process	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR012006|UniRule:UR000101514	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Multifunctional CCA protein	20260601
UniProtKB	Q88QU2	cca	enables	GO:0003723	RNA binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002646|InterPro:IPR012006	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	InterPro	Multifunctional CCA protein	20260601
UniProtKB	Q88QU2	cca	enables	GO:0004112	cyclic-nucleotide phosphodiesterase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000101514	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Multifunctional CCA protein	20260601
UniProtKB	Q88QU2	cca	enables	GO:0004810	CCA tRNA nucleotidyltransferase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR012006|RHEA:14433|EC:2.7.7.72|UniRule:UR000101514	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Multifunctional CCA protein	20260601
UniProtKB	Q88QU2	cca	enables	GO:0005524	ATP binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR012006|UniRule:UR000101514	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Multifunctional CCA protein	20260601
UniProtKB	Q88QU2	cca	involved_in	GO:0006396	RNA processing	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002646	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	InterPro	Multifunctional CCA protein	20260601
UniProtKB	Q88QU2	cca	enables	GO:0016779	nucleotidyltransferase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002646	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	InterPro	Multifunctional CCA protein	20260601
UniProtKB	Q88QU2	cca	enables	GO:0016791	phosphatase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000101514	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Multifunctional CCA protein	20260601
UniProtKB	Q88QU2	cca	involved_in	GO:0042780	tRNA 3'-end processing	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028910	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Multifunctional CCA protein	20260601
UniProtKB	Q88QU2	cca	enables	GO:0160016	CCACCA tRNA nucleotidyltransferase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000116	RHEA:76235	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	RHEA	Multifunctional CCA protein	20260601
