GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q88NS9	dinG	enables	GO:0000166	nucleotide binding	molecular_function	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000400010	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	ATP-dependent DNA helicase DinG	20260706
UniProtKB	Q88NS9	dinG	enables	GO:0003676	nucleic acid binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006555|InterPro:IPR011545	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	InterPro	ATP-dependent DNA helicase DinG	20260706
UniProtKB	Q88NS9	dinG	enables	GO:0003677	DNA binding	molecular_function	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000804393	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	ATP-dependent DNA helicase DinG	20260706
UniProtKB	Q88NS9	dinG	enables	GO:0003678	DNA helicase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR039000|PANTHER:PTN002263165	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	ATP-dependent DNA helicase DinG	20260706
UniProtKB	Q88NS9	dinG	enables	GO:0004386	helicase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006555	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	InterPro	ATP-dependent DNA helicase DinG	20260706
UniProtKB	Q88NS9	dinG	enables	GO:0005524	ATP binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR006555|InterPro:IPR011545|InterPro:IPR014013|UniRule:UR000400010|UniRule:UR000804393	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	ATP-dependent DNA helicase DinG	20260706
UniProtKB	Q88NS9	dinG	involved_in	GO:0006281	DNA repair	biological_process	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN002263165	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	TreeGrafter	ATP-dependent DNA helicase DinG	20260706
UniProtKB	Q88NS9	dinG	involved_in	GO:0009432	SOS response	biological_process	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN002263165	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	TreeGrafter	ATP-dependent DNA helicase DinG	20260706
UniProtKB	Q88NS9	dinG	enables	GO:0016787	hydrolase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000400010	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	ATP-dependent DNA helicase DinG	20260706
UniProtKB	Q88NS9	dinG	enables	GO:0016818	hydrolase activity, acting on acid anhydrides, in phosphorus-containing anhydrides	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR006555	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	InterPro	ATP-dependent DNA helicase DinG	20260706
UniProtKB	Q88NS9	dinG	enables	GO:0016887	ATP hydrolysis activity	molecular_function	ECO:0007322	IEA	GO_REF:0000116	RHEA:13065	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	RHEA	ATP-dependent DNA helicase DinG	20260706
UniProtKB	Q88NS9	dinG	enables	GO:0033677	DNA/RNA helicase activity	molecular_function	ECO:0007826	IEA	GO_REF:0000118	PANTHER:PTN002263165	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	TreeGrafter	ATP-dependent DNA helicase DinG	20260706
UniProtKB	Q88NS9	dinG	enables	GO:0043139	5'-3' DNA helicase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	EC:5.6.2.3|UniRule:UR000804393	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	ATP-dependent DNA helicase DinG	20260706
UniProtKB	Q88NS9	dinG	enables	GO:0051539	4 iron, 4 sulfur cluster binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	PANTHER:PTN002263165|UniRule:UR000804393	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	ATP-dependent DNA helicase DinG	20260706
