GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q88I82	dnaE2	enables	GO:0003676	nucleic acid binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004365	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	InterPro	Error-prone DNA polymerase	20260706
UniProtKB	Q88I82	dnaE2	enables	GO:0003824	catalytic activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004013	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	InterPro	Error-prone DNA polymerase	20260706
UniProtKB	Q88I82	dnaE2	enables	GO:0003887	DNA-directed DNA polymerase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR023073|EC:2.7.7.7|UniRule:UR000087089	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Error-prone DNA polymerase	20260706
UniProtKB	Q88I82	dnaE2	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-SubCell:SL-0086|UniRule:UR000087089	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Error-prone DNA polymerase	20260706
UniProtKB	Q88I82	dnaE2	involved_in	GO:0006260	DNA replication	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004805|InterPro:IPR011708	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	InterPro	Error-prone DNA polymerase	20260706
UniProtKB	Q88I82	dnaE2	involved_in	GO:0006281	DNA repair	biological_process	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000087089	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Error-prone DNA polymerase	20260706
UniProtKB	Q88I82	dnaE2	involved_in	GO:0006974	DNA damage response	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026271	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Error-prone DNA polymerase	20260706
UniProtKB	Q88I82	dnaE2	enables	GO:0008408	3'-5' exonuclease activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004805|InterPro:IPR011708	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	InterPro	Error-prone DNA polymerase	20260706
UniProtKB	Q88I82	dnaE2	enables	GO:0034061	DNA polymerase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000116	RHEA:22508	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	RHEA	Error-prone DNA polymerase	20260706
UniProtKB	Q88I82	dnaE2	involved_in	GO:0071897	DNA biosynthetic process	biological_process	ECO:0000501	IEA	GO_REF:0000120	GO:0003887|GO:0034061	160488	Pseudomonas putida (strain ATCC 47054 / DSM 6125 / CFBP 8728 / NCIMB 11950 / KT2440)	UniProt	Error-prone DNA polymerase	20260706
