GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q4LEZ3	AARD	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:A5D8V6	9606	Homo sapiens	IntAct	Alanine- and arginine-rich domain-containing protein	20260704
UniProtKB	Q4LEZ3	AARD	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:O15481	9606	Homo sapiens	IntAct	Alanine- and arginine-rich domain-containing protein	20260704
UniProtKB	Q4LEZ3	AARD	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:P32856-2	9606	Homo sapiens	IntAct	Alanine- and arginine-rich domain-containing protein	20260704
UniProtKB	Q4LEZ3	AARD	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:P61968	9606	Homo sapiens	IntAct	Alanine- and arginine-rich domain-containing protein	20260704
UniProtKB	Q4LEZ3	AARD	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q13190	9606	Homo sapiens	IntAct	Alanine- and arginine-rich domain-containing protein	20260704
UniProtKB	Q4LEZ3	AARD	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q16623	9606	Homo sapiens	IntAct	Alanine- and arginine-rich domain-containing protein	20260704
UniProtKB	Q4LEZ3	AARD	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q2KHM9	9606	Homo sapiens	IntAct	Alanine- and arginine-rich domain-containing protein	20260704
UniProtKB	Q4LEZ3	AARD	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q2M2I5	9606	Homo sapiens	IntAct	Alanine- and arginine-rich domain-containing protein	20260704
UniProtKB	Q4LEZ3	AARD	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q4V328	9606	Homo sapiens	IntAct	Alanine- and arginine-rich domain-containing protein	20260704
UniProtKB	Q4LEZ3	AARD	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q7L2Z9	9606	Homo sapiens	IntAct	Alanine- and arginine-rich domain-containing protein	20260704
UniProtKB	Q4LEZ3	AARD	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q7Z3Y8	9606	Homo sapiens	IntAct	Alanine- and arginine-rich domain-containing protein	20260704
UniProtKB	Q4LEZ3	AARD	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q86XR8-3	9606	Homo sapiens	IntAct	Alanine- and arginine-rich domain-containing protein	20260704
UniProtKB	Q4LEZ3	AARD	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q96HA8	9606	Homo sapiens	IntAct	Alanine- and arginine-rich domain-containing protein	20260704
UniProtKB	Q4LEZ3	AARD	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9BZW7	9606	Homo sapiens	IntAct	Alanine- and arginine-rich domain-containing protein	20260704
UniProtKB	Q4LEZ3	AARD	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9UBB9	9606	Homo sapiens	IntAct	Alanine- and arginine-rich domain-containing protein	20260704
