GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q8TDN7	ACER1	is_active_in	GO:0005783	endoplasmic reticulum	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2181962|PANTHER:PTN002919661|UniProtKB:Q8TDN7	9606	Homo sapiens	GO_Central	Alkaline ceramidase 1	20260530
UniProtKB	Q8TDN7	ACER1	enables	GO:0017040	N-acylsphingosine amidohydrolase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1920932|MGI:MGI:2181962|PANTHER:PTN000310824|UniProtKB:Q5QJU3|UniProtKB:Q8TDN7	9606	Homo sapiens	GO_Central	Alkaline ceramidase 1	20241121
UniProtKB	Q8TDN7	ACER1	involved_in	GO:0046512	sphingosine biosynthetic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1920932|MGI:MGI:2181962|PANTHER:PTN000310824|UniProtKB:Q5QJU3|UniProtKB:Q8TDN7	9606	Homo sapiens	GO_Central	Alkaline ceramidase 1	20220331
UniProtKB	Q8TDN7	ACER1	involved_in	GO:0046514	ceramide catabolic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0045064|MGI:MGI:2181962|PANTHER:PTN000986980|UniProtKB:Q5QJU3|UniProtKB:Q8TDN7	9606	Homo sapiens	GO_Central	Alkaline ceramidase 1	20220331
UniProtKB	Q8TDN7	ACER1	located_in	GO:0005789	endoplasmic reticulum membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0097	9606	Homo sapiens	UniProt	Alkaline ceramidase 1	20260706
UniProtKB	Q8TDN7	ACER1	involved_in	GO:0006672	ceramide metabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008901	9606	Homo sapiens	InterPro	Alkaline ceramidase 1	20260706
UniProtKB	Q8TDN7	ACER1	located_in	GO:0016020	membrane	cellular_component	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008901	9606	Homo sapiens	InterPro	Alkaline ceramidase 1	20260706
UniProtKB	Q8TDN7	ACER1	enables	GO:0017040	N-acylsphingosine amidohydrolase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:Q8R4X1|ensembl:ENSMUSP00000062037|RHEA:20856|RHEA:41267|RHEA:41283|RHEA:41299|EC:3.5.1.23	9606	Homo sapiens	UniProt	Alkaline ceramidase 1	20260706
UniProtKB	Q8TDN7	ACER1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q00013	9606	Homo sapiens	IntAct	Alkaline ceramidase 1	20260704
UniProtKB	Q8TDN7	ACER1	involved_in	GO:0046512	sphingosine biosynthetic process	biological_process	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00027422|UniProtKB:Q8R4X1|ensembl:ENSMUSP00000062037	9606	Homo sapiens	UniProt	Alkaline ceramidase 1	20260629
UniProtKB	Q8TDN7	ACER1	involved_in	GO:0046514	ceramide catabolic process	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8R4X1|ensembl:ENSMUSP00000062037	9606	Homo sapiens	Ensembl	Alkaline ceramidase 1	20260629
UniProtKB	Q8TDN7	ACER1	involved_in	GO:0048733	sebaceous gland development	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8R4X1|ensembl:ENSMUSP00000062037	9606	Homo sapiens	Ensembl	Alkaline ceramidase 1	20260629
UniProtKB	Q8TDN7	ACER1	involved_in	GO:0030149	sphingolipid catabolic process	biological_process	ECO:0000304	TAS	Reactome:R-HSA-9845614		9606	Homo sapiens	Reactome	Alkaline ceramidase 1	20260316
UniProtKB	Q8TDN7	ACER1	involved_in	GO:0006665	sphingolipid metabolic process	biological_process	ECO:0007322	IEA	GO_REF:0000041	UniPathway:UPA00222	9606	Homo sapiens	UniProt	Alkaline ceramidase 1	20260227
UniProtKB	Q8TDN7	ACER1	enables	GO:0017040	N-acylsphingosine amidohydrolase activity	molecular_function	ECO:0000304	TAS	Reactome:R-HSA-428231		9606	Homo sapiens	Reactome	Alkaline ceramidase 1	20260222
UniProtKB	Q8TDN7	ACER1	located_in	GO:0005789	endoplasmic reticulum membrane	cellular_component	ECO:0000269	EXP	PMID:17713573		9606	Homo sapiens	UniProt	Alkaline ceramidase 1	20240916
UniProtKB	Q8TDN7	ACER1	enables	GO:0017040	N-acylsphingosine amidohydrolase activity	molecular_function	ECO:0000315	IMP	PMID:20207939		9606	Homo sapiens	UniProt	Alkaline ceramidase 1	20181127
UniProtKB	Q8TDN7	ACER1	involved_in	GO:0046512	sphingosine biosynthetic process	biological_process	ECO:0000315	IMP	PMID:20207939		9606	Homo sapiens	UniProt	Alkaline ceramidase 1	20181127
UniProtKB	Q8TDN7	ACER1	involved_in	GO:0046514	ceramide catabolic process	biological_process	ECO:0000315	IMP	PMID:20207939		9606	Homo sapiens	UniProt	Alkaline ceramidase 1	20181127
UniProtKB	Q8TDN7	ACER1	located_in	GO:0005789	endoplasmic reticulum membrane	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-428231		9606	Homo sapiens	Reactome	Alkaline ceramidase 1	20130213
UniProtKB	Q8TDN7	ACER1	located_in	GO:0005783	endoplasmic reticulum	cellular_component	ECO:0000314	IDA	PMID:17713573		9606	Homo sapiens	BHF-UCL	Alkaline ceramidase 1	20120626
UniProtKB	Q8TDN7	ACER1	involved_in	GO:0006665	sphingolipid metabolic process	biological_process	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q8R4X1	9606	Homo sapiens	BHF-UCL	Alkaline ceramidase 1	20120626
UniProtKB	Q8TDN7	ACER1	involved_in	GO:0008544	epidermis development	biological_process	ECO:0000270	IEP	PMID:16477081		9606	Homo sapiens	BHF-UCL	Alkaline ceramidase 1	20120626
UniProtKB	Q8TDN7	ACER1	involved_in	GO:0010446	response to alkaline pH	biological_process	ECO:0000314	IDA	PMID:17713573		9606	Homo sapiens	BHF-UCL	Alkaline ceramidase 1	20120626
UniProtKB	Q8TDN7	ACER1	enables	GO:0017040	N-acylsphingosine amidohydrolase activity	molecular_function	ECO:0000314	IDA	PMID:17713573		9606	Homo sapiens	BHF-UCL	Alkaline ceramidase 1	20120626
UniProtKB	Q8TDN7	ACER1	involved_in	GO:0030148	sphingolipid biosynthetic process	biological_process	ECO:0000314	IDA	PMID:17713573		9606	Homo sapiens	BHF-UCL	Alkaline ceramidase 1	20120626
UniProtKB	Q8TDN7	ACER1	involved_in	GO:0030154	cell differentiation	biological_process	ECO:0000315	IMP	PMID:17713573		9606	Homo sapiens	BHF-UCL	Alkaline ceramidase 1	20120626
UniProtKB	Q8TDN7	ACER1	involved_in	GO:0030216	keratinocyte differentiation	biological_process	ECO:0000270	IEP	PMID:16477081		9606	Homo sapiens	BHF-UCL	Alkaline ceramidase 1	20120626
UniProtKB	Q8TDN7	ACER1	involved_in	GO:0046512	sphingosine biosynthetic process	biological_process	ECO:0000314	IDA	PMID:17713573		9606	Homo sapiens	BHF-UCL	Alkaline ceramidase 1	20120626
UniProtKB	Q8TDN7	ACER1	involved_in	GO:0046514	ceramide catabolic process	biological_process	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q8R4X1	9606	Homo sapiens	BHF-UCL	Alkaline ceramidase 1	20120626
UniProtKB	Q8TDN7	ACER1	involved_in	GO:0071277	cellular response to calcium ion	biological_process	ECO:0000314	IDA	PMID:17713573		9606	Homo sapiens	BHF-UCL	Alkaline ceramidase 1	20120626
UniProtKB	Q8TDN7	ACER1	enables	GO:0017040	N-acylsphingosine amidohydrolase activity	molecular_function	ECO:0000314	IDA	PMID:20628055		9606	Homo sapiens	BHF-UCL	Alkaline ceramidase 1	20120614
UniProtKB	Q8TDN7	ACER1	involved_in	GO:0046512	sphingosine biosynthetic process	biological_process	ECO:0000314	IDA	PMID:20628055		9606	Homo sapiens	BHF-UCL	Alkaline ceramidase 1	20120614
