GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9UKV3	ACIN1	involved_in	GO:0008380	RNA splicing	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0263198|PANTHER:PTN005311338	9606	Homo sapiens	GO_Central	Apoptotic chromatin condensation inducer in the nucleus	20220330
UniProtKB	Q9UKV3	ACIN1	part_of	GO:0061574	ASAP complex	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN005311338|UniProtKB:Q9UKV3	9606	Homo sapiens	GO_Central	Apoptotic chromatin condensation inducer in the nucleus	20220330
UniProtKB	Q9UKV3	ACIN1	enables	GO:0003676	nucleic acid binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR035979	9606	Homo sapiens	InterPro	Apoptotic chromatin condensation inducer in the nucleus	20260428
UniProtKB	Q9UKV3	ACIN1	located_in	GO:0005634	nucleus	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0191	9606	Homo sapiens	UniProt	Apoptotic chromatin condensation inducer in the nucleus	20260428
UniProtKB	Q9UKV3	ACIN1	located_in	GO:0005654	nucleoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0190	9606	Homo sapiens	UniProt	Apoptotic chromatin condensation inducer in the nucleus	20260428
UniProtKB	Q9UKV3	ACIN1	located_in	GO:0016607	nuclear speck	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0186	9606	Homo sapiens	UniProt	Apoptotic chromatin condensation inducer in the nucleus	20260428
UniProtKB	Q9UKV3	ACIN1	located_in	GO:0031981	nuclear lumen	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026536	9606	Homo sapiens	UniProt	Apoptotic chromatin condensation inducer in the nucleus	20260428
UniProtKB	Q9UKV3	ACIN1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:17332742	UniProtKB:Q15428	9606	Homo sapiens	IntAct	Apoptotic chromatin condensation inducer in the nucleus	20260425
UniProtKB	Q9UKV3	ACIN1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:20195357	UniProtKB:P61457	9606	Homo sapiens	IntAct	Apoptotic chromatin condensation inducer in the nucleus	20260425
UniProtKB	Q9UKV3	ACIN1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:22365833	UniProtKB:P78362	9606	Homo sapiens	IntAct	Apoptotic chromatin condensation inducer in the nucleus	20260425
UniProtKB	Q9UKV3	ACIN1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:22365833	UniProtKB:Q15287	9606	Homo sapiens	IntAct	Apoptotic chromatin condensation inducer in the nucleus	20260425
UniProtKB	Q9UKV3	ACIN1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:23602568	UniProtKB:P78362	9606	Homo sapiens	IntAct	Apoptotic chromatin condensation inducer in the nucleus	20260425
UniProtKB	Q9UKV3	ACIN1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:28514442	UniProtKB:Q9H307	9606	Homo sapiens	IntAct	Apoptotic chromatin condensation inducer in the nucleus	20260425
UniProtKB	Q9UKV3	ACIN1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:30021884	UniProtKB:Q9H307	9606	Homo sapiens	IntAct	Apoptotic chromatin condensation inducer in the nucleus	20260425
