GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q6IQ32	ADNP2	is_active_in	GO:0005634	nucleus	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000405125|UniProtKB:Q9H2P0|ZFIN:ZDB-GENE-061215-112	9606	Homo sapiens	GO_Central	Activity-dependent neuroprotector homeobox protein 2	20231109
UniProtKB	Q6IQ32	ADNP2	involved_in	GO:0010468	regulation of gene expression	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1338758|PANTHER:PTN000405125|RGD:71030	9606	Homo sapiens	GO_Central	Activity-dependent neuroprotector homeobox protein 2	20230111
UniProtKB	Q6IQ32	ADNP2	enables	GO:0003677	DNA binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001356	9606	Homo sapiens	InterPro	Activity-dependent neuroprotector homeobox protein 2	20260706
UniProtKB	Q6IQ32	ADNP2	located_in	GO:0005634	nucleus	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0191	9606	Homo sapiens	UniProt	Activity-dependent neuroprotector homeobox protein 2	20260706
UniProtKB	Q6IQ32	ADNP2	involved_in	GO:0006357	regulation of transcription by RNA polymerase II	biological_process	ECO:0000364	IEA	GO_REF:0000108	GO:0000981	9606	Homo sapiens	GOC	Activity-dependent neuroprotector homeobox protein 2	20260706
UniProtKB	Q6IQ32	ADNP2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:21888893	UniProtKB:P83916	9606	Homo sapiens	IntAct	Activity-dependent neuroprotector homeobox protein 2	20260704
UniProtKB	Q6IQ32	ADNP2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:21888893	UniProtKB:Q13185	9606	Homo sapiens	IntAct	Activity-dependent neuroprotector homeobox protein 2	20260704
UniProtKB	Q6IQ32	ADNP2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:24981860	UniProtKB:P83916	9606	Homo sapiens	IntAct	Activity-dependent neuroprotector homeobox protein 2	20260704
UniProtKB	Q6IQ32	ADNP2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:27705803	UniProtKB:P83916	9606	Homo sapiens	IntAct	Activity-dependent neuroprotector homeobox protein 2	20260704
UniProtKB	Q6IQ32	ADNP2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:27705803	UniProtKB:Q13185	9606	Homo sapiens	IntAct	Activity-dependent neuroprotector homeobox protein 2	20260704
UniProtKB	Q6IQ32	ADNP2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q13185	9606	Homo sapiens	IntAct	Activity-dependent neuroprotector homeobox protein 2	20260704
UniProtKB	Q6IQ32	ADNP2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:33961781	UniProtKB:P83916	9606	Homo sapiens	IntAct	Activity-dependent neuroprotector homeobox protein 2	20260704
UniProtKB	Q6IQ32	ADNP2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:33961781	UniProtKB:Q13185	9606	Homo sapiens	IntAct	Activity-dependent neuroprotector homeobox protein 2	20260704
UniProtKB	Q6IQ32	ADNP2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:35271311	UniProtKB:P83916	9606	Homo sapiens	IntAct	Activity-dependent neuroprotector homeobox protein 2	20260704
UniProtKB	Q6IQ32	ADNP2	involved_in	GO:0007399	nervous system development	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q8CHC8|ensembl:ENSMUSP00000068560	9606	Homo sapiens	Ensembl	Activity-dependent neuroprotector homeobox protein 2	20260629
UniProtKB	Q6IQ32	ADNP2	involved_in	GO:0007399	nervous system development	biological_process	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q8CHC8	9606	Homo sapiens	UniProt	Activity-dependent neuroprotector homeobox protein 2	20230207
UniProtKB	Q6IQ32	ADNP2	located_in	GO:0000785	chromatin	cellular_component	ECO:0005556	ISA	GO_REF:0000113	tfclass:3.1.8	9606	Homo sapiens	NTNU_SB	Activity-dependent neuroprotector homeobox protein 2	20190405
UniProtKB	Q6IQ32	ADNP2	enables	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	molecular_function	ECO:0005556	ISA	GO_REF:0000113	tfclass:3.1.8	9606	Homo sapiens	NTNU_SB	Activity-dependent neuroprotector homeobox protein 2	20190405
