GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9NZD4	AHSP	is_active_in	GO:0005737	cytoplasm	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2158492|PANTHER:PTN000408386	9606	Homo sapiens	GO_Central	Alpha-hemoglobin-stabilizing protein	20170921
UniProtKB	Q9NZD4	AHSP	involved_in	GO:0006457	protein folding	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2158492|PANTHER:PTN000408386	9606	Homo sapiens	GO_Central	Alpha-hemoglobin-stabilizing protein	20170921
UniProtKB	Q9NZD4	AHSP	involved_in	GO:0030218	erythrocyte differentiation	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2158492|PANTHER:PTN000408386	9606	Homo sapiens	GO_Central	Alpha-hemoglobin-stabilizing protein	20170921
UniProtKB	Q9NZD4	AHSP	involved_in	GO:0050821	protein stabilization	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2158492|PANTHER:PTN000408386	9606	Homo sapiens	GO_Central	Alpha-hemoglobin-stabilizing protein	20170921
UniProtKB	Q9NZD4	AHSP	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:Q9CY02|ensembl:ENSMUSP00000159842|UniProtKB-SubCell:SL-0086	9606	Homo sapiens	UniProt	Alpha-hemoglobin-stabilizing protein	20260727
UniProtKB	Q9NZD4	AHSP	involved_in	GO:0006457	protein folding	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR015317	9606	Homo sapiens	InterPro	Alpha-hemoglobin-stabilizing protein	20260727
UniProtKB	Q9NZD4	AHSP	involved_in	GO:0030218	erythrocyte differentiation	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR015317	9606	Homo sapiens	InterPro	Alpha-hemoglobin-stabilizing protein	20260727
UniProtKB	Q9NZD4	AHSP	enables	GO:0030492	hemoglobin binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR015317	9606	Homo sapiens	InterPro	Alpha-hemoglobin-stabilizing protein	20260727
UniProtKB	Q9NZD4	AHSP	involved_in	GO:0050821	protein stabilization	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR015317	9606	Homo sapiens	InterPro	Alpha-hemoglobin-stabilizing protein	20260727
UniProtKB	Q9NZD4	AHSP	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:15550245	UniProtKB:P69905	9606	Homo sapiens	IntAct	Alpha-hemoglobin-stabilizing protein	20260725
UniProtKB	Q9NZD4	AHSP	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:16189514	UniProtKB:Q5D1E8	9606	Homo sapiens	IntAct	Alpha-hemoglobin-stabilizing protein	20260725
UniProtKB	Q9NZD4	AHSP	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25156257	UniProtKB:P69905	9606	Homo sapiens	IntAct	Alpha-hemoglobin-stabilizing protein	20260725
UniProtKB	Q9NZD4	AHSP	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:P62942	9606	Homo sapiens	IntAct	Alpha-hemoglobin-stabilizing protein	20260725
UniProtKB	Q9NZD4	AHSP	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q05086-2	9606	Homo sapiens	IntAct	Alpha-hemoglobin-stabilizing protein	20260725
UniProtKB	Q9NZD4	AHSP	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q5D1E8	9606	Homo sapiens	IntAct	Alpha-hemoglobin-stabilizing protein	20260725
UniProtKB	Q9NZD4	AHSP	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:P17024	9606	Homo sapiens	IntAct	Alpha-hemoglobin-stabilizing protein	20260725
UniProtKB	Q9NZD4	AHSP	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:P20618	9606	Homo sapiens	IntAct	Alpha-hemoglobin-stabilizing protein	20260725
UniProtKB	Q9NZD4	AHSP	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q8IUQ0	9606	Homo sapiens	IntAct	Alpha-hemoglobin-stabilizing protein	20260725
UniProtKB	Q9NZD4	AHSP	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9Y2B5	9606	Homo sapiens	IntAct	Alpha-hemoglobin-stabilizing protein	20260725
UniProtKB	Q9NZD4	AHSP	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:40205054	UniProtKB:P69905	9606	Homo sapiens	IntAct	Alpha-hemoglobin-stabilizing protein	20260725
UniProtKB	Q9NZD4	AHSP	part_of	GO:0005833	hemoglobin complex	cellular_component	ECO:0000303	NAS	PMID:12066189		9606	Homo sapiens	UniProt	Alpha-hemoglobin-stabilizing protein	20021104
UniProtKB	Q9NZD4	AHSP	involved_in	GO:0020027	hemoglobin metabolic process	biological_process	ECO:0000303	NAS	PMID:12066189		9606	Homo sapiens	UniProt	Alpha-hemoglobin-stabilizing protein	20021104
UniProtKB	Q9NZD4	AHSP	involved_in	GO:0030097	hemopoiesis	biological_process	ECO:0000303	NAS	PMID:12066189		9606	Homo sapiens	UniProt	Alpha-hemoglobin-stabilizing protein	20021104
UniProtKB	Q9NZD4	AHSP	enables	GO:0030492	hemoglobin binding	molecular_function	ECO:0000303	NAS	PMID:12066189		9606	Homo sapiens	UniProt	Alpha-hemoglobin-stabilizing protein	20021104
