GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9NZN9	AIPL1	enables	GO:0003755	peptidyl-prolyl cis-trans isomerase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR046357	9606	Homo sapiens	InterPro	Aryl-hydrocarbon-interacting protein-like 1	20260428
UniProtKB	Q9NZN9	AIPL1	located_in	GO:0005634	nucleus	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0191	9606	Homo sapiens	UniProt	Aryl-hydrocarbon-interacting protein-like 1	20260428
UniProtKB	Q9NZN9	AIPL1	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	9606	Homo sapiens	UniProt	Aryl-hydrocarbon-interacting protein-like 1	20260428
UniProtKB	Q9NZN9	AIPL1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:12374762	UniProtKB:Q9Y5A7	9606	Homo sapiens	IntAct	Aryl-hydrocarbon-interacting protein-like 1	20260425
UniProtKB	Q9NZN9	AIPL1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:21044950	UniProtKB:Q9BSI4	9606	Homo sapiens	IntAct	Aryl-hydrocarbon-interacting protein-like 1	20260425
UniProtKB	Q9NZN9	AIPL1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:P52954	9606	Homo sapiens	IntAct	Aryl-hydrocarbon-interacting protein-like 1	20260425
UniProtKB	Q9NZN9	AIPL1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q8IYB5-2	9606	Homo sapiens	IntAct	Aryl-hydrocarbon-interacting protein-like 1	20260425
UniProtKB	Q9NZN9	AIPL1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9NRY6	9606	Homo sapiens	IntAct	Aryl-hydrocarbon-interacting protein-like 1	20260425
UniProtKB	Q9NZN9	AIPL1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9NX01	9606	Homo sapiens	IntAct	Aryl-hydrocarbon-interacting protein-like 1	20260425
UniProtKB	Q9NZN9	AIPL1	located_in	GO:0001917	photoreceptor inner segment	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q924K1|ensembl:ENSMUSP00000036279	9606	Homo sapiens	Ensembl	Aryl-hydrocarbon-interacting protein-like 1	20260422
UniProtKB	Q9NZN9	AIPL1	enables	GO:0001918	farnesylated protein binding	molecular_function	ECO:0000314	IDA	PMID:14555765		9606	Homo sapiens	MGI	Aryl-hydrocarbon-interacting protein-like 1	20101102
UniProtKB	Q9NZN9	AIPL1	located_in	GO:0005634	nucleus	cellular_component	ECO:0000314	IDA	PMID:12374762		9606	Homo sapiens	MGI	Aryl-hydrocarbon-interacting protein-like 1	20101102
UniProtKB	Q9NZN9	AIPL1	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000314	IDA	PMID:12374762		9606	Homo sapiens	MGI	Aryl-hydrocarbon-interacting protein-like 1	20101102
UniProtKB	Q9NZN9	AIPL1	acts_upstream_of_or_within	GO:0018343	protein farnesylation	biological_process	ECO:0000314	IDA	PMID:14555765		9606	Homo sapiens	MGI	Aryl-hydrocarbon-interacting protein-like 1	20101102
UniProtKB	Q9NZN9	AIPL1	located_in	GO:0005634	nucleus	cellular_component	ECO:0000304	TAS	PMID:10615133		9606	Homo sapiens	PINC	Aryl-hydrocarbon-interacting protein-like 1	20030904
UniProtKB	Q9NZN9	AIPL1	involved_in	GO:0007601	visual perception	biological_process	ECO:0000304	TAS	PMID:10615133		9606	Homo sapiens	PINC	Aryl-hydrocarbon-interacting protein-like 1	20030904
