GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P17516	AKR1C4	enables	GO:0004032	aldose reductase (NADPH) activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0086254|MGI:MGI:101918|MGI:MGI:1353494|MGI:MGI:1929955|PANTHER:PTN000198921|RGD:2092|RGD:620257|SGD:S000001146|SGD:S000002282|SGD:S000002776|SGD:S000003857|SGD:S000005646|UniProtKB:P15121|UniProtKB:P42330|UniProtKB:P52895|UniProtKB:Q04828|dictyBase:DDB_G0293850	9606	Homo sapiens	GO_Central	Aldo-keto reductase family 1 member C4	20260528
UniProtKB	P17516	AKR1C4	is_active_in	GO:0005829	cytosol	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:101918|MGI:MGI:1353494|MGI:MGI:1929955|MGI:MGI:1933427|PANTHER:PTN000198921|RGD:708361|RGD:708428|SGD:S000000353|UniProtKB:C9JRZ8|UniProtKB:O60218|UniProtKB:P14550|UniProtKB:P15121|UniProtKB:P42330|UniProtKB:P51857|UniProtKB:Q04828|UniProtKB:Q46857|dictyBase:DDB_G0293850	9606	Homo sapiens	GO_Central	Aldo-keto reductase family 1 member C4	20260528
UniProtKB	P17516	AKR1C4	enables	GO:0047023	androsterone dehydrogenase [NAD(P)+] activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1924587|MGI:MGI:2145458|PANTHER:PTN000199031|UniProtKB:P17516|UniProtKB:P42330|UniProtKB:P52895|UniProtKB:Q04828	9606	Homo sapiens	GO_Central	Aldo-keto reductase family 1 member C4	20260528
UniProtKB	P17516	AKR1C4	enables	GO:0032052	bile acid binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1924587|PANTHER:PTN000199031|UniProtKB:P52895|UniProtKB:Q04828	9606	Homo sapiens	GO_Central	Aldo-keto reductase family 1 member C4	20240918
UniProtKB	P17516	AKR1C4	involved_in	GO:0044598	doxorubicin metabolic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000199031|UniProtKB:P17516|UniProtKB:P42330|UniProtKB:P52895|UniProtKB:Q04828	9606	Homo sapiens	GO_Central	Aldo-keto reductase family 1 member C4	20200807
UniProtKB	P17516	AKR1C4	involved_in	GO:0006693	prostaglandin metabolic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000199031|UniProtKB:P42330|UniProtKB:P52895	9606	Homo sapiens	GO_Central	Aldo-keto reductase family 1 member C4	20170619
UniProtKB	P17516	AKR1C4	involved_in	GO:0042448	progesterone metabolic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2145420|PANTHER:PTN000199031|RGD:708428|UniProtKB:P42330|UniProtKB:P52895|UniProtKB:Q04828	9606	Homo sapiens	GO_Central	Aldo-keto reductase family 1 member C4	20170619
UniProtKB	P17516	AKR1C4	involved_in	GO:0044597	daunorubicin metabolic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000199031|UniProtKB:P17516|UniProtKB:P42330|UniProtKB:P52895|UniProtKB:Q04828	9606	Homo sapiens	GO_Central	Aldo-keto reductase family 1 member C4	20170619
UniProtKB	P17516	AKR1C4	enables	GO:0047086	ketosteroid monooxygenase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000199026|UniProtKB:P42330|UniProtKB:P52895|UniProtKB:Q04828	9606	Homo sapiens	GO_Central	Aldo-keto reductase family 1 member C4	20170619
UniProtKB	P17516	AKR1C4	enables	GO:0000253	3-beta-hydroxysteroid 3-dehydrogenase (NADP+) activity	molecular_function	ECO:0007322	IEA	GO_REF:0000116	RHEA:85555|RHEA:85563	9606	Homo sapiens	RHEA	Aldo-keto reductase family 1 member C4	20260706
UniProtKB	P17516	AKR1C4	enables	GO:0004303	estradiol 17-beta-dehydrogenase [NAD(P)+] activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	RHEA:24612|RHEA:24616|EC:1.1.1.62	9606	Homo sapiens	UniProt	Aldo-keto reductase family 1 member C4	20260706
