GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P55056	APOC4	involved_in	GO:0019915	lipid storage	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000792756|UniProtKB:P55056	9606	Homo sapiens	GO_Central	Apolipoprotein C-IV	20250624
UniProtKB	P55056	APOC4	part_of	GO:0034361	very-low-density lipoprotein particle	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:87878|PANTHER:PTN000792756|UniProtKB:P55056	9606	Homo sapiens	GO_Central	Apolipoprotein C-IV	20170228
UniProtKB	P55056	APOC4	part_of	GO:0034364	high-density lipoprotein particle	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000792756|UniProtKB:P55056	9606	Homo sapiens	GO_Central	Apolipoprotein C-IV	20170228
UniProtKB	P55056	APOC4	involved_in	GO:0070328	triglyceride homeostasis	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000792756|UniProtKB:P55056	9606	Homo sapiens	GO_Central	Apolipoprotein C-IV	20170228
UniProtKB	P55056	APOC4	located_in	GO:0005576	extracellular region	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0243	9606	Homo sapiens	UniProt	Apolipoprotein C-IV	20260727
UniProtKB	P55056	APOC4	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:P07204	9606	Homo sapiens	IntAct	Apolipoprotein C-IV	20260725
UniProtKB	P55056	APOC4	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:P40305-1	9606	Homo sapiens	IntAct	Apolipoprotein C-IV	20260725
UniProtKB	P55056	APOC4	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q05329	9606	Homo sapiens	IntAct	Apolipoprotein C-IV	20260725
UniProtKB	P55056	APOC4	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q17RD7	9606	Homo sapiens	IntAct	Apolipoprotein C-IV	20260725
UniProtKB	P55056	APOC4	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q5SQN1	9606	Homo sapiens	IntAct	Apolipoprotein C-IV	20260725
UniProtKB	P55056	APOC4	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q5TGZ0	9606	Homo sapiens	IntAct	Apolipoprotein C-IV	20260725
UniProtKB	P55056	APOC4	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q5XKP0	9606	Homo sapiens	IntAct	Apolipoprotein C-IV	20260725
UniProtKB	P55056	APOC4	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q6P1Q0	9606	Homo sapiens	IntAct	Apolipoprotein C-IV	20260725
UniProtKB	P55056	APOC4	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q6ZUI0	9606	Homo sapiens	IntAct	Apolipoprotein C-IV	20260725
UniProtKB	P55056	APOC4	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q8WWC4	9606	Homo sapiens	IntAct	Apolipoprotein C-IV	20260725
