GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q6ZSZ5	ARHGEF18	is_active_in	GO:0005886	plasma membrane	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002677825|UniProtKB:A0A590UK10|UniProtKB:Q6ZSZ5	9606	Homo sapiens	GO_Central	Rho guanine nucleotide exchange factor 18	20260529
UniProtKB	Q6ZSZ5	ARHGEF18	enables	GO:0005085	guanyl-nucleotide exchange factor activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0032796|MGI:MGI:103264|PANTHER:PTN002677784|UniProtKB:Q12802|UniProtKB:Q6ZSZ5|UniProtKB:Q8N1W1|UniProtKB:Q92974	9606	Homo sapiens	GO_Central	Rho guanine nucleotide exchange factor 18	20250516
UniProtKB	Q6ZSZ5	ARHGEF18	involved_in	GO:0007264	small GTPase-mediated signal transduction	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002677784|UniProtKB:Q6ZSZ5	9606	Homo sapiens	GO_Central	Rho guanine nucleotide exchange factor 18	20250516
UniProtKB	Q6ZSZ5	ARHGEF18	involved_in	GO:0035023	regulation of Rho protein signal transduction	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:103264|PANTHER:PTN002677784|UniProtKB:Q12802	9606	Homo sapiens	GO_Central	Rho guanine nucleotide exchange factor 18	20200305
UniProtKB	Q6ZSZ5	ARHGEF18	enables	GO:0005085	guanyl-nucleotide exchange factor activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00028188|InterPro:IPR000219|InterPro:IPR037744	9606	Homo sapiens	UniProt	Rho guanine nucleotide exchange factor 18	20260727
UniProtKB	Q6ZSZ5	ARHGEF18	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	9606	Homo sapiens	UniProt	Rho guanine nucleotide exchange factor 18	20260727
UniProtKB	Q6ZSZ5	ARHGEF18	located_in	GO:0005856	cytoskeleton	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0090	9606	Homo sapiens	UniProt	Rho guanine nucleotide exchange factor 18	20260727
UniProtKB	Q6ZSZ5	ARHGEF18	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0039	9606	Homo sapiens	UniProt	Rho guanine nucleotide exchange factor 18	20260727
UniProtKB	Q6ZSZ5	ARHGEF18	involved_in	GO:0007264	small GTPase-mediated signal transduction	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR037744	9606	Homo sapiens	InterPro	Rho guanine nucleotide exchange factor 18	20260727
UniProtKB	Q6ZSZ5	ARHGEF18	located_in	GO:0016324	apical plasma membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0015	9606	Homo sapiens	UniProt	Rho guanine nucleotide exchange factor 18	20260727
