GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9UI12	ATP6V1H	part_of	GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000075631|SGD:S000006240|UniProtKB:O46563	9606	Homo sapiens	GO_Central	V-type proton ATPase subunit H	20251105
UniProtKB	Q9UI12	ATP6V1H	involved_in	GO:0007042	lysosomal lumen acidification	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0027779|PANTHER:PTN000075631	9606	Homo sapiens	GO_Central	V-type proton ATPase subunit H	20251105
UniProtKB	Q9UI12	ATP6V1H	involved_in	GO:0097401	synaptic vesicle lumen acidification	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1914864|PANTHER:PTN000075635	9606	Homo sapiens	GO_Central	V-type proton ATPase subunit H	20251105
UniProtKB	Q9UI12	ATP6V1H	part_of	GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	cellular_component	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004908|InterPro:IPR011987	9606	Homo sapiens	InterPro	V-type proton ATPase subunit H	20260601
UniProtKB	Q9UI12	ATP6V1H	located_in	GO:0016020	membrane	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028763	9606	Homo sapiens	UniProt	V-type proton ATPase subunit H	20260601
UniProtKB	Q9UI12	ATP6V1H	located_in	GO:0030665	clathrin-coated vesicle membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0071	9606	Homo sapiens	UniProt	V-type proton ATPase subunit H	20260601
UniProtKB	Q9UI12	ATP6V1H	enables	GO:0046961	proton-transporting ATPase activity, rotational mechanism	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004908	9606	Homo sapiens	InterPro	V-type proton ATPase subunit H	20260601
UniProtKB	Q9UI12	ATP6V1H	involved_in	GO:1902600	proton transmembrane transport	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR004908|InterPro:IPR011987	9606	Homo sapiens	InterPro	V-type proton ATPase subunit H	20260601
UniProtKB	Q9UI12	ATP6V1H	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:O15079	9606	Homo sapiens	IntAct	V-type proton ATPase subunit H	20260530
UniProtKB	Q9UI12	ATP6V1H	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:P42772	9606	Homo sapiens	IntAct	V-type proton ATPase subunit H	20260530
UniProtKB	Q9UI12	ATP6V1H	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q96Q35-2	9606	Homo sapiens	IntAct	V-type proton ATPase subunit H	20260530
UniProtKB	Q9UI12	ATP6V1H	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9BZL4	9606	Homo sapiens	IntAct	V-type proton ATPase subunit H	20260530
UniProtKB	Q9UI12	ATP6V1H	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9UM82	9606	Homo sapiens	IntAct	V-type proton ATPase subunit H	20260530
UniProtKB	Q9UI12	ATP6V1H	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:P42858	9606	Homo sapiens	IntAct	V-type proton ATPase subunit H	20260530
UniProtKB	Q9UI12	ATP6V1H	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q96IK1-2	9606	Homo sapiens	IntAct	V-type proton ATPase subunit H	20260530
UniProtKB	Q9UI12	ATP6V1H	is_active_in	GO:0098850	extrinsic component of synaptic vesicle membrane	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:A0A8I5ZWI2|ensembl:ENSRNOP00000083793	9606	Homo sapiens	Ensembl	V-type proton ATPase subunit H	20260529
UniProtKB	Q9UI12	ATP6V1H	located_in	GO:0005829	cytosol	cellular_component	ECO:0000314	IDA	GO_REF:0000052		9606	Homo sapiens	HPA	V-type proton ATPase subunit H	20251115
UniProtKB	Q9UI12	ATP6V1H	located_in	GO:0000139	Golgi membrane	cellular_component	ECO:0005547	NAS	PMID:32001091		9606	Homo sapiens	ComplexPortal	V-type proton ATPase subunit H	20240902
UniProtKB	Q9UI12	ATP6V1H	located_in	GO:0005765	lysosomal membrane	cellular_component	ECO:0005547	NAS	PMID:32001091		9606	Homo sapiens	ComplexPortal	V-type proton ATPase subunit H	20240902
UniProtKB	Q9UI12	ATP6V1H	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0005547	NAS	PMID:32001091		9606	Homo sapiens	ComplexPortal	V-type proton ATPase subunit H	20240902
UniProtKB	Q9UI12	ATP6V1H	involved_in	GO:0007035	vacuolar acidification	biological_process	ECO:0005547	NAS	PMID:32001091		9606	Homo sapiens	ComplexPortal	V-type proton ATPase subunit H	20240902
UniProtKB	Q9UI12	ATP6V1H	involved_in	GO:0007042	lysosomal lumen acidification	biological_process	ECO:0005547	NAS	PMID:32001091		9606	Homo sapiens	ComplexPortal	V-type proton ATPase subunit H	20240902
UniProtKB	Q9UI12	ATP6V1H	involved_in	GO:0007042	lysosomal lumen acidification	biological_process	ECO:0005547	NAS	PMID:33065002		9606	Homo sapiens	ComplexPortal	V-type proton ATPase subunit H	20240902
UniProtKB	Q9UI12	ATP6V1H	located_in	GO:0010008	endosome membrane	cellular_component	ECO:0005547	NAS	PMID:32001091		9606	Homo sapiens	ComplexPortal	V-type proton ATPase subunit H	20240902
UniProtKB	Q9UI12	ATP6V1H	located_in	GO:0016020	membrane	cellular_component	ECO:0000314	IDA	PMID:33065002		9606	Homo sapiens	ComplexPortal	V-type proton ATPase subunit H	20240902
UniProtKB	Q9UI12	ATP6V1H	part_of	GO:0033176	proton-transporting V-type ATPase complex	cellular_component	ECO:0005547	NAS	PMID:33065002		9606	Homo sapiens	ComplexPortal	V-type proton ATPase subunit H	20240902
UniProtKB	Q9UI12	ATP6V1H	involved_in	GO:0048388	endosomal lumen acidification	biological_process	ECO:0005547	NAS	PMID:32001091		9606	Homo sapiens	ComplexPortal	V-type proton ATPase subunit H	20240902
UniProtKB	Q9UI12	ATP6V1H	involved_in	GO:0051452	intracellular pH reduction	biological_process	ECO:0005547	NAS	PMID:32001091		9606	Homo sapiens	ComplexPortal	V-type proton ATPase subunit H	20240902
UniProtKB	Q9UI12	ATP6V1H	involved_in	GO:0061795	Golgi lumen acidification	biological_process	ECO:0005547	NAS	PMID:32001091		9606	Homo sapiens	ComplexPortal	V-type proton ATPase subunit H	20240902
UniProtKB	Q9UI12	ATP6V1H	involved_in	GO:1902600	proton transmembrane transport	biological_process	ECO:0005547	NAS	PMID:33065002		9606	Homo sapiens	ComplexPortal	V-type proton ATPase subunit H	20240902
UniProtKB	Q9UI12	ATP6V1H	part_of	GO:0000221	vacuolar proton-transporting V-type ATPase, V1 domain	cellular_component	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:O46563	9606	Homo sapiens	UniProt	V-type proton ATPase subunit H	20210916
UniProtKB	Q9UI12	ATP6V1H	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25659576	UniProtKB:Q92544	9606	Homo sapiens	UniProt	V-type proton ATPase subunit H	20160807
UniProtKB	Q9UI12	ATP6V1H	involved_in	GO:0016241	regulation of macroautophagy	biological_process	ECO:0000303	NAS	PMID:22982048		9606	Homo sapiens	ParkinsonsUK-UCL	V-type proton ATPase subunit H	20160215
UniProtKB	Q9UI12	ATP6V1H	located_in	GO:0070062	extracellular exosome	cellular_component	ECO:0007005	HDA	PMID:19199708		9606	Homo sapiens	UniProt	V-type proton ATPase subunit H	20131029
UniProtKB	Q9UI12	ATP6V1H	located_in	GO:0070062	extracellular exosome	cellular_component	ECO:0007005	HDA	PMID:19056867		9606	Homo sapiens	UniProt	V-type proton ATPase subunit H	20131024
UniProtKB	Q9UI12	ATP6V1H	located_in	GO:0005765	lysosomal membrane	cellular_component	ECO:0007005	HDA	PMID:17897319		9606	Homo sapiens	UniProt	V-type proton ATPase subunit H	20130924
UniProtKB	Q9UI12	ATP6V1H	located_in	GO:0005829	cytosol	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-1222516		9606	Homo sapiens	Reactome	V-type proton ATPase subunit H	20130528
UniProtKB	Q9UI12	ATP6V1H	located_in	GO:0005829	cytosol	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-167597		9606	Homo sapiens	Reactome	V-type proton ATPase subunit H	20130528
UniProtKB	Q9UI12	ATP6V1H	located_in	GO:0005829	cytosol	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-167601		9606	Homo sapiens	Reactome	V-type proton ATPase subunit H	20130528
UniProtKB	Q9UI12	ATP6V1H	located_in	GO:0005829	cytosol	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-182171		9606	Homo sapiens	Reactome	V-type proton ATPase subunit H	20130528
UniProtKB	Q9UI12	ATP6V1H	located_in	GO:0005829	cytosol	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-182198		9606	Homo sapiens	Reactome	V-type proton ATPase subunit H	20130528
UniProtKB	Q9UI12	ATP6V1H	located_in	GO:0005829	cytosol	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-5252133		9606	Homo sapiens	Reactome	V-type proton ATPase subunit H	20130528
UniProtKB	Q9UI12	ATP6V1H	located_in	GO:0005829	cytosol	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-74723		9606	Homo sapiens	Reactome	V-type proton ATPase subunit H	20130528
UniProtKB	Q9UI12	ATP6V1H	located_in	GO:0005829	cytosol	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-917841		9606	Homo sapiens	Reactome	V-type proton ATPase subunit H	20130528
UniProtKB	Q9UI12	ATP6V1H	located_in	GO:0005829	cytosol	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-9636397		9606	Homo sapiens	Reactome	V-type proton ATPase subunit H	20130528
