GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P15291	B4GALT1	is_active_in	GO:0005794	Golgi apparatus	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0027538|FB:FBgn0039258|FB:FBgn0039625|MGI:MGI:95705|PANTHER:PTN001061236|UniProtKB:A0A1S6M251|UniProtKB:O43286|UniProtKB:O60512|UniProtKB:O60513|UniProtKB:O60909|UniProtKB:P15291|UniProtKB:Q9UBV7	9606	Homo sapiens	GO_Central	Beta-1,4-galactosyltransferase 1	20250903
UniProtKB	P15291	B4GALT1	enables	GO:0003831	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:95705|PANTHER:PTN002712056|UniProtKB:P08037|UniProtKB:P15291	9606	Homo sapiens	GO_Central	Beta-1,4-galactosyltransferase 1	20210122
UniProtKB	P15291	B4GALT1	involved_in	GO:0006487	protein N-linked glycosylation	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002712056|UniProtKB:P08037|UniProtKB:P15291	9606	Homo sapiens	GO_Central	Beta-1,4-galactosyltransferase 1	20210122
UniProtKB	P15291	B4GALT1	located_in	GO:0000139	Golgi membrane	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00029253	9606	Homo sapiens	UniProt	Beta-1,4-galactosyltransferase 1	20260616
UniProtKB	P15291	B4GALT1	enables	GO:0003831	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00095315|UniProtKB:P15535|ensembl:ENSMUSP00000030121|RHEA:22932|EC:2.4.1.38	9606	Homo sapiens	UniProt	Beta-1,4-galactosyltransferase 1	20260616
UniProtKB	P15291	B4GALT1	enables	GO:0003945	N-acetyllactosamine synthase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	RHEA:17745|EC:2.4.1.90	9606	Homo sapiens	UniProt	Beta-1,4-galactosyltransferase 1	20260616
UniProtKB	P15291	B4GALT1	enables	GO:0004461	lactose synthase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:P15535|ensembl:ENSMUSP00000030121|RHEA:12404|EC:2.4.1.22	9606	Homo sapiens	UniProt	Beta-1,4-galactosyltransferase 1	20260616
UniProtKB	P15291	B4GALT1	located_in	GO:0005576	extracellular region	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0243	9606	Homo sapiens	UniProt	Beta-1,4-galactosyltransferase 1	20260616
UniProtKB	P15291	B4GALT1	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:P15535|ensembl:ENSMUSP00000030121|UniProtKB-SubCell:SL-0039	9606	Homo sapiens	UniProt	Beta-1,4-galactosyltransferase 1	20260616
UniProtKB	P15291	B4GALT1	involved_in	GO:0005975	carbohydrate metabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003859	9606	Homo sapiens	InterPro	Beta-1,4-galactosyltransferase 1	20260616
UniProtKB	P15291	B4GALT1	located_in	GO:0009986	cell surface	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:P15535|ensembl:ENSMUSP00000030121|UniProtKB-SubCell:SL-0310	9606	Homo sapiens	UniProt	Beta-1,4-galactosyltransferase 1	20260616
UniProtKB	P15291	B4GALT1	enables	GO:0016757	glycosyltransferase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR003859	9606	Homo sapiens	InterPro	Beta-1,4-galactosyltransferase 1	20260616
UniProtKB	P15291	B4GALT1	located_in	GO:0030175	filopodium	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0286	9606	Homo sapiens	UniProt	Beta-1,4-galactosyltransferase 1	20260616
UniProtKB	P15291	B4GALT1	located_in	GO:0032580	Golgi cisterna membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0136	9606	Homo sapiens	UniProt	Beta-1,4-galactosyltransferase 1	20260616
UniProtKB	P15291	B4GALT1	located_in	GO:0005794	Golgi apparatus	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P15535|ensembl:ENSMUSP00000030121	9606	Homo sapiens	Ensembl	Beta-1,4-galactosyltransferase 1	20260609
UniProtKB	P15291	B4GALT1	enables	GO:0008378	galactosyltransferase activity	molecular_function	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P15535|ensembl:ENSMUSP00000030121	9606	Homo sapiens	Ensembl	Beta-1,4-galactosyltransferase 1	20260609
UniProtKB	P15291	B4GALT1	part_of	GO:0032991	protein-containing complex	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P15535|ensembl:ENSMUSP00000030121	9606	Homo sapiens	Ensembl	Beta-1,4-galactosyltransferase 1	20260609
UniProtKB	P15291	B4GALT1	involved_in	GO:0005989	lactose biosynthetic process	biological_process	ECO:0000304	TAS	Reactome:R-HSA-5653890		9606	Homo sapiens	Reactome	Beta-1,4-galactosyltransferase 1	20260316
UniProtKB	P15291	B4GALT1	enables	GO:0003831	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity	molecular_function	ECO:0000304	TAS	Reactome:R-HSA-3656230		9606	Homo sapiens	Reactome	Beta-1,4-galactosyltransferase 1	20260222
UniProtKB	P15291	B4GALT1	enables	GO:0003831	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity	molecular_function	ECO:0000304	TAS	Reactome:R-HSA-4793956		9606	Homo sapiens	Reactome	Beta-1,4-galactosyltransferase 1	20260222
UniProtKB	P15291	B4GALT1	enables	GO:0003831	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity	molecular_function	ECO:0000304	TAS	Reactome:R-HSA-9035949		9606	Homo sapiens	Reactome	Beta-1,4-galactosyltransferase 1	20260222
UniProtKB	P15291	B4GALT1	enables	GO:0003831	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity	molecular_function	ECO:0000304	TAS	Reactome:R-HSA-9035950		9606	Homo sapiens	Reactome	Beta-1,4-galactosyltransferase 1	20260222
UniProtKB	P15291	B4GALT1	enables	GO:0004461	lactose synthase activity	molecular_function	ECO:0000269	EXP	PMID:11419947		9606	Homo sapiens	Reactome	Beta-1,4-galactosyltransferase 1	20260222
UniProtKB	P15291	B4GALT1	enables	GO:0004461	lactose synthase activity	molecular_function	ECO:0000269	EXP	PMID:806951		9606	Homo sapiens	Reactome	Beta-1,4-galactosyltransferase 1	20260222
UniProtKB	P15291	B4GALT1	located_in	GO:0005794	Golgi apparatus	cellular_component	ECO:0000314	IDA	GO_REF:0000052		9606	Homo sapiens	HPA	Beta-1,4-galactosyltransferase 1	20251115
UniProtKB	P15291	B4GALT1	enables	GO:0003831	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity	molecular_function	ECO:0000269	EXP	PMID:29133956		9606	Homo sapiens	UniProt	Beta-1,4-galactosyltransferase 1	20251027
UniProtKB	P15291	B4GALT1	enables	GO:0003831	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity	molecular_function	ECO:0000269	EXP	PMID:37632720		9606	Homo sapiens	UniProt	Beta-1,4-galactosyltransferase 1	20251027
UniProtKB	P15291	B4GALT1	enables	GO:0003831	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity	molecular_function	ECO:0000269	EXP	PMID:38321209		9606	Homo sapiens	UniProt	Beta-1,4-galactosyltransferase 1	20251027
UniProtKB	P15291	B4GALT1	enables	GO:0003945	N-acetyllactosamine synthase activity	molecular_function	ECO:0000269	EXP	PMID:16157350		9606	Homo sapiens	UniProt	Beta-1,4-galactosyltransferase 1	20251027
UniProtKB	P15291	B4GALT1	enables	GO:0004461	lactose synthase activity	molecular_function	ECO:0000269	EXP	PMID:16157350		9606	Homo sapiens	UniProt	Beta-1,4-galactosyltransferase 1	20251027
UniProtKB	P15291	B4GALT1	located_in	GO:0005576	extracellular region	cellular_component	ECO:0000303	NAS	PMID:2120039		9606	Homo sapiens	UniProt	Beta-1,4-galactosyltransferase 1	20251027
UniProtKB	P15291	B4GALT1	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0000269	EXP	PMID:1714903		9606	Homo sapiens	UniProt	Beta-1,4-galactosyltransferase 1	20251027
UniProtKB	P15291	B4GALT1	located_in	GO:0009986	cell surface	cellular_component	ECO:0000269	EXP	PMID:1714903		9606	Homo sapiens	UniProt	Beta-1,4-galactosyltransferase 1	20251027
UniProtKB	P15291	B4GALT1	involved_in	GO:0061755	positive regulation of circulating fibrinogen levels	biological_process	ECO:0000315	IMP	PMID:34855475		9606	Homo sapiens	UniProt	Beta-1,4-galactosyltransferase 1	20231004
UniProtKB	P15291	B4GALT1	involved_in	GO:0006629	lipid metabolic process	biological_process	ECO:0000315	IMP	PMID:34855475		9606	Homo sapiens	UniProt	Beta-1,4-galactosyltransferase 1	20231003
UniProtKB	P15291	B4GALT1	enables	GO:0003831	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity	molecular_function	ECO:0000315	IMP	PMID:34855475		9606	Homo sapiens	UniProt	Beta-1,4-galactosyltransferase 1	20231002
UniProtKB	P15291	B4GALT1	enables	GO:0035250	UDP-galactosyltransferase activity	molecular_function	ECO:0000315	IMP	PMID:34855475		9606	Homo sapiens	UniProt	Beta-1,4-galactosyltransferase 1	20231002
UniProtKB	P15291	B4GALT1	enables	GO:0003831	beta-N-acetylglucosaminylglycopeptide beta-1,4-galactosyltransferase activity	molecular_function	ECO:0000314	IDA	PMID:27872474		9606	Homo sapiens	MGI	Beta-1,4-galactosyltransferase 1	20220509
UniProtKB	P15291	B4GALT1	located_in	GO:0005794	Golgi apparatus	cellular_component	ECO:0000314	IDA	PMID:7744867		9606	Homo sapiens	UniProt	Beta-1,4-galactosyltransferase 1	20170426
UniProtKB	P15291	B4GALT1	located_in	GO:0030667	secretory granule membrane	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-6798743		9606	Homo sapiens	Reactome	Beta-1,4-galactosyltransferase 1	20160716
UniProtKB	P15291	B4GALT1	located_in	GO:0035577	azurophil granule membrane	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-6798739		9606	Homo sapiens	Reactome	Beta-1,4-galactosyltransferase 1	20160716
UniProtKB	P15291	B4GALT1	located_in	GO:0070062	extracellular exosome	cellular_component	ECO:0007005	HDA	PMID:23533145		9606	Homo sapiens	UniProt	Beta-1,4-galactosyltransferase 1	20140714
UniProtKB	P15291	B4GALT1	located_in	GO:0016020	membrane	cellular_component	ECO:0007005	HDA	PMID:19946888		9606	Homo sapiens	UniProt	Beta-1,4-galactosyltransferase 1	20140627
UniProtKB	P15291	B4GALT1	located_in	GO:0005576	extracellular region	cellular_component	ECO:0007005	HDA	PMID:16502470		9606	Homo sapiens	UniProt	Beta-1,4-galactosyltransferase 1	20140603
