GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q3SYG4	BBS9	is_active_in	GO:0016020	membrane	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2442833|PANTHER:PTN000470005|UniProtKB:Q381Z0|UniProtKB:Q3SYG4	9606	Homo sapiens	GO_Central	Protein PTHB1	20250903
UniProtKB	Q3SYG4	BBS9	part_of	GO:0034464	BBSome	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2442833|PANTHER:PTN000470005|UniProtKB:Q381Z0|UniProtKB:Q3SYG4	9606	Homo sapiens	GO_Central	Protein PTHB1	20250903
UniProtKB	Q3SYG4	BBS9	involved_in	GO:0060271	cilium assembly	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2442833|PANTHER:PTN000470005|UniProtKB:Q381Z0|ZFIN:ZDB-GENE-081027-4	9606	Homo sapiens	GO_Central	Protein PTHB1	20250903
UniProtKB	Q3SYG4	BBS9	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	9606	Homo sapiens	UniProt	Protein PTHB1	20260601
UniProtKB	Q3SYG4	BBS9	located_in	GO:0005813	centrosome	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0048	9606	Homo sapiens	UniProt	Protein PTHB1	20260601
UniProtKB	Q3SYG4	BBS9	located_in	GO:0034451	centriolar satellite	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0485	9606	Homo sapiens	UniProt	Protein PTHB1	20260601
UniProtKB	Q3SYG4	BBS9	part_of	GO:0034464	BBSome	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:Q811G0|ensembl:ENSMUSP00000043042|InterPro:IPR026511	9606	Homo sapiens	UniProt	Protein PTHB1	20260601
UniProtKB	Q3SYG4	BBS9	located_in	GO:0060170	ciliary membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0305	9606	Homo sapiens	UniProt	Protein PTHB1	20260601
UniProtKB	Q3SYG4	BBS9	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:17574030	UniProtKB:Q8N3I7	9606	Homo sapiens	IntAct	Protein PTHB1	20260530
UniProtKB	Q3SYG4	BBS9	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:17574030	UniProtKB:Q8NFJ9	9606	Homo sapiens	IntAct	Protein PTHB1	20260530
UniProtKB	Q3SYG4	BBS9	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:17574030	UniProtKB:Q8TAM2	9606	Homo sapiens	IntAct	Protein PTHB1	20260530
UniProtKB	Q3SYG4	BBS9	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:17574030	UniProtKB:Q96RK4	9606	Homo sapiens	IntAct	Protein PTHB1	20260530
UniProtKB	Q3SYG4	BBS9	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:17574030	UniProtKB:Q9BXC9	9606	Homo sapiens	IntAct	Protein PTHB1	20260530
UniProtKB	Q3SYG4	BBS9	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:19081074	UniProtKB:Q96RK4	9606	Homo sapiens	IntAct	Protein PTHB1	20260530
UniProtKB	Q3SYG4	BBS9	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:20080638	UniProtKB:Q6ZW61	9606	Homo sapiens	IntAct	Protein PTHB1	20260530
UniProtKB	Q3SYG4	BBS9	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:20080638	UniProtKB:Q8N3I7	9606	Homo sapiens	IntAct	Protein PTHB1	20260530
UniProtKB	Q3SYG4	BBS9	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:20080638	UniProtKB:Q8NFJ9	9606	Homo sapiens	IntAct	Protein PTHB1	20260530
UniProtKB	Q3SYG4	BBS9	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:20080638	UniProtKB:Q8TAM1	9606	Homo sapiens	IntAct	Protein PTHB1	20260530
UniProtKB	Q3SYG4	BBS9	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:20080638	UniProtKB:Q96RK4	9606	Homo sapiens	IntAct	Protein PTHB1	20260530
UniProtKB	Q3SYG4	BBS9	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:20080638	UniProtKB:Q9BXC9	9606	Homo sapiens	IntAct	Protein PTHB1	20260530
UniProtKB	Q3SYG4	BBS9	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:22072986	UniProtKB:Q9NQ48	9606	Homo sapiens	IntAct	Protein PTHB1	20260530
UniProtKB	Q3SYG4	BBS9	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:22139371	UniProtKB:Q9BXC9	9606	Homo sapiens	IntAct	Protein PTHB1	20260530
UniProtKB	Q3SYG4	BBS9	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:22500027	UniProtKB:Q8N3I7	9606	Homo sapiens	IntAct	Protein PTHB1	20260530
UniProtKB	Q3SYG4	BBS9	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:22500027	UniProtKB:Q8NFJ9	9606	Homo sapiens	IntAct	Protein PTHB1	20260530
UniProtKB	Q3SYG4	BBS9	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:22500027	UniProtKB:Q9BXC9	9606	Homo sapiens	IntAct	Protein PTHB1	20260530
UniProtKB	Q3SYG4	BBS9	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25552655	UniProtKB:Q15051	9606	Homo sapiens	IntAct	Protein PTHB1	20260530
UniProtKB	Q3SYG4	BBS9	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:27173435	UniProtKB:Q8N3I7	9606	Homo sapiens	IntAct	Protein PTHB1	20260530
UniProtKB	Q3SYG4	BBS9	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:27173435	UniProtKB:Q8NFJ9	9606	Homo sapiens	IntAct	Protein PTHB1	20260530
