GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9Y276	BCS1L	involved_in	GO:0032979	protein insertion into mitochondrial inner membrane from matrix	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0032195|PANTHER:PTN000552791|SGD:S000002783	9606	Homo sapiens	GO_Central	Mitochondrial chaperone BCS1	20220415
UniProtKB	Q9Y276	BCS1L	involved_in	GO:0034551	mitochondrial respiratory chain complex III assembly	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0032195|MGI:MGI:1914071|PANTHER:PTN000552791|SGD:S000002783|UniProtKB:Q9Y276	9606	Homo sapiens	GO_Central	Mitochondrial chaperone BCS1	20220415
UniProtKB	Q9Y276	BCS1L	is_active_in	GO:0005743	mitochondrial inner membrane	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000552791|SGD:S000002783	9606	Homo sapiens	GO_Central	Mitochondrial chaperone BCS1	20200219
UniProtKB	Q9Y276	BCS1L	enables	GO:0000166	nucleotide binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0547	9606	Homo sapiens	UniProt	Mitochondrial chaperone BCS1	20260105
UniProtKB	Q9Y276	BCS1L	enables	GO:0005524	ATP binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR003959|InterPro:IPR003960|UniProtKB-KW:KW-0067	9606	Homo sapiens	UniProt	Mitochondrial chaperone BCS1	20260105
UniProtKB	Q9Y276	BCS1L	located_in	GO:0005743	mitochondrial inner membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0168	9606	Homo sapiens	UniProt	Mitochondrial chaperone BCS1	20260105
UniProtKB	Q9Y276	BCS1L	enables	GO:0016787	hydrolase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0378	9606	Homo sapiens	UniProt	Mitochondrial chaperone BCS1	20260105
UniProtKB	Q9Y276	BCS1L	enables	GO:0016887	ATP hydrolysis activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:Q9CZP5|ensembl:ENSMUSP00000027358|InterPro:IPR003959|InterPro:IPR003960	9606	Homo sapiens	UniProt	Mitochondrial chaperone BCS1	20260105
UniProtKB	Q9Y276	BCS1L	involved_in	GO:0034551	mitochondrial respiratory chain complex III assembly	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00092360	9606	Homo sapiens	UniProt	Mitochondrial chaperone BCS1	20260105
UniProtKB	Q9Y276	BCS1L	located_in	GO:0005739	mitochondrion	cellular_component	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00026962|UniProtKB:Q9CZP5|ensembl:ENSMUSP00000027358	9606	Homo sapiens	UniProt	Mitochondrial chaperone BCS1	20251226
UniProtKB	Q9Y276	BCS1L	located_in	GO:0005739	mitochondrion	cellular_component	ECO:0006056	HTP	PMID:34800366		9606	Homo sapiens	FlyBase	Mitochondrial chaperone BCS1	20240711
UniProtKB	Q9Y276	BCS1L	located_in	GO:0005739	mitochondrion	cellular_component	ECO:0000314	IDA	PMID:9878253		9606	Homo sapiens	UniProt	Mitochondrial chaperone BCS1	20210122
UniProtKB	Q9Y276	BCS1L	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:18628306	UniProtKB:O95202	9606	Homo sapiens	UniProt	Mitochondrial chaperone BCS1	20090429
UniProtKB	Q9Y276	BCS1L	involved_in	GO:0034551	mitochondrial respiratory chain complex III assembly	biological_process	ECO:0000315	IMP	PMID:18628306		9606	Homo sapiens	UniProt	Mitochondrial chaperone BCS1	20090406
UniProtKB	Q9Y276	BCS1L	located_in	GO:0005739	mitochondrion	cellular_component	ECO:0000314	IDA	PMID:18628306		9606	Homo sapiens	UniProt	Mitochondrial chaperone BCS1	20090209
UniProtKB	Q9Y276	BCS1L	involved_in	GO:0007005	mitochondrion organization	biological_process	ECO:0000315	IMP	PMID:18628306		9606	Homo sapiens	UniProt	Mitochondrial chaperone BCS1	20090209
UniProtKB	Q9Y276	BCS1L	involved_in	GO:0032981	mitochondrial respiratory chain complex I assembly	biological_process	ECO:0000315	IMP	PMID:18628306		9606	Homo sapiens	UniProt	Mitochondrial chaperone BCS1	20090209
UniProtKB	Q9Y276	BCS1L	involved_in	GO:0033617	mitochondrial respiratory chain complex IV assembly	biological_process	ECO:0000315	IMP	PMID:18628306		9606	Homo sapiens	UniProt	Mitochondrial chaperone BCS1	20090209
UniProtKB	Q9Y276	BCS1L	part_of	GO:0045275	respiratory chain complex III	cellular_component	ECO:0000304	TAS	PMID:9878253		9606	Homo sapiens	PINC	Mitochondrial chaperone BCS1	20030904
