GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P38398	BRCA1	involved_in	GO:0007095	mitotic G2 DNA damage checkpoint signaling	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000349142|UniProtKB:P38398	9606	Homo sapiens	GO_Central	Breast cancer type 1 susceptibility protein	20230918
UniProtKB	P38398	BRCA1	involved_in	GO:0000724	double-strand break repair via homologous recombination	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000349139|TAIR:locus:2133109|UniProtKB:P38398	9606	Homo sapiens	GO_Central	Breast cancer type 1 susceptibility protein	20170228
UniProtKB	P38398	BRCA1	enables	GO:0004842	ubiquitin-protein transferase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000349139|TAIR:locus:2133109|UniProtKB:P38398	9606	Homo sapiens	GO_Central	Breast cancer type 1 susceptibility protein	20170228
UniProtKB	P38398	BRCA1	part_of	GO:0031436	BRCA1-BARD1 complex	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000349139|UniProtKB:P38398	9606	Homo sapiens	GO_Central	Breast cancer type 1 susceptibility protein	20170228
UniProtKB	P38398	BRCA1	involved_in	GO:0043009	chordate embryonic development	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:104537|PANTHER:PTN000349142	9606	Homo sapiens	GO_Central	Breast cancer type 1 susceptibility protein	20170228
UniProtKB	P38398	BRCA1	involved_in	GO:0045944	positive regulation of transcription by RNA polymerase II	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:104537|PANTHER:PTN000349139|UniProtKB:P38398	9606	Homo sapiens	GO_Central	Breast cancer type 1 susceptibility protein	20170228
UniProtKB	P38398	BRCA1	part_of	GO:0070531	BRCA1-A complex	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000349139|UniProtKB:P38398	9606	Homo sapiens	GO_Central	Breast cancer type 1 susceptibility protein	20170228
UniProtKB	P38398	BRCA1	enables	GO:0061630	ubiquitin protein ligase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000003	EC:2.3.2.27	9606	Homo sapiens	UniProt	Breast cancer type 1 susceptibility protein	20250902
UniProtKB	P38398	BRCA1	enables	GO:0003677	DNA binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR011364|UniProtKB-KW:KW-0238	9606	Homo sapiens	UniProt	Breast cancer type 1 susceptibility protein	20250901
UniProtKB	P38398	BRCA1	enables	GO:0004842	ubiquitin-protein transferase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011364	9606	Homo sapiens	InterPro	Breast cancer type 1 susceptibility protein	20250901
UniProtKB	P38398	BRCA1	located_in	GO:0005634	nucleus	cellular_component	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR011364|UniProtKB-SubCell:SL-0191	9606	Homo sapiens	UniProt	Breast cancer type 1 susceptibility protein	20250901
