GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q8N4Q1	CHCHD4	involved_in	GO:0045041	protein import into mitochondrial intermembrane space	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0260468|PANTHER:PTN000492699|SGD:S000001678|UniProtKB:Q8N4Q1	9606	Homo sapiens	GO_Central	Mitochondrial intermembrane space import and assembly protein 40	20250412
UniProtKB	Q8N4Q1	CHCHD4	involved_in	GO:0051604	protein maturation	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0260468|PANTHER:PTN000492699|SGD:S000001678|UniProtKB:Q8N4Q1	9606	Homo sapiens	GO_Central	Mitochondrial intermembrane space import and assembly protein 40	20250412
UniProtKB	Q8N4Q1	CHCHD4	is_active_in	GO:0005758	mitochondrial intermembrane space	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000492699|SGD:S000001678|UniProtKB:Q8N4Q1	9606	Homo sapiens	GO_Central	Mitochondrial intermembrane space import and assembly protein 40	20181018
UniProtKB	Q8N4Q1	CHCHD4	enables	GO:0015035	protein-disulfide reductase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000492699|UniProtKB:Q8N4Q1	9606	Homo sapiens	GO_Central	Mitochondrial intermembrane space import and assembly protein 40	20181018
UniProtKB	Q8N4Q1	CHCHD4	located_in	GO:0005739	mitochondrion	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026962	9606	Homo sapiens	UniProt	Mitochondrial intermembrane space import and assembly protein 40	20260428
UniProtKB	Q8N4Q1	CHCHD4	located_in	GO:0005758	mitochondrial intermembrane space	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0169	9606	Homo sapiens	UniProt	Mitochondrial intermembrane space import and assembly protein 40	20260428
UniProtKB	Q8N4Q1	CHCHD4	enables	GO:0015035	protein-disulfide reductase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR039289	9606	Homo sapiens	InterPro	Mitochondrial intermembrane space import and assembly protein 40	20260428
UniProtKB	Q8N4Q1	CHCHD4	involved_in	GO:0033108	mitochondrial respiratory chain complex assembly	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00092694	9606	Homo sapiens	UniProt	Mitochondrial intermembrane space import and assembly protein 40	20260428
UniProtKB	Q8N4Q1	CHCHD4	involved_in	GO:0045041	protein import into mitochondrial intermembrane space	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR039289	9606	Homo sapiens	InterPro	Mitochondrial intermembrane space import and assembly protein 40	20260428
UniProtKB	Q8N4Q1	CHCHD4	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:26387864	UniProtKB:Q9BPX6	9606	Homo sapiens	IntAct	Mitochondrial intermembrane space import and assembly protein 40	20260425
UniProtKB	Q8N4Q1	CHCHD4	located_in	GO:0005739	mitochondrion	cellular_component	ECO:0000314	IDA	GO_REF:0000052		9606	Homo sapiens	HPA	Mitochondrial intermembrane space import and assembly protein 40	20251115
UniProtKB	Q8N4Q1	CHCHD4	involved_in	GO:0160203	protein import into the intermembrane space via the disulfide relay system	biological_process	ECO:0000315	IMP	PMID:16185709		9606	Homo sapiens	UniProt	Mitochondrial intermembrane space import and assembly protein 40	20241030
UniProtKB	Q8N4Q1	CHCHD4	enables	GO:0015035	protein-disulfide reductase activity	molecular_function	ECO:0000315	IMP	PMID:23676665		9606	Homo sapiens	UniProt	Mitochondrial intermembrane space import and assembly protein 40	20241029
