GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9HD42	CHMP1A	is_active_in	GO:0005771	multivesicular body	cellular_component	ECO:0000318	IBA	GO_REF:0000033	JaponicusDB:SJAG_03783|PANTHER:PTN000049603|TAIR:locus:2054612|UniProtKB:O43633|UniProtKB:Q7LBR1|UniProtKB:Q9HD42|UniProtKB:Q9UQN3|UniProtKB:Q9Y3E7	9606	Homo sapiens	GO_Central	Charged multivesicular body protein 1a	20250902
UniProtKB	Q9HD42	CHMP1A	involved_in	GO:0015031	protein transport	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000049603|PomBase:SPAC4F8.01|PomBase:SPAC9E9.14|SGD:S000006435|TAIR:locus:2054612|UniProtKB:Q383S9	9606	Homo sapiens	GO_Central	Charged multivesicular body protein 1a	20250902
UniProtKB	Q9HD42	CHMP1A	involved_in	GO:0032509	endosome transport via multivesicular body sorting pathway	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0039402|PANTHER:PTN000049603|PomBase:SPAC4F8.01|PomBase:SPAC9E9.14|SGD:S000006435|TAIR:locus:2007883|TAIR:locus:2032607|UniProtKB:Q5AQN4|UniProtKB:Q9Y3E7	9606	Homo sapiens	GO_Central	Charged multivesicular body protein 1a	20220922
UniProtKB	Q9HD42	CHMP1A	involved_in	GO:0045324	late endosome to vacuole transport	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000049603|PomBase:SPAC4F8.01|PomBase:SPAC9E9.14|SGD:S000001485|SGD:S000001524|SGD:S000006435|UniProtKB:Q5AQN4	9606	Homo sapiens	GO_Central	Charged multivesicular body protein 1a	20220922
UniProtKB	Q9HD42	CHMP1A	part_of	GO:0000815	ESCRT III complex	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000049603|SGD:S000001485|SGD:S000001524|UniProtKB:O43633|UniProtKB:Q7LBR1|UniProtKB:Q9UQN3|UniProtKB:Q9Y3E7	9606	Homo sapiens	GO_Central	Charged multivesicular body protein 1a	20171110
UniProtKB	Q9HD42	CHMP1A	located_in	GO:0000776	kinetochore	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00027576	9606	Homo sapiens	UniProt	Charged multivesicular body protein 1a	20251201
UniProtKB	Q9HD42	CHMP1A	involved_in	GO:0001778	plasma membrane repair	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00033547	9606	Homo sapiens	UniProt	Charged multivesicular body protein 1a	20251201
UniProtKB	Q9HD42	CHMP1A	part_of	GO:0005643	nuclear pore	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026270	9606	Homo sapiens	UniProt	Charged multivesicular body protein 1a	20251201
UniProtKB	Q9HD42	CHMP1A	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	9606	Homo sapiens	UniProt	Charged multivesicular body protein 1a	20251201
UniProtKB	Q9HD42	CHMP1A	located_in	GO:0005765	lysosomal membrane	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028563	9606	Homo sapiens	UniProt	Charged multivesicular body protein 1a	20251201
UniProtKB	Q9HD42	CHMP1A	located_in	GO:0005828	kinetochore microtubule	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00033604	9606	Homo sapiens	UniProt	Charged multivesicular body protein 1a	20251201
UniProtKB	Q9HD42	CHMP1A	involved_in	GO:0006351	DNA-templated transcription	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0804	9606	Homo sapiens	UniProt	Charged multivesicular body protein 1a	20251201
UniProtKB	Q9HD42	CHMP1A	involved_in	GO:0007034	vacuolar transport	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR005024	9606	Homo sapiens	InterPro	Charged multivesicular body protein 1a	20251201
UniProtKB	Q9HD42	CHMP1A	involved_in	GO:0007080	mitotic metaphase chromosome alignment	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00033550	9606	Homo sapiens	UniProt	Charged multivesicular body protein 1a	20251201
UniProtKB	Q9HD42	CHMP1A	located_in	GO:0010008	endosome membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0100	9606	Homo sapiens	UniProt	Charged multivesicular body protein 1a	20251201
UniProtKB	Q9HD42	CHMP1A	involved_in	GO:0015031	protein transport	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0653	9606	Homo sapiens	UniProt	Charged multivesicular body protein 1a	20251201
UniProtKB	Q9HD42	CHMP1A	located_in	GO:0016363	nuclear matrix	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0181	9606	Homo sapiens	UniProt	Charged multivesicular body protein 1a	20251201
