GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	O76071	CIAO1	involved_in	GO:0016226	iron-sulfur cluster assembly	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000460364|SGD:S000002675|TAIR:locus:2057381|ZFIN:ZDB-GENE-040426-839	9606	Homo sapiens	GO_Central	Probable cytosolic iron-sulfur protein assembly protein CIAO1	20250903
UniProtKB	O76071	CIAO1	part_of	GO:0097361	cytosolic [4Fe-4S] assembly targeting complex	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0033972|PANTHER:PTN000460364|SGD:S000002675|UniProtKB:O76071|UniProtKB:Q581A6	9606	Homo sapiens	GO_Central	Probable cytosolic iron-sulfur protein assembly protein CIAO1	20250903
UniProtKB	O76071	CIAO1	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	9606	Homo sapiens	UniProt	Probable cytosolic iron-sulfur protein assembly protein CIAO1	20251201
UniProtKB	O76071	CIAO1	involved_in	GO:0007059	chromosome segregation	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0159	9606	Homo sapiens	UniProt	Probable cytosolic iron-sulfur protein assembly protein CIAO1	20251201
UniProtKB	O76071	CIAO1	involved_in	GO:0016226	iron-sulfur cluster assembly	biological_process	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR028608|UniRule:UR000107508	9606	Homo sapiens	UniProt	Probable cytosolic iron-sulfur protein assembly protein CIAO1	20251201
UniProtKB	O76071	CIAO1	part_of	GO:0071817	MMXD complex	cellular_component	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000107508	9606	Homo sapiens	UniProt	Probable cytosolic iron-sulfur protein assembly protein CIAO1	20251201
UniProtKB	O76071	CIAO1	part_of	GO:0097361	cytosolic [4Fe-4S] assembly targeting complex	cellular_component	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR028608|UniRule:UR000107508	9606	Homo sapiens	UniProt	Probable cytosolic iron-sulfur protein assembly protein CIAO1	20251201
UniProtKB	O76071	CIAO1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:16189514	UniProtKB:Q9H5X1	9606	Homo sapiens	IntAct	Probable cytosolic iron-sulfur protein assembly protein CIAO1	20251129
UniProtKB	O76071	CIAO1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:16189514	UniProtKB:Q9Y3D0	9606	Homo sapiens	IntAct	Probable cytosolic iron-sulfur protein assembly protein CIAO1	20251129
UniProtKB	O76071	CIAO1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:17353931	UniProtKB:Q96T76	9606	Homo sapiens	IntAct	Probable cytosolic iron-sulfur protein assembly protein CIAO1	20251129
