GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q96D53	COQ8B	involved_in	GO:0006744	ubiquinone biosynthetic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	AGI_LocusCode:AT4G01660|FB:FBgn0052649|MGI:MGI:1914676|PANTHER:PTN000059692|PomBase:SPBC2D10.18|SGD:S000003087|UniProtKB:Q8NI60|UniProtKB:Q96D53|WB:WBGene00000767	9606	Homo sapiens	GO_Central	Atypical kinase COQ8B, mitochondrial	20250904
UniProtKB	Q96D53	COQ8B	located_in	GO:0005829	cytosol	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0091	9606	Homo sapiens	UniProt	Atypical kinase COQ8B, mitochondrial	20260706
UniProtKB	Q96D53	COQ8B	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0039	9606	Homo sapiens	UniProt	Atypical kinase COQ8B, mitochondrial	20260706
UniProtKB	Q96D53	COQ8B	located_in	GO:0031966	mitochondrial membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0171	9606	Homo sapiens	UniProt	Atypical kinase COQ8B, mitochondrial	20260706
UniProtKB	Q96D53	COQ8B	involved_in	GO:0006744	ubiquinone biosynthetic process	biological_process	ECO:0007322	IEA	GO_REF:0000041	UniPathway:UPA00232	9606	Homo sapiens	UniProt	Atypical kinase COQ8B, mitochondrial	20260227
UniProtKB	Q96D53	COQ8B	located_in	GO:0005739	mitochondrion	cellular_component	ECO:0000314	IDA	GO_REF:0000052		9606	Homo sapiens	HPA	Atypical kinase COQ8B, mitochondrial	20251115
UniProtKB	Q96D53	COQ8B	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0000269	EXP	PMID:24270420		9606	Homo sapiens	UniProt	Atypical kinase COQ8B, mitochondrial	20250130
UniProtKB	Q96D53	COQ8B	located_in	GO:0031966	mitochondrial membrane	cellular_component	ECO:0000269	EXP	PMID:24270420		9606	Homo sapiens	UniProt	Atypical kinase COQ8B, mitochondrial	20250130
UniProtKB	Q96D53	COQ8B	located_in	GO:0031966	mitochondrial membrane	cellular_component	ECO:0000269	EXP	PMID:33988507		9606	Homo sapiens	UniProt	Atypical kinase COQ8B, mitochondrial	20250130
UniProtKB	Q96D53	COQ8B	enables	GO:0004672	protein kinase activity	molecular_function	ECO:0000314	IDA	PMID:38425362		9606	Homo sapiens	UniProt	Atypical kinase COQ8B, mitochondrial	20250103
UniProtKB	Q96D53	COQ8B	involved_in	GO:0006744	ubiquinone biosynthetic process	biological_process	ECO:0000314	IDA	PMID:38425362		9606	Homo sapiens	UniProt	Atypical kinase COQ8B, mitochondrial	20250103
UniProtKB	Q96D53	COQ8B	located_in	GO:0005739	mitochondrion	cellular_component	ECO:0006056	HTP	PMID:34800366		9606	Homo sapiens	FlyBase	Atypical kinase COQ8B, mitochondrial	20240711
UniProtKB	Q96D53	COQ8B	located_in	GO:0005739	mitochondrion	cellular_component	ECO:0000314	IDA	PMID:33988507		9606	Homo sapiens	UniProt	Atypical kinase COQ8B, mitochondrial	20230822
UniProtKB	Q96D53	COQ8B	enables	GO:0008289	lipid binding	molecular_function	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P27697	9606	Homo sapiens	FlyBase	Atypical kinase COQ8B, mitochondrial	20201123
UniProtKB	Q96D53	COQ8B	enables	GO:0016887	ATP hydrolysis activity	molecular_function	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P27697	9606	Homo sapiens	FlyBase	Atypical kinase COQ8B, mitochondrial	20201123
UniProtKB	Q96D53	COQ8B	NOT|enables	GO:0004672	protein kinase activity	molecular_function	ECO:0000314	IDA	PMID:27499294		9606	Homo sapiens	UniProt	Atypical kinase COQ8B, mitochondrial	20160923
UniProtKB	Q96D53	COQ8B	NOT|involved_in	GO:0006468	protein phosphorylation	biological_process	ECO:0000314	IDA	PMID:27499294		9606	Homo sapiens	UniProt	Atypical kinase COQ8B, mitochondrial	20160923
UniProtKB	Q96D53	COQ8B	involved_in	GO:0006744	ubiquinone biosynthetic process	biological_process	ECO:0000315	IMP	PMID:27499294		9606	Homo sapiens	UniProt	Atypical kinase COQ8B, mitochondrial	20160923
UniProtKB	Q96D53	COQ8B	involved_in	GO:0021692	cerebellar Purkinje cell layer morphogenesis	biological_process	ECO:0000315	IMP	PMID:27499294		9606	Homo sapiens	UniProt	Atypical kinase COQ8B, mitochondrial	20160923
