GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P48730	CSNK1D	is_active_in	GO:0005876	spindle microtubule	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002629128|UniProtKB:P48730	9606	Homo sapiens	GO_Central	Casein kinase I isoform delta	20180502
UniProtKB	P48730	CSNK1D	involved_in	GO:0032436	positive regulation of proteasomal ubiquitin-dependent protein catabolic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0002413|MGI:MGI:1351660|MGI:MGI:1355272|PANTHER:PTN008529589	9606	Homo sapiens	GO_Central	Casein kinase I isoform delta	20180502
UniProtKB	P48730	CSNK1D	involved_in	GO:0042752	regulation of circadian rhythm	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1355272|PANTHER:PTN002629128	9606	Homo sapiens	GO_Central	Casein kinase I isoform delta	20180502
UniProtKB	P48730	CSNK1D	involved_in	GO:0051225	spindle assembly	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002629128|UniProtKB:P48730	9606	Homo sapiens	GO_Central	Casein kinase I isoform delta	20180502
UniProtKB	P48730	CSNK1D	involved_in	GO:0090263	positive regulation of canonical Wnt signaling pathway	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0002413|MGI:MGI:1351660|PANTHER:PTN008529589|UniProtKB:P48730	9606	Homo sapiens	GO_Central	Casein kinase I isoform delta	20180502
UniProtKB	P48730	CSNK1D	involved_in	GO:1905515	non-motile cilium assembly	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1355272|PANTHER:PTN002629128|UniProtKB:P48730	9606	Homo sapiens	GO_Central	Casein kinase I isoform delta	20180502
UniProtKB	P48730	CSNK1D	involved_in	GO:0006897	endocytosis	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000226268|SGD:S000001177|SGD:S000005098	9606	Homo sapiens	GO_Central	Casein kinase I isoform delta	20170228
UniProtKB	P48730	CSNK1D	enables	GO:0004672	protein kinase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00027018|InterPro:IPR000719|InterPro:IPR008271	9606	Homo sapiens	UniProt	Casein kinase I isoform delta	20260601
UniProtKB	P48730	CSNK1D	enables	GO:0004674	protein serine/threonine kinase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000003	EC:2.7.11.1	9606	Homo sapiens	UniProt	Casein kinase I isoform delta	20260601
UniProtKB	P48730	CSNK1D	enables	GO:0005524	ATP binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000719|InterPro:IPR017441	9606	Homo sapiens	InterPro	Casein kinase I isoform delta	20260601
UniProtKB	P48730	CSNK1D	located_in	GO:0005634	nucleus	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0191	9606	Homo sapiens	UniProt	Casein kinase I isoform delta	20260601
UniProtKB	P48730	CSNK1D	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	9606	Homo sapiens	UniProt	Casein kinase I isoform delta	20260601
UniProtKB	P48730	CSNK1D	located_in	GO:0005794	Golgi apparatus	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0132	9606	Homo sapiens	UniProt	Casein kinase I isoform delta	20260601
UniProtKB	P48730	CSNK1D	located_in	GO:0005813	centrosome	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0048	9606	Homo sapiens	UniProt	Casein kinase I isoform delta	20260601
UniProtKB	P48730	CSNK1D	located_in	GO:0005819	spindle	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0251	9606	Homo sapiens	UniProt	Casein kinase I isoform delta	20260601
UniProtKB	P48730	CSNK1D	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0039	9606	Homo sapiens	UniProt	Casein kinase I isoform delta	20260601
UniProtKB	P48730	CSNK1D	involved_in	GO:0030111	regulation of Wnt signaling pathway	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00027324	9606	Homo sapiens	UniProt	Casein kinase I isoform delta	20260601
UniProtKB	P48730	CSNK1D	located_in	GO:0048471	perinuclear region of cytoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0198	9606	Homo sapiens	UniProt	Casein kinase I isoform delta	20260601
UniProtKB	P48730	CSNK1D	enables	GO:0050321	tau-protein kinase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	RHEA:12801|RHEA:53904|EC:2.7.11.26	9606	Homo sapiens	UniProt	Casein kinase I isoform delta	20260601
UniProtKB	P48730	CSNK1D	enables	GO:0106310	protein serine kinase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000116	RHEA:17989	9606	Homo sapiens	RHEA	Casein kinase I isoform delta	20260601
UniProtKB	P48730	CSNK1D	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:16189514	UniProtKB:Q92997	9606	Homo sapiens	IntAct	Casein kinase I isoform delta	20260530
UniProtKB	P48730	CSNK1D	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:20708156	UniProtKB:Q00987	9606	Homo sapiens	IntAct	Casein kinase I isoform delta	20260530
UniProtKB	P48730	CSNK1D	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:21179498	UniProtKB:O15055	9606	Homo sapiens	IntAct	Casein kinase I isoform delta	20260530
UniProtKB	P48730	CSNK1D	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:22609948	UniProtKB:Q60838	9606	Homo sapiens	IntAct	Casein kinase I isoform delta	20260530
UniProtKB	P48730	CSNK1D	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q92997	9606	Homo sapiens	IntAct	Casein kinase I isoform delta	20260530
UniProtKB	P48730	CSNK1D	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q96LR2	9606	Homo sapiens	IntAct	Casein kinase I isoform delta	20260530
UniProtKB	P48730	CSNK1D	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q9C026	9606	Homo sapiens	IntAct	Casein kinase I isoform delta	20260530
UniProtKB	P48730	CSNK1D	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:O15055	9606	Homo sapiens	IntAct	Casein kinase I isoform delta	20260530
UniProtKB	P48730	CSNK1D	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:O60447	9606	Homo sapiens	IntAct	Casein kinase I isoform delta	20260530
UniProtKB	P48730	CSNK1D	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:O75382	9606	Homo sapiens	IntAct	Casein kinase I isoform delta	20260530
UniProtKB	P48730	CSNK1D	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q49A88-3	9606	Homo sapiens	IntAct	Casein kinase I isoform delta	20260530
UniProtKB	P48730	CSNK1D	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q5T7W0	9606	Homo sapiens	IntAct	Casein kinase I isoform delta	20260530
UniProtKB	P48730	CSNK1D	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q6PGQ1	9606	Homo sapiens	IntAct	Casein kinase I isoform delta	20260530
UniProtKB	P48730	CSNK1D	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q96BR9	9606	Homo sapiens	IntAct	Casein kinase I isoform delta	20260530
UniProtKB	P48730	CSNK1D	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9BRK4	9606	Homo sapiens	IntAct	Casein kinase I isoform delta	20260530
