GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q92466	DDB2	contributes_to	GO:0003684	damaged DNA binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000389377|UniProtKB:Q92466	9606	Homo sapiens	GO_Central	DNA damage-binding protein 2	20190108
UniProtKB	Q92466	DDB2	enables	GO:0003684	damaged DNA binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR033312	9606	Homo sapiens	InterPro	DNA damage-binding protein 2	20260601
UniProtKB	Q92466	DDB2	located_in	GO:0005634	nucleus	cellular_component	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR033312|UniProtKB-SubCell:SL-0191	9606	Homo sapiens	UniProt	DNA damage-binding protein 2	20260601
UniProtKB	Q92466	DDB2	located_in	GO:0005694	chromosome	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0468	9606	Homo sapiens	UniProt	DNA damage-binding protein 2	20260601
UniProtKB	Q92466	DDB2	involved_in	GO:0006281	DNA repair	biological_process	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00029008|InterPro:IPR033312	9606	Homo sapiens	UniProt	DNA damage-binding protein 2	20260601
UniProtKB	Q92466	DDB2	involved_in	GO:0034644	cellular response to UV	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026679	9606	Homo sapiens	UniProt	DNA damage-binding protein 2	20260601
UniProtKB	Q92466	DDB2	part_of	GO:0080008	Cul4-RING E3 ubiquitin ligase complex	cellular_component	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR033312	9606	Homo sapiens	InterPro	DNA damage-binding protein 2	20260601
UniProtKB	Q92466	DDB2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:16473935	UniProtKB:Q13619	9606	Homo sapiens	IntAct	DNA damage-binding protein 2	20260530
UniProtKB	Q92466	DDB2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:16473935	UniProtKB:Q16531	9606	Homo sapiens	IntAct	DNA damage-binding protein 2	20260530
UniProtKB	Q92466	DDB2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:17041588	UniProtKB:Q13619	9606	Homo sapiens	IntAct	DNA damage-binding protein 2	20260530
UniProtKB	Q92466	DDB2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:17041588	UniProtKB:Q16531	9606	Homo sapiens	IntAct	DNA damage-binding protein 2	20260530
UniProtKB	Q92466	DDB2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:17360488	UniProtKB:Q16531	9606	Homo sapiens	IntAct	DNA damage-binding protein 2	20260530
UniProtKB	Q92466	DDB2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:19109893	UniProtKB:Q16531	9606	Homo sapiens	IntAct	DNA damage-binding protein 2	20260530
UniProtKB	Q92466	DDB2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:19966799	UniProtKB:Q16531	9606	Homo sapiens	IntAct	DNA damage-binding protein 2	20260530
UniProtKB	Q92466	DDB2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:21145461	UniProtKB:Q13619	9606	Homo sapiens	IntAct	DNA damage-binding protein 2	20260530
UniProtKB	Q92466	DDB2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:22039351	UniProtKB:Q01831-1	9606	Homo sapiens	IntAct	DNA damage-binding protein 2	20260530
UniProtKB	Q92466	DDB2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:22039351	UniProtKB:Q16531	9606	Homo sapiens	IntAct	DNA damage-binding protein 2	20260530
UniProtKB	Q92466	DDB2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:22822215	UniProtKB:Q16531	9606	Homo sapiens	IntAct	DNA damage-binding protein 2	20260530
UniProtKB	Q92466	DDB2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:26496610	UniProtKB:Q13619	9606	Homo sapiens	IntAct	DNA damage-binding protein 2	20260530
UniProtKB	Q92466	DDB2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:28514442	UniProtKB:Q13619	9606	Homo sapiens	IntAct	DNA damage-binding protein 2	20260530
UniProtKB	Q92466	DDB2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:28514442	UniProtKB:Q16531	9606	Homo sapiens	IntAct	DNA damage-binding protein 2	20260530
UniProtKB	Q92466	DDB2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:30945288	UniProtKB:Q13619	9606	Homo sapiens	IntAct	DNA damage-binding protein 2	20260530
UniProtKB	Q92466	DDB2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:P40337-2	9606	Homo sapiens	IntAct	DNA damage-binding protein 2	20260530
UniProtKB	Q92466	DDB2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:33961781	UniProtKB:Q13619	9606	Homo sapiens	IntAct	DNA damage-binding protein 2	20260530
UniProtKB	Q92466	DDB2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:33961781	UniProtKB:Q16531	9606	Homo sapiens	IntAct	DNA damage-binding protein 2	20260530
UniProtKB	Q92466	DDB2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:33961781	UniProtKB:Q9NWH7	9606	Homo sapiens	IntAct	DNA damage-binding protein 2	20260530
UniProtKB	Q92466	DDB2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:35271311	UniProtKB:Q16531	9606	Homo sapiens	IntAct	DNA damage-binding protein 2	20260530
UniProtKB	Q92466	DDB2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:40205054	UniProtKB:Q13619	9606	Homo sapiens	IntAct	DNA damage-binding protein 2	20260530
UniProtKB	Q92466	DDB2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:9418871	UniProtKB:Q01094	9606	Homo sapiens	IntAct	DNA damage-binding protein 2	20260530
UniProtKB	Q92466	DDB2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:9418871	UniProtKB:Q16531	9606	Homo sapiens	IntAct	DNA damage-binding protein 2	20260530
UniProtKB	Q92466	DDB2	involved_in	GO:0016567	protein ubiquitination	biological_process	ECO:0007322	IEA	GO_REF:0000041	UniPathway:UPA00143	9606	Homo sapiens	UniProt	DNA damage-binding protein 2	20260227
UniProtKB	Q92466	DDB2	located_in	GO:0005634	nucleus	cellular_component	ECO:0000314	IDA	PMID:14751237		9606	Homo sapiens	ComplexPortal	DNA damage-binding protein 2	20251229
UniProtKB	Q92466	DDB2	located_in	GO:0005634	nucleus	cellular_component	ECO:0005547	NAS	PMID:22118460		9606	Homo sapiens	ComplexPortal	DNA damage-binding protein 2	20251229
UniProtKB	Q92466	DDB2	involved_in	GO:0006974	DNA damage response	biological_process	ECO:0005610	ISS	GO_REF:0000114	ComplexPortal:CPX-477	9606	Homo sapiens	ComplexPortal	DNA damage-binding protein 2	20251229
UniProtKB	Q92466	DDB2	involved_in	GO:0006974	DNA damage response	biological_process	ECO:0005543	EXP	PMID:22118460		9606	Homo sapiens	ComplexPortal	DNA damage-binding protein 2	20251229
UniProtKB	Q92466	DDB2	part_of	GO:0031464	Cul4A-RING E3 ubiquitin ligase complex	cellular_component	ECO:0005543	EXP	PMID:22118460		9606	Homo sapiens	ComplexPortal	DNA damage-binding protein 2	20251229
UniProtKB	Q92466	DDB2	involved_in	GO:0034644	cellular response to UV	biological_process	ECO:0005610	ISS	GO_REF:0000114	ComplexPortal:CPX-477	9606	Homo sapiens	ComplexPortal	DNA damage-binding protein 2	20251229
UniProtKB	Q92466	DDB2	involved_in	GO:0034644	cellular response to UV	biological_process	ECO:0005543	EXP	PMID:22118460		9606	Homo sapiens	ComplexPortal	DNA damage-binding protein 2	20251229
UniProtKB	Q92466	DDB2	involved_in	GO:0070914	UV-damage excision repair	biological_process	ECO:0000314	IDA	PMID:14751237		9606	Homo sapiens	ComplexPortal	DNA damage-binding protein 2	20251229
