GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P10515	DLAT	enables	GO:0004742	dihydrolipoyllysine-residue acetyltransferase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	AGI_LocusCode:AT3G25860|MGI:MGI:2385311|PANTHER:PTN002351721|RGD:619859|SGD:S000005015|UniProtKB:P10515|UniProtKB:Q8IJJ4	9606	Homo sapiens	GO_Central	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	20250903
UniProtKB	P10515	DLAT	is_active_in	GO:0005739	mitochondrion	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000568044|RGD:619859|SGD:S000003425|SGD:S000005015|UniProtKB:P10515	9606	Homo sapiens	GO_Central	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	20250903
UniProtKB	P10515	DLAT	involved_in	GO:0006086	pyruvate decarboxylation to acetyl-CoA	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2385311|PANTHER:PTN000568044|RGD:619859|SGD:S000003425|SGD:S000005015|UniProtKB:P10515	9606	Homo sapiens	GO_Central	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	20250903
UniProtKB	P10515	DLAT	part_of	GO:0045254	pyruvate dehydrogenase complex	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000568044|RGD:619859|SGD:S000003425|SGD:S000005015|UniProtKB:P10515|UniProtKB:Q5AYC2	9606	Homo sapiens	GO_Central	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	20240731
UniProtKB	P10515	DLAT	enables	GO:0004742	dihydrolipoyllysine-residue acetyltransferase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00095301|UniProtKB:P08461|ensembl:ENSRNOP00000032890|UniProtKB:Q8BMF4|ensembl:ENSMUSP00000034567|InterPro:IPR006257|RHEA:17017|EC:2.3.1.12	9606	Homo sapiens	UniProt	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	20260616
UniProtKB	P10515	DLAT	located_in	GO:0005759	mitochondrial matrix	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:P08461|ensembl:ENSRNOP00000032890|UniProtKB-SubCell:SL-0170	9606	Homo sapiens	UniProt	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	20260616
UniProtKB	P10515	DLAT	involved_in	GO:0006086	pyruvate decarboxylation to acetyl-CoA	biological_process	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00027586|UniProtKB:P08461|ensembl:ENSRNOP00000032890|UniProtKB:Q8BMF4|ensembl:ENSMUSP00000034567|InterPro:IPR045257	9606	Homo sapiens	UniProt	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	20260616
UniProtKB	P10515	DLAT	enables	GO:0016746	acyltransferase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001078|InterPro:IPR004167|InterPro:IPR036625	9606	Homo sapiens	InterPro	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	20260616
UniProtKB	P10515	DLAT	part_of	GO:0045254	pyruvate dehydrogenase complex	cellular_component	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00092491|UniProtKB:P08461|ensembl:ENSRNOP00000032890|InterPro:IPR006257|InterPro:IPR045257	9606	Homo sapiens	UniProt	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	20260616
UniProtKB	P10515	DLAT	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:17683942	UniProtKB:Q15120	9606	Homo sapiens	IntAct	Dihydrolipoyllysine-residue acetyltransferase component of pyruvate dehydrogenase complex, mitochondrial	20260613
