GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9UI10	EIF2B4	involved_in	GO:0002183	cytoplasmic translational initiation	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000027922|PomBase:SPAC21E11.06|UniProtKB:Q9UI10	9606	Homo sapiens	GO_Central	Translation initiation factor eIF2B subunit delta	20250326
UniProtKB	Q9UI10	EIF2B4	part_of	GO:0005851	eukaryotic translation initiation factor 2B complex	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000027922|PomBase:SPAC21E11.06|RGD:620208|SGD:S000003315|UniProtKB:Q9UI10	9606	Homo sapiens	GO_Central	Translation initiation factor eIF2B subunit delta	20250326
UniProtKB	Q9UI10	EIF2B4	enables	GO:0003743	translation initiation factor activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0396	9606	Homo sapiens	UniProt	Translation initiation factor eIF2B subunit delta	20251006
UniProtKB	Q9UI10	EIF2B4	enables	GO:0005085	guanyl-nucleotide exchange factor activity	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028188	9606	Homo sapiens	UniProt	Translation initiation factor eIF2B subunit delta	20251006
UniProtKB	Q9UI10	EIF2B4	located_in	GO:0005829	cytosol	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0091	9606	Homo sapiens	UniProt	Translation initiation factor eIF2B subunit delta	20251006
UniProtKB	Q9UI10	EIF2B4	part_of	GO:0005851	eukaryotic translation initiation factor 2B complex	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00088579	9606	Homo sapiens	UniProt	Translation initiation factor eIF2B subunit delta	20251006
UniProtKB	Q9UI10	EIF2B4	involved_in	GO:0006412	translation	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0648	9606	Homo sapiens	UniProt	Translation initiation factor eIF2B subunit delta	20251006
UniProtKB	Q9UI10	EIF2B4	involved_in	GO:0006413	translational initiation	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0396	9606	Homo sapiens	UniProt	Translation initiation factor eIF2B subunit delta	20251006
UniProtKB	Q9UI10	EIF2B4	involved_in	GO:0007417	central nervous system development	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026561	9606	Homo sapiens	UniProt	Translation initiation factor eIF2B subunit delta	20251006
UniProtKB	Q9UI10	EIF2B4	involved_in	GO:0048513	animal organ development	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00029247	9606	Homo sapiens	UniProt	Translation initiation factor eIF2B subunit delta	20251006
