GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q15369	ELOC	involved_in	GO:0006511	ubiquitin-dependent protein catabolic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000464223|SGD:S000005967|UniProtKB:Q15369	9606	Homo sapiens	GO_Central	Elongin-C	20250903
UniProtKB	Q15369	ELOC	part_of	GO:0070449	elongin complex	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0266711|MGI:MGI:1915173|PANTHER:PTN000464223|SGD:S000005967|UniProtKB:Q15369	9606	Homo sapiens	GO_Central	Elongin-C	20211216
UniProtKB	Q15369	ELOC	enables	GO:0030674	protein-macromolecule adaptor activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000464223|WB:WBGene00001236	9606	Homo sapiens	GO_Central	Elongin-C	20210910
UniProtKB	Q15369	ELOC	part_of	GO:0000151	ubiquitin ligase complex	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00029181	9606	Homo sapiens	UniProt	Elongin-C	20260302
UniProtKB	Q15369	ELOC	located_in	GO:0005634	nucleus	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0191	9606	Homo sapiens	UniProt	Elongin-C	20260302
UniProtKB	Q15369	ELOC	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026971	9606	Homo sapiens	UniProt	Elongin-C	20260302
UniProtKB	Q15369	ELOC	involved_in	GO:0006511	ubiquitin-dependent protein catabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001232|InterPro:IPR016073	9606	Homo sapiens	InterPro	Elongin-C	20260302
UniProtKB	Q15369	ELOC	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:10205047	UniProtKB:Q15370	9606	Homo sapiens	IntAct	Elongin-C	20260228
UniProtKB	Q15369	ELOC	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:12004076	UniProtKB:Q15370	9606	Homo sapiens	IntAct	Elongin-C	20260228
UniProtKB	Q15369	ELOC	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:12050673	UniProtKB:Q15370	9606	Homo sapiens	IntAct	Elongin-C	20260228
UniProtKB	Q15369	ELOC	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:12149480	UniProtKB:Q15370	9606	Homo sapiens	IntAct	Elongin-C	20260228
UniProtKB	Q15369	ELOC	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:12149480	UniProtKB:Q96G25	9606	Homo sapiens	IntAct	Elongin-C	20260228
UniProtKB	Q15369	ELOC	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:15601820	UniProtKB:Q13617	9606	Homo sapiens	IntAct	Elongin-C	20260228
