GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P16930	FAH	involved_in	GO:0006572	L-tyrosine catabolic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	AGI_LocusCode:AT1G12050|MGI:MGI:95482|PANTHER:PTN002453799	9606	Homo sapiens	GO_Central	Fumarylacetoacetase	20260530
UniProtKB	P16930	FAH	enables	GO:0004334	fumarylacetoacetase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	AGI_LocusCode:AT1G12050|MGI:MGI:95482|PANTHER:PTN002453799|UniProtKB:Q00770	9606	Homo sapiens	GO_Central	Fumarylacetoacetase	20200810
UniProtKB	P16930	FAH	involved_in	GO:0006559	L-phenylalanine catabolic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002453799|UniProtKB:Q00770	9606	Homo sapiens	GO_Central	Fumarylacetoacetase	20180504
UniProtKB	P16930	FAH	involved_in	GO:1902000	homogentisate catabolic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	AGI_LocusCode:AT1G12050|PANTHER:PTN002453799	9606	Homo sapiens	GO_Central	Fumarylacetoacetase	20180504
UniProtKB	P16930	FAH	enables	GO:0003824	catalytic activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR011234|InterPro:IPR036663	9606	Homo sapiens	InterPro	Fumarylacetoacetase	20260616
UniProtKB	P16930	FAH	enables	GO:0004334	fumarylacetoacetase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:P35505|ensembl:ENSMUSP00000032865|InterPro:IPR005959|InterPro:IPR015377|InterPro:IPR036462|RHEA:10244|EC:3.7.1.2	9606	Homo sapiens	UniProt	Fumarylacetoacetase	20260616
UniProtKB	P16930	FAH	involved_in	GO:0009072	aromatic amino acid metabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR005959|InterPro:IPR015377|InterPro:IPR036462	9606	Homo sapiens	InterPro	Fumarylacetoacetase	20260616
UniProtKB	P16930	FAH	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:P15884	9606	Homo sapiens	IntAct	Fumarylacetoacetase	20260613
UniProtKB	P16930	FAH	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:P26371	9606	Homo sapiens	IntAct	Fumarylacetoacetase	20260613
UniProtKB	P16930	FAH	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:P60410	9606	Homo sapiens	IntAct	Fumarylacetoacetase	20260613
UniProtKB	P16930	FAH	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q53GC0	9606	Homo sapiens	IntAct	Fumarylacetoacetase	20260613
UniProtKB	P16930	FAH	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q6UY14-3	9606	Homo sapiens	IntAct	Fumarylacetoacetase	20260613
UniProtKB	P16930	FAH	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q3SY46	9606	Homo sapiens	IntAct	Fumarylacetoacetase	20260613
UniProtKB	P16930	FAH	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q6WN34-2	9606	Homo sapiens	IntAct	Fumarylacetoacetase	20260613
UniProtKB	P16930	FAH	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9H8W4	9606	Homo sapiens	IntAct	Fumarylacetoacetase	20260613
UniProtKB	P16930	FAH	involved_in	GO:0006572	L-tyrosine catabolic process	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P35505|ensembl:ENSMUSP00000032865	9606	Homo sapiens	Ensembl	Fumarylacetoacetase	20260609
UniProtKB	P16930	FAH	involved_in	GO:0006559	L-phenylalanine catabolic process	biological_process	ECO:0007322	IEA	GO_REF:0000041	UniPathway:UPA00139	9606	Homo sapiens	UniProt	Fumarylacetoacetase	20260227
UniProtKB	P16930	FAH	located_in	GO:0070062	extracellular exosome	cellular_component	ECO:0007005	HDA	PMID:23533145		9606	Homo sapiens	UniProt	Fumarylacetoacetase	20140714
UniProtKB	P16930	FAH	located_in	GO:0070062	extracellular exosome	cellular_component	ECO:0007005	HDA	PMID:19056867		9606	Homo sapiens	UniProt	Fumarylacetoacetase	20131024
UniProtKB	P16930	FAH	located_in	GO:0005829	cytosol	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-71181		9606	Homo sapiens	Reactome	Fumarylacetoacetase	20130528
UniProtKB	P16930	FAH	enables	GO:0004334	fumarylacetoacetase activity	molecular_function	ECO:0000304	TAS	PMID:1998338		9606	Homo sapiens	PINC	Fumarylacetoacetase	20030904
UniProtKB	P16930	FAH	involved_in	GO:0006572	L-tyrosine catabolic process	biological_process	ECO:0000304	TAS	PMID:9305902		9606	Homo sapiens	PINC	Fumarylacetoacetase	20030904
