GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q8TEQ6	GEMIN5	involved_in	GO:0000387	spliceosomal snRNP assembly	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN005299808|UniProtKB:Q8TEQ6	9606	Homo sapiens	GO_Central	Gem-associated protein 5	20220331
UniProtKB	Q8TEQ6	GEMIN5	enables	GO:0003730	mRNA 3'-UTR binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2449311|PANTHER:PTN005299808|UniProtKB:Q8TEQ6	9606	Homo sapiens	GO_Central	Gem-associated protein 5	20220331
UniProtKB	Q8TEQ6	GEMIN5	is_active_in	GO:0005634	nucleus	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0250850|PANTHER:PTN005299808|UniProtKB:Q8TEQ6	9606	Homo sapiens	GO_Central	Gem-associated protein 5	20220331
UniProtKB	Q8TEQ6	GEMIN5	part_of	GO:0032797	SMN complex	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0250850|PANTHER:PTN005299808|UniProtKB:Q8TEQ6	9606	Homo sapiens	GO_Central	Gem-associated protein 5	20220331
UniProtKB	Q8TEQ6	GEMIN5	enables	GO:0003730	mRNA 3'-UTR binding	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028422	9606	Homo sapiens	UniProt	Gem-associated protein 5	20260727
UniProtKB	Q8TEQ6	GEMIN5	located_in	GO:0005654	nucleoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0190	9606	Homo sapiens	UniProt	Gem-associated protein 5	20260727
UniProtKB	Q8TEQ6	GEMIN5	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	9606	Homo sapiens	UniProt	Gem-associated protein 5	20260727
UniProtKB	Q8TEQ6	GEMIN5	located_in	GO:0097504	Gemini of Cajal bodies	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0127	9606	Homo sapiens	UniProt	Gem-associated protein 5	20260727
UniProtKB	Q8TEQ6	GEMIN5	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:11714716	UniProtKB:P62304	9606	Homo sapiens	IntAct	Gem-associated protein 5	20260725
UniProtKB	Q8TEQ6	GEMIN5	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:11714716	UniProtKB:Q16637	9606	Homo sapiens	IntAct	Gem-associated protein 5	20260725
