GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P16278	GLB1	is_active_in	GO:0005764	lysosome	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:88151|PANTHER:PTN002765259|UniProtKB:P16278	9606	Homo sapiens	GO_Central	Beta-galactosidase	20260204
UniProtKB	P16278	GLB1	involved_in	GO:0019388	galactose catabolic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000602923|RGD:1597145	9606	Homo sapiens	GO_Central	Beta-galactosidase	20240507
UniProtKB	P16278	GLB1	enables	GO:0004565	beta-galactosidase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	AGI_LocusCode:AT3G13750|AGI_LocusCode:AT4G36360|AGI_LocusCode:AT5G63800|AGI_LocusCode:AT5G63810|FB:FBgn0001089|MGI:MGI:88151|PANTHER:PTN000602923|RGD:1597145|UniProtKB:P16278|UniProtKB:Q5BFC4|ZFIN:ZDB-GENE-050410-9	9606	Homo sapiens	GO_Central	Beta-galactosidase	20220924
UniProtKB	P16278	GLB1	enables	GO:0004553	hydrolase activity, hydrolyzing O-glycosyl compounds	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001944|InterPro:IPR019801	9606	Homo sapiens	InterPro	Beta-galactosidase	20260706
UniProtKB	P16278	GLB1	enables	GO:0004565	beta-galactosidase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00027822|UniProtKB:D3ZUM4|ensembl:ENSRNOP00000013632|InterPro:IPR026283|EC:3.2.1.23	9606	Homo sapiens	UniProt	Beta-galactosidase	20260706
UniProtKB	P16278	GLB1	located_in	GO:0005764	lysosome	cellular_component	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00028565|UniProtKB-SubCell:SL-0158	9606	Homo sapiens	UniProt	Beta-galactosidase	20260706
UniProtKB	P16278	GLB1	involved_in	GO:0005975	carbohydrate metabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001944|InterPro:IPR019801	9606	Homo sapiens	InterPro	Beta-galactosidase	20260706
UniProtKB	P16278	GLB1	located_in	GO:0048471	perinuclear region of cytoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0198	9606	Homo sapiens	UniProt	Beta-galactosidase	20260706
UniProtKB	P16278	GLB1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:P30825	9606	Homo sapiens	IntAct	Beta-galactosidase	20260704
UniProtKB	P16278	GLB1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q3KNW5	9606	Homo sapiens	IntAct	Beta-galactosidase	20260704
UniProtKB	P16278	GLB1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q8NBJ4	9606	Homo sapiens	IntAct	Beta-galactosidase	20260704
UniProtKB	P16278	GLB1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9BRI3	9606	Homo sapiens	IntAct	Beta-galactosidase	20260704
UniProtKB	P16278	GLB1	involved_in	GO:0006516	glycoprotein catabolic process	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P23780|ensembl:ENSMUSP00000055803	9606	Homo sapiens	Ensembl	Beta-galactosidase	20260629
UniProtKB	P16278	GLB1	involved_in	GO:0006689	ganglioside catabolic process	biological_process	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00087467|UniProtKB:P23780|ensembl:ENSMUSP00000055803	9606	Homo sapiens	UniProt	Beta-galactosidase	20260629
UniProtKB	P16278	GLB1	enables	GO:0016936	galactoside binding	molecular_function	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:D3ZUM4|ensembl:ENSRNOP00000013632	9606	Homo sapiens	Ensembl	Beta-galactosidase	20260629
UniProtKB	P16278	GLB1	involved_in	GO:0019388	galactose catabolic process	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:D3ZUM4|ensembl:ENSRNOP00000013632	9606	Homo sapiens	Ensembl	Beta-galactosidase	20260629
UniProtKB	P16278	GLB1	involved_in	GO:0042340	keratan sulfate proteoglycan catabolic process	biological_process	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00087463|UniProtKB:P23780|ensembl:ENSMUSP00000055803	9606	Homo sapiens	UniProt	Beta-galactosidase	20260629
UniProtKB	P16278	GLB1	involved_in	GO:0051413	response to cortisone	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:D3ZUM4|ensembl:ENSRNOP00000013632	9606	Homo sapiens	Ensembl	Beta-galactosidase	20260629
