GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q6UWM5	GLIPR1L1	is_active_in	GO:0005576	extracellular region	cellular_component	ECO:0000318	IBA	GO_REF:0000033	CGD:CAL0000174557|CGD:CAL0000185546|CGD:CAL0000190649|FB:FBgn0250842|MGI:MGI:1916536|MGI:MGI:1921366|MGI:MGI:1926142|PANTHER:PTN000036124|SGD:S000001721|SGD:S000003614|SGD:S000003615|UniProtKB:A5D8T8|UniProtKB:O43692|UniProtKB:P54108|UniProtKB:Q6UXB8	9606	Homo sapiens	GO_Central	GLIPR1-like protein 1	20260528
UniProtKB	Q6UWM5	GLIPR1L1	enables	GO:0060090	molecular adaptor activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1916536|PANTHER:PTN000036124	9606	Homo sapiens	GO_Central	GLIPR1-like protein 1	20260128
UniProtKB	Q6UWM5	GLIPR1L1	located_in	GO:0001669	acrosomal vesicle	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0007	9606	Homo sapiens	UniProt	GLIPR1-like protein 1	20260706
UniProtKB	Q6UWM5	GLIPR1L1	located_in	GO:0005576	extracellular region	cellular_component	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR018244|UniProtKB-SubCell:SL-0243	9606	Homo sapiens	UniProt	GLIPR1-like protein 1	20260706
UniProtKB	Q6UWM5	GLIPR1L1	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0039	9606	Homo sapiens	UniProt	GLIPR1-like protein 1	20260706
UniProtKB	Q6UWM5	GLIPR1L1	located_in	GO:0045121	membrane raft	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0370	9606	Homo sapiens	UniProt	GLIPR1-like protein 1	20260706
UniProtKB	Q6UWM5	GLIPR1L1	located_in	GO:0005576	extracellular region	cellular_component	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9DAG6	9606	Homo sapiens	UniProt	GLIPR1-like protein 1	20221010
UniProtKB	Q6UWM5	GLIPR1L1	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9DAG6	9606	Homo sapiens	UniProt	GLIPR1-like protein 1	20221010
UniProtKB	Q6UWM5	GLIPR1L1	located_in	GO:0045121	membrane raft	cellular_component	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q32LB5	9606	Homo sapiens	UniProt	GLIPR1-like protein 1	20221010
UniProtKB	Q6UWM5	GLIPR1L1	located_in	GO:0001669	acrosomal vesicle	cellular_component	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9DAG6	9606	Homo sapiens	UniProt	GLIPR1-like protein 1	20220906
UniProtKB	Q6UWM5	GLIPR1L1	involved_in	GO:0007342	fusion of sperm to egg plasma membrane involved in single fertilization	biological_process	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9DAG6	9606	Homo sapiens	UniProt	GLIPR1-like protein 1	20220906
UniProtKB	Q6UWM5	GLIPR1L1	part_of	GO:0098635	protein complex involved in cell-cell adhesion	cellular_component	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:Q9DAG6	9606	Homo sapiens	UniProt	GLIPR1-like protein 1	20220906
