GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9UBK5	HCST	involved_in	GO:0051897	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000484054|UniProtKB:Q9UBK5	9606	Homo sapiens	GO_Central	Hematopoietic cell signal transducer	20240206
UniProtKB	Q9UBK5	HCST	enables	GO:0005102	signaling receptor binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000484054|UniProtKB:Q9UBK5	9606	Homo sapiens	GO_Central	Hematopoietic cell signal transducer	20170228
UniProtKB	Q9UBK5	HCST	enables	GO:0043548	phosphatidylinositol 3-kinase binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000484054|UniProtKB:Q9UBK5	9606	Homo sapiens	GO_Central	Hematopoietic cell signal transducer	20170228
UniProtKB	Q9UBK5	HCST	enables	GO:0005102	signaling receptor binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR009861	9606	Homo sapiens	InterPro	Hematopoietic cell signal transducer	20260105
UniProtKB	Q9UBK5	HCST	located_in	GO:0016020	membrane	cellular_component	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR009861|UniProtKB-SubCell:SL-0162	9606	Homo sapiens	UniProt	Hematopoietic cell signal transducer	20260105
UniProtKB	Q9UBK5	HCST	enables	GO:0043548	phosphatidylinositol 3-kinase binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR009861	9606	Homo sapiens	InterPro	Hematopoietic cell signal transducer	20260105
UniProtKB	Q9UBK5	HCST	involved_in	GO:0050776	regulation of immune response	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR009861	9606	Homo sapiens	InterPro	Hematopoietic cell signal transducer	20260105
UniProtKB	Q9UBK5	HCST	involved_in	GO:0051897	positive regulation of phosphatidylinositol 3-kinase/protein kinase B signal transduction	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR009861	9606	Homo sapiens	InterPro	Hematopoietic cell signal transducer	20260105
UniProtKB	Q9UBK5	HCST	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:O95772	9606	Homo sapiens	IntAct	Hematopoietic cell signal transducer	20260103
UniProtKB	Q9UBK5	HCST	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q6UX27-3	9606	Homo sapiens	IntAct	Hematopoietic cell signal transducer	20260103
UniProtKB	Q9UBK5	HCST	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q96IW7	9606	Homo sapiens	IntAct	Hematopoietic cell signal transducer	20260103
UniProtKB	Q9UBK5	HCST	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:P23560-2	9606	Homo sapiens	IntAct	Hematopoietic cell signal transducer	20260103
UniProtKB	Q9UBK5	HCST	is_active_in	GO:0005886	plasma membrane	cellular_component	ECO:0000314	IDA	PMID:15894612		9606	Homo sapiens	UniProt	Hematopoietic cell signal transducer	20240319
UniProtKB	Q9UBK5	HCST	enables	GO:0030674	protein-macromolecule adaptor activity	molecular_function	ECO:0000314	IDA	PMID:16582911		9606	Homo sapiens	UniProt	Hematopoietic cell signal transducer	20240319
UniProtKB	Q9UBK5	HCST	involved_in	GO:0042267	natural killer cell mediated cytotoxicity	biological_process	ECO:0000314	IDA	PMID:16582911		9606	Homo sapiens	UniProt	Hematopoietic cell signal transducer	20240319
UniProtKB	Q9UBK5	HCST	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:26221034	UniProtKB:A0A0K2S4Q6	9606	Homo sapiens	UniProt	Hematopoietic cell signal transducer	20160428
UniProtKB	Q9UBK5	HCST	enables	GO:0005102	signaling receptor binding	molecular_function	ECO:0000353	IPI	PMID:15294961	UniProtKB:O54709-1	9606	Homo sapiens	UniProt	Hematopoietic cell signal transducer	20140205
UniProtKB	Q9UBK5	HCST	enables	GO:0005102	signaling receptor binding	molecular_function	ECO:0000353	IPI	PMID:15294961	UniProtKB:O54709-2	9606	Homo sapiens	UniProt	Hematopoietic cell signal transducer	20140205
UniProtKB	Q9UBK5	HCST	enables	GO:0005102	signaling receptor binding	molecular_function	ECO:0000353	IPI	PMID:15294961	UniProtKB:P26718	9606	Homo sapiens	UniProt	Hematopoietic cell signal transducer	20140205
