GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q15306	IRF4	involved_in	GO:0002376	immune system process	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1096873|MGI:MGI:1350924|MGI:MGI:1859179|MGI:MGI:1859212|MGI:MGI:96395|MGI:MGI:96590|PANTHER:PTN000942747|RGD:1312024|RGD:2920|UniProtKB:P10914|UniProtKB:P14316|UniProtKB:Q02556|UniProtKB:Q13568|UniProtKB:Q14653|UniProtKB:Q92985	9606	Homo sapiens	GO_Central	Interferon regulatory factor 4	20250903
UniProtKB	Q15306	IRF4	is_active_in	GO:0005634	nucleus	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1350924|MGI:MGI:1859179|MGI:MGI:96395|MGI:MGI:96590|PANTHER:PTN000942746|UniProtKB:P14316|UniProtKB:Q00978|UniProtKB:Q02556|UniProtKB:Q13568|UniProtKB:Q14653|UniProtKB:Q15306|UniProtKB:Q92985|ZFIN:ZDB-GENE-070912-330	9606	Homo sapiens	GO_Central	Interferon regulatory factor 4	20250903
UniProtKB	Q15306	IRF4	involved_in	GO:0006357	regulation of transcription by RNA polymerase II	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1096873|MGI:MGI:1350924|MGI:MGI:96395|MGI:MGI:96590|MGI:MGI:96591|PANTHER:PTN000942746|RGD:2920|UniProtKB:O14896|UniProtKB:P10914|UniProtKB:P14316|UniProtKB:Q00978|UniProtKB:Q02556|UniProtKB:Q13568|UniProtKB:Q14653|UniProtKB:Q15306|UniProtKB:Q92985	9606	Homo sapiens	GO_Central	Interferon regulatory factor 4	20250903
UniProtKB	Q15306	IRF4	enables	GO:0000981	DNA-binding transcription factor activity, RNA polymerase II-specific	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1350924|MGI:MGI:1859179|MGI:MGI:1859211|MGI:MGI:1859212|MGI:MGI:96590|PANTHER:PTN000942746|UniProtKB:P10914|UniProtKB:P14316|UniProtKB:Q02556|UniProtKB:Q13568|UniProtKB:Q14653|UniProtKB:Q15306|UniProtKB:Q92985|ZFIN:ZDB-GENE-070912-330	9606	Homo sapiens	GO_Central	Interferon regulatory factor 4	20200929
UniProtKB	Q15306	IRF4	enables	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000942746|UniProtKB:P10914|UniProtKB:Q00978|UniProtKB:Q02556|UniProtKB:Q14653|UniProtKB:Q15306|UniProtKB:Q92985	9606	Homo sapiens	GO_Central	Interferon regulatory factor 4	20200903
UniProtKB	Q15306	IRF4	enables	GO:0000976	transcription cis-regulatory region binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001346	9606	Homo sapiens	InterPro	Interferon regulatory factor 4	20260105
UniProtKB	Q15306	IRF4	enables	GO:0000978	RNA polymerase II cis-regulatory region sequence-specific DNA binding	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028975	9606	Homo sapiens	UniProt	Interferon regulatory factor 4	20260105
UniProtKB	Q15306	IRF4	enables	GO:0003677	DNA binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0238	9606	Homo sapiens	UniProt	Interferon regulatory factor 4	20260105
UniProtKB	Q15306	IRF4	enables	GO:0003700	DNA-binding transcription factor activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00028295|UniProtKB:Q64287|ensembl:ENSMUSP00000021784|InterPro:IPR019471|InterPro:IPR019817	9606	Homo sapiens	UniProt	Interferon regulatory factor 4	20260105
UniProtKB	Q15306	IRF4	located_in	GO:0005634	nucleus	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0191	9606	Homo sapiens	UniProt	Interferon regulatory factor 4	20260105
UniProtKB	Q15306	IRF4	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	9606	Homo sapiens	UniProt	Interferon regulatory factor 4	20260105
UniProtKB	Q15306	IRF4	involved_in	GO:0006355	regulation of DNA-templated transcription	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR019471|InterPro:IPR019817	9606	Homo sapiens	InterPro	Interferon regulatory factor 4	20260105
UniProtKB	Q15306	IRF4	involved_in	GO:0045944	positive regulation of transcription by RNA polymerase II	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00027996	9606	Homo sapiens	UniProt	Interferon regulatory factor 4	20260105
UniProtKB	Q15306	IRF4	involved_in	GO:0051240	positive regulation of multicellular organismal process	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028891	9606	Homo sapiens	UniProt	Interferon regulatory factor 4	20260105
