GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P17931	LGALS3	is_active_in	GO:0031012	extracellular matrix	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:96778|PANTHER:PTN002602519|RGD:69356	9606	Homo sapiens	GO_Central	Galectin-3	20250902
UniProtKB	P17931	LGALS3	enables	GO:0048030	disaccharide binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002602519|RGD:69356	9606	Homo sapiens	GO_Central	Galectin-3	20230926
UniProtKB	P17931	LGALS3	is_active_in	GO:0005634	nucleus	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:96778|PANTHER:PTN002602519|UniProtKB:P17931	9606	Homo sapiens	GO_Central	Galectin-3	20230602
UniProtKB	P17931	LGALS3	is_active_in	GO:0005737	cytoplasm	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:96778|PANTHER:PTN002602519|UniProtKB:P17931	9606	Homo sapiens	GO_Central	Galectin-3	20230602
UniProtKB	P17931	LGALS3	involved_in	GO:0050918	positive chemotaxis	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002602519|UniProtKB:P17931	9606	Homo sapiens	GO_Central	Galectin-3	20200929
UniProtKB	P17931	LGALS3	is_active_in	GO:0001772	immunological synapse	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:96778|PANTHER:PTN002602519|UniProtKB:P17931	9606	Homo sapiens	GO_Central	Galectin-3	20190308
UniProtKB	P17931	LGALS3	involved_in	GO:0002548	monocyte chemotaxis	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002602519|UniProtKB:P17931	9606	Homo sapiens	GO_Central	Galectin-3	20190308
UniProtKB	P17931	LGALS3	enables	GO:0019863	IgE binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002602519|RGD:69356|UniProtKB:P17931	9606	Homo sapiens	GO_Central	Galectin-3	20190308
UniProtKB	P17931	LGALS3	involved_in	GO:0030593	neutrophil chemotaxis	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002602519|UniProtKB:P17931	9606	Homo sapiens	GO_Central	Galectin-3	20190308
UniProtKB	P17931	LGALS3	enables	GO:0043236	laminin binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002602519|UniProtKB:P17931	9606	Homo sapiens	GO_Central	Galectin-3	20190308
UniProtKB	P17931	LGALS3	involved_in	GO:0045806	negative regulation of endocytosis	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:96778|PANTHER:PTN002602519|UniProtKB:P17931	9606	Homo sapiens	GO_Central	Galectin-3	20190308
UniProtKB	P17931	LGALS3	involved_in	GO:0048245	eosinophil chemotaxis	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002602519|UniProtKB:P17931	9606	Homo sapiens	GO_Central	Galectin-3	20190308
UniProtKB	P17931	LGALS3	involved_in	GO:0048246	macrophage chemotaxis	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002602519|UniProtKB:P17931	9606	Homo sapiens	GO_Central	Galectin-3	20190308
