GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q08397	LOXL1	enables	GO:0004720	protein-lysine 6-oxidase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0034660|FB:FBgn0039848|MGI:MGI:106096|MGI:MGI:1337004|MGI:MGI:1914823|MGI:MGI:96817|PANTHER:PTN002550804|RGD:3015|UniProtKB:P28300|UniProtKB:P58215|UniProtKB:Q05063|UniProtKB:Q95L39|UniProtKB:Q96JB6|UniProtKB:Q9Y4K0	9606	Homo sapiens	GO_Central	Lysyl oxidase homolog 1	20260530
UniProtKB	Q08397	LOXL1	is_active_in	GO:0005576	extracellular region	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:106096|MGI:MGI:1337004|MGI:MGI:1914823|MGI:MGI:96817|PANTHER:PTN002550804|RGD:1308435|RGD:1308752|RGD:3015|UniProtKB:P28300|UniProtKB:P33072|UniProtKB:P58215|UniProtKB:Q08397|UniProtKB:Q9Y4K0	9606	Homo sapiens	GO_Central	Lysyl oxidase homolog 1	20260530
UniProtKB	Q08397	LOXL1	is_active_in	GO:0031012	extracellular matrix	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:106096|MGI:MGI:96817|PANTHER:PTN008698711|RGD:1308435|RGD:1308752|RGD:3015	9606	Homo sapiens	GO_Central	Lysyl oxidase homolog 1	20250904
UniProtKB	Q08397	LOXL1	involved_in	GO:0030199	collagen fibril organization	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:96817|PANTHER:PTN008698711|RGD:3015|UniProtKB:Q9Y4K0	9606	Homo sapiens	GO_Central	Lysyl oxidase homolog 1	20200810
UniProtKB	Q08397	LOXL1	enables	GO:0004720	protein-lysine 6-oxidase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	RHEA:24544|EC:1.4.3.13	9606	Homo sapiens	UniProt	Lysyl oxidase homolog 1	20260727
UniProtKB	Q08397	LOXL1	enables	GO:0005507	copper ion binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001695|InterPro:IPR019828	9606	Homo sapiens	InterPro	Lysyl oxidase homolog 1	20260727
UniProtKB	Q08397	LOXL1	located_in	GO:0005576	extracellular region	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0112	9606	Homo sapiens	UniProt	Lysyl oxidase homolog 1	20260727
UniProtKB	Q08397	LOXL1	enables	GO:0016641	oxidoreductase activity, acting on the CH-NH2 group of donors, oxygen as acceptor	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001695|InterPro:IPR019828	9606	Homo sapiens	InterPro	Lysyl oxidase homolog 1	20260727
UniProtKB	Q08397	LOXL1	located_in	GO:0071953	elastic fiber	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00084594	9606	Homo sapiens	UniProt	Lysyl oxidase homolog 1	20260727
UniProtKB	Q08397	LOXL1	located_in	GO:0001669	acrosomal vesicle	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q5FWS5|ensembl:ENSRNOP00000032184	9606	Homo sapiens	Ensembl	Lysyl oxidase homolog 1	20260724
UniProtKB	Q08397	LOXL1	located_in	GO:0005604	basement membrane	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q5FWS5|ensembl:ENSRNOP00000032184	9606	Homo sapiens	Ensembl	Lysyl oxidase homolog 1	20260724
UniProtKB	Q08397	LOXL1	located_in	GO:0031012	extracellular matrix	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q5FWS5|ensembl:ENSRNOP00000032184	9606	Homo sapiens	Ensembl	Lysyl oxidase homolog 1	20260724
UniProtKB	Q08397	LOXL1	involved_in	GO:0032496	response to lipopolysaccharide	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q5FWS5|ensembl:ENSRNOP00000032184	9606	Homo sapiens	Ensembl	Lysyl oxidase homolog 1	20260724
UniProtKB	Q08397	LOXL1	involved_in	GO:0035904	aorta development	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q5FWS5|ensembl:ENSRNOP00000032184	9606	Homo sapiens	Ensembl	Lysyl oxidase homolog 1	20260724
UniProtKB	Q08397	LOXL1	located_in	GO:0071953	elastic fiber	cellular_component	ECO:0000304	TAS	PMID:16893474		9606	Homo sapiens	GO_Central	Lysyl oxidase homolog 1	20251201
UniProtKB	Q08397	LOXL1	located_in	GO:0005576	extracellular region	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-2022141		9606	Homo sapiens	Reactome	Lysyl oxidase homolog 1	20250930
UniProtKB	Q08397	LOXL1	enables	GO:0004720	protein-lysine 6-oxidase activity	molecular_function	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:P97873	9606	Homo sapiens	UniProt	Lysyl oxidase homolog 1	20250130
