GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	O14733	MAP2K7	involved_in	GO:0051403	stress-activated MAPK cascade	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN001220492|RGD:1560043|UniProtKB:O14733	9606	Homo sapiens	GO_Central	Dual specificity mitogen-activated protein kinase kinase 7	20240213
UniProtKB	O14733	MAP2K7	enables	GO:0008545	JUN kinase kinase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1346871|PANTHER:PTN001220492|RGD:1560043	9606	Homo sapiens	GO_Central	Dual specificity mitogen-activated protein kinase kinase 7	20200810
UniProtKB	O14733	MAP2K7	enables	GO:0000287	magnesium ion binding	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028486	9606	Homo sapiens	UniProt	Dual specificity mitogen-activated protein kinase kinase 7	20260727
UniProtKB	O14733	MAP2K7	enables	GO:0004672	protein kinase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008271	9606	Homo sapiens	InterPro	Dual specificity mitogen-activated protein kinase kinase 7	20260727
UniProtKB	O14733	MAP2K7	enables	GO:0004708	MAP kinase kinase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00043555|EC:2.7.12.2	9606	Homo sapiens	UniProt	Dual specificity mitogen-activated protein kinase kinase 7	20260727
UniProtKB	O14733	MAP2K7	enables	GO:0004713	protein tyrosine kinase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000116	RHEA:10596	9606	Homo sapiens	RHEA	Dual specificity mitogen-activated protein kinase kinase 7	20260727
UniProtKB	O14733	MAP2K7	enables	GO:0005524	ATP binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000719	9606	Homo sapiens	InterPro	Dual specificity mitogen-activated protein kinase kinase 7	20260727
UniProtKB	O14733	MAP2K7	located_in	GO:0005634	nucleus	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0191	9606	Homo sapiens	UniProt	Dual specificity mitogen-activated protein kinase kinase 7	20260727
UniProtKB	O14733	MAP2K7	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	9606	Homo sapiens	UniProt	Dual specificity mitogen-activated protein kinase kinase 7	20260727
UniProtKB	O14733	MAP2K7	enables	GO:0019901	protein kinase binding	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00028598	9606	Homo sapiens	UniProt	Dual specificity mitogen-activated protein kinase kinase 7	20260727
UniProtKB	O14733	MAP2K7	involved_in	GO:0031098	stress-activated protein kinase signaling cascade	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00035552	9606	Homo sapiens	UniProt	Dual specificity mitogen-activated protein kinase kinase 7	20260727
UniProtKB	O14733	MAP2K7	involved_in	GO:0043410	positive regulation of MAPK cascade	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00027228	9606	Homo sapiens	UniProt	Dual specificity mitogen-activated protein kinase kinase 7	20260727
UniProtKB	O14733	MAP2K7	involved_in	GO:0090398	cellular senescence	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00086844	9606	Homo sapiens	UniProt	Dual specificity mitogen-activated protein kinase kinase 7	20260727
UniProtKB	O14733	MAP2K7	enables	GO:0106310	protein serine kinase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000116	RHEA:17989	9606	Homo sapiens	RHEA	Dual specificity mitogen-activated protein kinase kinase 7	20260727
