GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q8IWC1	MAP7D3	involved_in	GO:0000226	microtubule cytoskeleton organization	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0264693|MGI:MGI:1328328|MGI:MGI:1917474|MGI:MGI:2384297|PANTHER:PTN001030845|RGD:1564852|UniProtKB:Q8IWC1	9606	Homo sapiens	GO_Central	MAP7 domain-containing protein 3	20250412
UniProtKB	Q8IWC1	MAP7D3	is_active_in	GO:0015630	microtubule cytoskeleton	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1917474|MGI:MGI:2384297|PANTHER:PTN001030845|RGD:1564852|UniProtKB:Q14244|UniProtKB:Q3KQU3	9606	Homo sapiens	GO_Central	MAP7 domain-containing protein 3	20250412
UniProtKB	Q8IWC1	MAP7D3	involved_in	GO:0000226	microtubule cytoskeleton organization	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008604	9606	Homo sapiens	InterPro	MAP7 domain-containing protein 3	20251201
UniProtKB	Q8IWC1	MAP7D3	located_in	GO:0005819	spindle	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0251	9606	Homo sapiens	UniProt	MAP7 domain-containing protein 3	20251201
UniProtKB	Q8IWC1	MAP7D3	located_in	GO:0015630	microtubule cytoskeleton	cellular_component	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008604	9606	Homo sapiens	InterPro	MAP7 domain-containing protein 3	20251201
UniProtKB	Q8IWC1	MAP7D3	involved_in	GO:0046785	microtubule polymerization	biological_process	ECO:0000314	IDA	PMID:24927501		9606	Homo sapiens	UniProt	MAP7 domain-containing protein 3	20141103
UniProtKB	Q8IWC1	MAP7D3	involved_in	GO:0000226	microtubule cytoskeleton organization	biological_process	ECO:0000314	IDA	PMID:22142902		9606	Homo sapiens	UniProt	MAP7 domain-containing protein 3	20141031
UniProtKB	Q8IWC1	MAP7D3	enables	GO:0008017	microtubule binding	molecular_function	ECO:0000314	IDA	PMID:22142902		9606	Homo sapiens	UniProt	MAP7 domain-containing protein 3	20141031
UniProtKB	Q8IWC1	MAP7D3	enables	GO:0015631	tubulin binding	molecular_function	ECO:0000314	IDA	PMID:22142902		9606	Homo sapiens	UniProt	MAP7 domain-containing protein 3	20141031
UniProtKB	Q8IWC1	MAP7D3	located_in	GO:0016020	membrane	cellular_component	ECO:0007005	HDA	PMID:19946888		9606	Homo sapiens	UniProt	MAP7 domain-containing protein 3	20140627
