GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9H0A0	NAT10	enables	GO:0051392	tRNA cytidine N4-acetyltransferase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000100786|SGD:S000005076|UniProtKB:P76562|UniProtKB:Q5JHC6	9606	Homo sapiens	GO_Central	RNA cytidine acetyltransferase	20260528
UniProtKB	Q9H0A0	NAT10	enables	GO:1990883	18S rRNA cytidine N-acetyltransferase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000100786|PomBase:SPAC20G8.09c|SGD:S000005076|UniProtKB:Q5JHC6|UniProtKB:Q9H0A0	9606	Homo sapiens	GO_Central	RNA cytidine acetyltransferase	20260528
UniProtKB	Q9H0A0	NAT10	involved_in	GO:0051391	tRNA acetylation	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000100786|SGD:S000005076|UniProtKB:P76562|UniProtKB:Q5JHC6	9606	Homo sapiens	GO_Central	RNA cytidine acetyltransferase	20251218
UniProtKB	Q9H0A0	NAT10	part_of	GO:0032040	small-subunit processome	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000100787|SGD:S000005076|UniProtKB:Q9H0A0	9606	Homo sapiens	GO_Central	RNA cytidine acetyltransferase	20251127
UniProtKB	Q9H0A0	NAT10	enables	GO:0106162	mRNA cytidine N-acetyltransferase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	AGI_LocusCode:AT1G10490|PANTHER:PTN000100786|UniProtKB:Q5JHC6|UniProtKB:Q9H0A0	9606	Homo sapiens	GO_Central	RNA cytidine acetyltransferase	20251127
UniProtKB	Q9H0A0	NAT10	involved_in	GO:0002101	tRNA wobble cytosine modification	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000100786|UniProtKB:P76562	9606	Homo sapiens	GO_Central	RNA cytidine acetyltransferase	20170228
UniProtKB	Q9H0A0	NAT10	involved_in	GO:1904812	rRNA acetylation involved in maturation of SSU-rRNA	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000100786|PomBase:SPAC20G8.09c	9606	Homo sapiens	GO_Central	RNA cytidine acetyltransferase	20170228
UniProtKB	Q9H0A0	NAT10	involved_in	GO:0000154	rRNA modification	biological_process	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000239468	9606	Homo sapiens	UniProt	RNA cytidine acetyltransferase	20260727
UniProtKB	Q9H0A0	NAT10	enables	GO:0005524	ATP binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR033688|UniRule:UR000239468	9606	Homo sapiens	UniProt	RNA cytidine acetyltransferase	20260727
UniProtKB	Q9H0A0	NAT10	located_in	GO:0005730	nucleolus	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB-SubCell:SL-0188|UniRule:UR000239468	9606	Homo sapiens	UniProt	RNA cytidine acetyltransferase	20260727
UniProtKB	Q9H0A0	NAT10	enables	GO:0008080	N-acetyltransferase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00029116|InterPro:IPR032672|InterPro:IPR033688|UniRule:UR000239468	9606	Homo sapiens	UniProt	RNA cytidine acetyltransferase	20260727
UniProtKB	Q9H0A0	NAT10	involved_in	GO:0016072	rRNA metabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR033688	9606	Homo sapiens	InterPro	RNA cytidine acetyltransferase	20260727
UniProtKB	Q9H0A0	NAT10	enables	GO:0016747	acyltransferase activity, transferring groups other than amino-acyl groups	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000182	9606	Homo sapiens	InterPro	RNA cytidine acetyltransferase	20260727
UniProtKB	Q9H0A0	NAT10	located_in	GO:0030496	midbody	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0469	9606	Homo sapiens	UniProt	RNA cytidine acetyltransferase	20260727
UniProtKB	Q9H0A0	NAT10	involved_in	GO:0042274	ribosomal small subunit biogenesis	biological_process	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000239468	9606	Homo sapiens	UniProt	RNA cytidine acetyltransferase	20260727
UniProtKB	Q9H0A0	NAT10	involved_in	GO:0051391	tRNA acetylation	biological_process	ECO:0000256	IEA	GO_REF:0000104	UniRule:UR000239468	9606	Homo sapiens	UniProt	RNA cytidine acetyltransferase	20260727
UniProtKB	Q9H0A0	NAT10	enables	GO:0051392	tRNA cytidine N4-acetyltransferase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000116	RHEA:53876	9606	Homo sapiens	RHEA	RNA cytidine acetyltransferase	20260727
UniProtKB	Q9H0A0	NAT10	enables	GO:0106162	mRNA cytidine N-acetyltransferase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000116	RHEA:58480	9606	Homo sapiens	RHEA	RNA cytidine acetyltransferase	20260727
UniProtKB	Q9H0A0	NAT10	enables	GO:0140640	catalytic activity, acting on a nucleic acid	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026869	9606	Homo sapiens	UniProt	RNA cytidine acetyltransferase	20260727
