GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9NP85	NPHS2	is_active_in	GO:0005886	plasma membrane	cellular_component	ECO:0000318	IBA	GO_REF:0000033	CGD:CAL0000186897|MGI:MGI:1916356|MGI:MGI:2157018|MGI:MGI:95403|PANTHER:PTN000029715|UniProtKB:P27105|UniProtKB:Q9NP85|WB:WBGene00003166	9606	Homo sapiens	GO_Central	Podocin	20230109
UniProtKB	Q9NP85	NPHS2	located_in	GO:0005783	endoplasmic reticulum	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0095	9606	Homo sapiens	UniProt	Podocin	20251006
UniProtKB	Q9NP85	NPHS2	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:Q91X05|ensembl:ENSMUSP00000027896|InterPro:IPR043202|UniProtKB-SubCell:SL-0039	9606	Homo sapiens	UniProt	Podocin	20251006
UniProtKB	Q9NP85	NPHS2	located_in	GO:0016020	membrane	cellular_component	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR001972	9606	Homo sapiens	InterPro	Podocin	20251006
UniProtKB	Q9NP85	NPHS2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:22662192	UniProtKB:P46940	9606	Homo sapiens	IntAct	Podocin	20251004
UniProtKB	Q9NP85	NPHS2	located_in	GO:0009898	cytoplasmic side of plasma membrane	cellular_component	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00028096|UniProtKB:Q91X05|ensembl:ENSMUSP00000027896	9606	Homo sapiens	UniProt	Podocin	20250926
UniProtKB	Q9NP85	NPHS2	acts_upstream_of_or_within	GO:0010467	gene expression	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q91X05|ensembl:ENSMUSP00000027896	9606	Homo sapiens	Ensembl	Podocin	20250926
UniProtKB	Q9NP85	NPHS2	colocalizes_with	GO:0036057	slit diaphragm	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q91X05|ensembl:ENSMUSP00000027896	9606	Homo sapiens	Ensembl	Podocin	20250926
UniProtKB	Q9NP85	NPHS2	is_active_in	GO:0071944	cell periphery	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:Q91X05|ensembl:ENSMUSP00000027896	9606	Homo sapiens	Ensembl	Podocin	20250926
UniProtKB	Q9NP85	NPHS2	involved_in	GO:0003094	glomerular filtration	biological_process	ECO:0000304	TAS	PMID:10742096		9606	Homo sapiens	PINC	Podocin	20211117
UniProtKB	Q9NP85	NPHS2	located_in	GO:0070062	extracellular exosome	cellular_component	ECO:0007005	HDA	PMID:23533145		9606	Homo sapiens	UniProt	Podocin	20140714
UniProtKB	Q9NP85	NPHS2	located_in	GO:0070062	extracellular exosome	cellular_component	ECO:0007005	HDA	PMID:19056867		9606	Homo sapiens	UniProt	Podocin	20131024
UniProtKB	Q9NP85	NPHS2	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-373734		9606	Homo sapiens	Reactome	Podocin	20130528
UniProtKB	Q9NP85	NPHS2	colocalizes_with	GO:0036057	slit diaphragm	cellular_component	ECO:0000314	IDA	PMID:11786407		9606	Homo sapiens	UniProt	Podocin	20120522
UniProtKB	Q9NP85	NPHS2	located_in	GO:0009898	cytoplasmic side of plasma membrane	cellular_component	ECO:0000314	IDA	PMID:11786407		9606	Homo sapiens	UniProt	Podocin	20120521
UniProtKB	Q9NP85	NPHS2	involved_in	GO:0072249	metanephric podocyte development	biological_process	ECO:0000270	IEP	PMID:11786407		9606	Homo sapiens	UniProt	Podocin	20120521
UniProtKB	Q9NP85	NPHS2	involved_in	GO:0030036	actin cytoskeleton organization	biological_process	ECO:0000314	IDA	PMID:17675666		9606	Homo sapiens	UniProt	Podocin	20110916
UniProtKB	Q9NP85	NPHS2	located_in	GO:0045121	membrane raft	cellular_component	ECO:0000314	IDA	PMID:17675666		9606	Homo sapiens	UniProt	Podocin	20110916
UniProtKB	Q9NP85	NPHS2	located_in	GO:0005911	cell-cell junction	cellular_component	ECO:0000314	IDA	PMID:17675666		9606	Homo sapiens	UniProt	Podocin	20110914
UniProtKB	Q9NP85	NPHS2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:17675666	UniProtKB:P78310	9606	Homo sapiens	UniProt	Podocin	20110909
UniProtKB	Q9NP85	NPHS2	part_of	GO:0032991	protein-containing complex	cellular_component	ECO:0000314	IDA	PMID:17675666		9606	Homo sapiens	UniProt	Podocin	20110909
UniProtKB	Q9NP85	NPHS2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:12424224	UniProtKB:Q8IZU9	9606	Homo sapiens	UniProt	Podocin	20041115
UniProtKB	Q9NP85	NPHS2	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0000304	TAS	PMID:10742096		9606	Homo sapiens	PINC	Podocin	20030904
