GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P11926	ODC1	involved_in	GO:0009446	putrescine biosynthetic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0013307|FB:FBgn0013308|MGI:MGI:97402|PANTHER:PTN000159726|RGD:3227|SGD:S000001667|WB:WBGene00003844|dictyBase:DDB_G0281109	9606	Homo sapiens	GO_Central	Ornithine decarboxylase	20260528
UniProtKB	P11926	ODC1	is_active_in	GO:0005737	cytoplasm	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:2442093|MGI:MGI:97402|PANTHER:PTN000159726|RGD:1564776|RGD:3227|UniProtKB:Q96A70|dictyBase:DDB_G0281109	9606	Homo sapiens	GO_Central	Ornithine decarboxylase	20250902
UniProtKB	P11926	ODC1	enables	GO:0004586	ornithine decarboxylase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	CGD:CAL0000182839|MGI:MGI:97402|PANTHER:PTN000159726|RGD:3227|SGD:S000001667|UniProtKB:P11926|UniProtKB:Q8IJ77|UniProtKB:Q9HVQ3|WB:WBGene00003844	9606	Homo sapiens	GO_Central	Ornithine decarboxylase	20230110
UniProtKB	P11926	ODC1	enables	GO:0003824	catalytic activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000183|InterPro:IPR009006|InterPro:IPR022643|InterPro:IPR022644	9606	Homo sapiens	InterPro	Ornithine decarboxylase	20260706
UniProtKB	P11926	ODC1	enables	GO:0004586	ornithine decarboxylase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00088235|UniProtKB:P00860|ensembl:ENSMUSP00000128661|RHEA:22964|EC:4.1.1.17	9606	Homo sapiens	UniProt	Ornithine decarboxylase	20260706
UniProtKB	P11926	ODC1	involved_in	GO:0006595	polyamine metabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026605	9606	Homo sapiens	UniProt	Ornithine decarboxylase	20260706
UniProtKB	P11926	ODC1	involved_in	GO:0006596	polyamine biosynthetic process	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR002433	9606	Homo sapiens	InterPro	Ornithine decarboxylase	20260706
UniProtKB	P11926	ODC1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q92993	9606	Homo sapiens	IntAct	Ornithine decarboxylase	20260704
UniProtKB	P11926	ODC1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q9H8Y8	9606	Homo sapiens	IntAct	Ornithine decarboxylase	20260704
UniProtKB	P11926	ODC1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25416956	UniProtKB:Q9UMX2	9606	Homo sapiens	IntAct	Ornithine decarboxylase	20260704
UniProtKB	P11926	ODC1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:28514442	UniProtKB:Q9UMX2	9606	Homo sapiens	IntAct	Ornithine decarboxylase	20260704
UniProtKB	P11926	ODC1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:29892012	UniProtKB:Q9H8Y8	9606	Homo sapiens	IntAct	Ornithine decarboxylase	20260704
UniProtKB	P11926	ODC1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:31515488	UniProtKB:Q9UMX2	9606	Homo sapiens	IntAct	Ornithine decarboxylase	20260704
UniProtKB	P11926	ODC1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q92993	9606	Homo sapiens	IntAct	Ornithine decarboxylase	20260704
UniProtKB	P11926	ODC1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9H8Y8	9606	Homo sapiens	IntAct	Ornithine decarboxylase	20260704
UniProtKB	P11926	ODC1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:Q9UMX2-2	9606	Homo sapiens	IntAct	Ornithine decarboxylase	20260704
UniProtKB	P11926	ODC1	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:33961781	UniProtKB:Q9UMX2	9606	Homo sapiens	IntAct	Ornithine decarboxylase	20260704
UniProtKB	P11926	ODC1	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P00860|ensembl:ENSMUSP00000128661	9606	Homo sapiens	Ensembl	Ornithine decarboxylase	20260629
UniProtKB	P11926	ODC1	involved_in	GO:0009446	putrescine biosynthetic process	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P00860|ensembl:ENSMUSP00000128661	9606	Homo sapiens	Ensembl	Ornithine decarboxylase	20260629
UniProtKB	P11926	ODC1	involved_in	GO:0042176	regulation of protein catabolic process	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:P00860|ensembl:ENSMUSP00000128661	9606	Homo sapiens	Ensembl	Ornithine decarboxylase	20260629
