GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q96CV9	OPTN	involved_in	GO:0043122	regulation of canonical NF-kappaB signal transduction	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1338074|MGI:MGI:1918898|PANTHER:PTN001268347|UniProtKB:Q9Y6K9|ZFIN:ZDB-GENE-050327-68	9606	Homo sapiens	GO_Central	Optineurin	20250904
UniProtKB	Q96CV9	OPTN	is_active_in	GO:0005737	cytoplasm	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0041205|MGI:MGI:1338074|MGI:MGI:1918898|PANTHER:PTN001268347|RGD:628886|RGD:735223|UniProtKB:Q96CV9|UniProtKB:Q9Y6K9	9606	Homo sapiens	GO_Central	Optineurin	20241120
UniProtKB	Q96CV9	OPTN	is_active_in	GO:0005634	nucleus	cellular_component	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0041205|PANTHER:PTN001268347|UniProtKB:Q9Y6K9	9606	Homo sapiens	GO_Central	Optineurin	20230603
UniProtKB	Q96CV9	OPTN	is_active_in	GO:0005794	Golgi apparatus	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002835054|RGD:628886|UniProtKB:Q96CV9	9606	Homo sapiens	GO_Central	Optineurin	20230603
UniProtKB	Q96CV9	OPTN	enables	GO:0070530	K63-linked polyubiquitin modification-dependent protein binding	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1338074|MGI:MGI:1918898|PANTHER:PTN001268347|UniProtKB:Q9Y6K9	9606	Homo sapiens	GO_Central	Optineurin	20210531
UniProtKB	Q96CV9	OPTN	involved_in	GO:0034067	protein localization to Golgi apparatus	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002835054|UniProtKB:Q96CV9	9606	Homo sapiens	GO_Central	Optineurin	20200401
UniProtKB	Q96CV9	OPTN	involved_in	GO:0090161	Golgi ribbon formation	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002835054|UniProtKB:Q96CV9	9606	Homo sapiens	GO_Central	Optineurin	20200401
UniProtKB	Q96CV9	OPTN	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026971	9606	Homo sapiens	UniProt	Optineurin	20260601
UniProtKB	Q96CV9	OPTN	located_in	GO:0005776	autophagosome	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0023	9606	Homo sapiens	UniProt	Optineurin	20260601
UniProtKB	Q96CV9	OPTN	located_in	GO:0005794	Golgi apparatus	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0132	9606	Homo sapiens	UniProt	Optineurin	20260601
