GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	O60683	PEX10	involved_in	GO:0016558	protein import into peroxisome matrix	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0035233|PANTHER:PTN000598603|SGD:S000002673|TAIR:locus:2057780|UniProtKB:O60683	9606	Homo sapiens	GO_Central	Peroxisome biogenesis factor 10	20250903
UniProtKB	O60683	PEX10	is_active_in	GO:0005778	peroxisomal membrane	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000598603|RGD:1591776|SGD:S000002673|UniProtKB:O60683	9606	Homo sapiens	GO_Central	Peroxisome biogenesis factor 10	20230111
UniProtKB	O60683	PEX10	located_in	GO:0005778	peroxisomal membrane	cellular_component	ECO:0000501	IEA	GO_REF:0000120	UniProtKB:D3ZC81|ensembl:ENSRNOP00000031473|InterPro:IPR025654|UniProtKB-SubCell:SL-0203	9606	Homo sapiens	UniProt	Peroxisome biogenesis factor 10	20260105
UniProtKB	O60683	PEX10	involved_in	GO:0007031	peroxisome organization	biological_process	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR025654|UniProtKB-KW:KW-0962	9606	Homo sapiens	UniProt	Peroxisome biogenesis factor 10	20260105
UniProtKB	O60683	PEX10	enables	GO:0008270	zinc ion binding	molecular_function	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR025654|UniProtKB-KW:KW-0863	9606	Homo sapiens	UniProt	Peroxisome biogenesis factor 10	20260105
UniProtKB	O60683	PEX10	involved_in	GO:0015031	protein transport	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0653	9606	Homo sapiens	UniProt	Peroxisome biogenesis factor 10	20260105
UniProtKB	O60683	PEX10	involved_in	GO:0016558	protein import into peroxisome matrix	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR025654	9606	Homo sapiens	InterPro	Peroxisome biogenesis factor 10	20260105
UniProtKB	O60683	PEX10	enables	GO:0016740	transferase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0808	9606	Homo sapiens	UniProt	Peroxisome biogenesis factor 10	20260105
UniProtKB	O60683	PEX10	enables	GO:0046872	metal ion binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0479	9606	Homo sapiens	UniProt	Peroxisome biogenesis factor 10	20260105
UniProtKB	O60683	PEX10	enables	GO:0061630	ubiquitin protein ligase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000003	EC:2.3.2.27	9606	Homo sapiens	UniProt	Peroxisome biogenesis factor 10	20260105
UniProtKB	O60683	PEX10	involved_in	GO:0016558	protein import into peroxisome matrix	biological_process	ECO:0005547	NAS	PMID:24662292		9606	Homo sapiens	ComplexPortal	Peroxisome biogenesis factor 10	20240902
UniProtKB	O60683	PEX10	involved_in	GO:0016567	protein ubiquitination	biological_process	ECO:0007322	IEA	GO_REF:0000041	UniPathway:UPA00143	9606	Homo sapiens	UniProt	Peroxisome biogenesis factor 10	20240129
UniProtKB	O60683	PEX10	involved_in	GO:0000209	protein polyubiquitination	biological_process	ECO:0000314	IDA	PMID:24662292		9606	Homo sapiens	UniProt	Peroxisome biogenesis factor 10	20220825
