GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9BUL5	PHF23	is_active_in	GO:0005634	nucleus	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN008556172|UniProtKB:Q86YI8|UniProtKB:Q9BUL5	9606	Homo sapiens	GO_Central	PHD finger protein 23	20200320
UniProtKB	Q9BUL5	PHF23	involved_in	GO:0031398	positive regulation of protein ubiquitination	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002684669|UniProtKB:Q9BUL5	9606	Homo sapiens	GO_Central	PHD finger protein 23	20200320
UniProtKB	Q9BUL5	PHF23	involved_in	GO:1901097	negative regulation of autophagosome maturation	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002684669|UniProtKB:Q9BUL5	9606	Homo sapiens	GO_Central	PHD finger protein 23	20200320
UniProtKB	Q9BUL5	PHF23	involved_in	GO:1902902	negative regulation of autophagosome assembly	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN002684669|UniProtKB:Q9BUL5	9606	Homo sapiens	GO_Central	PHD finger protein 23	20200320
UniProtKB	Q9BUL5	PHF23	located_in	GO:0005634	nucleus	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0191	9606	Homo sapiens	UniProt	PHD finger protein 23	20251201
UniProtKB	Q9BUL5	PHF23	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0086	9606	Homo sapiens	UniProt	PHD finger protein 23	20251201
UniProtKB	Q9BUL5	PHF23	involved_in	GO:0006914	autophagy	biological_process	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0072	9606	Homo sapiens	UniProt	PHD finger protein 23	20251201
UniProtKB	Q9BUL5	PHF23	enables	GO:0008270	zinc ion binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0863	9606	Homo sapiens	UniProt	PHD finger protein 23	20251201
UniProtKB	Q9BUL5	PHF23	enables	GO:0046872	metal ion binding	molecular_function	ECO:0007322	IEA	GO_REF:0000043	UniProtKB-KW:KW-0479	9606	Homo sapiens	UniProt	PHD finger protein 23	20251201
UniProtKB	Q9BUL5	PHF23	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:O14901	9606	Homo sapiens	IntAct	PHD finger protein 23	20251129
UniProtKB	Q9BUL5	PHF23	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:P01112	9606	Homo sapiens	IntAct	PHD finger protein 23	20251129
UniProtKB	Q9BUL5	PHF23	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:P06396	9606	Homo sapiens	IntAct	PHD finger protein 23	20251129
UniProtKB	Q9BUL5	PHF23	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:P13473-2	9606	Homo sapiens	IntAct	PHD finger protein 23	20251129
UniProtKB	Q9BUL5	PHF23	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:P22607	9606	Homo sapiens	IntAct	PHD finger protein 23	20251129
UniProtKB	Q9BUL5	PHF23	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:P55212	9606	Homo sapiens	IntAct	PHD finger protein 23	20251129
UniProtKB	Q9BUL5	PHF23	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:P62826	9606	Homo sapiens	IntAct	PHD finger protein 23	20251129
UniProtKB	Q9BUL5	PHF23	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:P99999	9606	Homo sapiens	IntAct	PHD finger protein 23	20251129
UniProtKB	Q9BUL5	PHF23	located_in	GO:0005654	nucleoplasm	cellular_component	ECO:0000314	IDA	GO_REF:0000052		9606	Homo sapiens	HPA	PHD finger protein 23	20251115
UniProtKB	Q9BUL5	PHF23	located_in	GO:0005829	cytosol	cellular_component	ECO:0000314	IDA	GO_REF:0000052		9606	Homo sapiens	HPA	PHD finger protein 23	20251115
UniProtKB	Q9BUL5	PHF23	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:25484098	UniProtKB:Q6UWE0	9606	Homo sapiens	GO_Central	PHD finger protein 23	20150723
UniProtKB	Q9BUL5	PHF23	involved_in	GO:0031398	positive regulation of protein ubiquitination	biological_process	ECO:0000315	IMP	PMID:25484098		9606	Homo sapiens	GO_Central	PHD finger protein 23	20150723
UniProtKB	Q9BUL5	PHF23	involved_in	GO:1901097	negative regulation of autophagosome maturation	biological_process	ECO:0000315	IMP	PMID:25484098		9606	Homo sapiens	GO_Central	PHD finger protein 23	20150723
UniProtKB	Q9BUL5	PHF23	involved_in	GO:1902902	negative regulation of autophagosome assembly	biological_process	ECO:0000315	IMP	PMID:25484098		9606	Homo sapiens	GO_Central	PHD finger protein 23	20150723
