GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P46019	PHKA2	part_of	GO:0005964	phosphorylase kinase complex	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000844181|RGD:15003269|RGD:620186|RGD:621522|UniProtKB:P46020|UniProtKB:Q93100	9606	Homo sapiens	GO_Central	Phosphorylase b kinase regulatory subunit alpha, liver isoform	20251218
UniProtKB	P46019	PHKA2	enables	GO:0004689	phosphorylase kinase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00045050	9606	Homo sapiens	UniProt	Phosphorylase b kinase regulatory subunit alpha, liver isoform	20260616
UniProtKB	P46019	PHKA2	enables	GO:0005516	calmodulin binding	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008734	9606	Homo sapiens	InterPro	Phosphorylase b kinase regulatory subunit alpha, liver isoform	20260616
UniProtKB	P46019	PHKA2	located_in	GO:0005737	cytoplasm	cellular_component	ECO:0000256	IEA	GO_REF:0000117	ARBA:ARBA00026971	9606	Homo sapiens	UniProt	Phosphorylase b kinase regulatory subunit alpha, liver isoform	20260616
UniProtKB	P46019	PHKA2	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0039	9606	Homo sapiens	UniProt	Phosphorylase b kinase regulatory subunit alpha, liver isoform	20260616
UniProtKB	P46019	PHKA2	involved_in	GO:0005975	carbohydrate metabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR008928|InterPro:IPR012341	9606	Homo sapiens	InterPro	Phosphorylase b kinase regulatory subunit alpha, liver isoform	20260616
UniProtKB	P46019	PHKA2	involved_in	GO:0005977	glycogen metabolic process	biological_process	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR008734|UniPathway:UPA00163	9606	Homo sapiens	UniProt	Phosphorylase b kinase regulatory subunit alpha, liver isoform	20260616
UniProtKB	P46019	PHKA2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:23455922	UniProtKB:P15735	9606	Homo sapiens	IntAct	Phosphorylase b kinase regulatory subunit alpha, liver isoform	20260613
UniProtKB	P46019	PHKA2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:26496610	UniProtKB:P15735	9606	Homo sapiens	IntAct	Phosphorylase b kinase regulatory subunit alpha, liver isoform	20260613
UniProtKB	P46019	PHKA2	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:28514442	UniProtKB:P15735	9606	Homo sapiens	IntAct	Phosphorylase b kinase regulatory subunit alpha, liver isoform	20260613
