GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q9NUD9	PIGV	is_active_in	GO:0005789	endoplasmic reticulum membrane	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000279676|SGD:S000000208|UniProtKB:Q9NUD9|WB:WBGene00020375	9606	Homo sapiens	GO_Central	GPI alpha-1,6-mannosyltransferase 2	20260528
UniProtKB	Q9NUD9	PIGV	enables	GO:0120563	dol-P-Man:Man(1)GlcN-acyl-PI alpha-1,6-mannosyltransferase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000279676|SGD:S000000208|UniProtKB:Q9NUD9	9606	Homo sapiens	GO_Central	GPI alpha-1,6-mannosyltransferase 2	20260107
UniProtKB	Q9NUD9	PIGV	part_of	GO:0031501	mannosyltransferase complex	cellular_component	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000279676|SGD:S000000208	9606	Homo sapiens	GO_Central	GPI alpha-1,6-mannosyltransferase 2	20250903
UniProtKB	Q9NUD9	PIGV	involved_in	GO:0006506	GPI anchor biosynthetic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	FB:FBgn0265174|PANTHER:PTN000279676|SGD:S000000208|UniProtKB:Q9NUD9	9606	Homo sapiens	GO_Central	GPI alpha-1,6-mannosyltransferase 2	20170228
UniProtKB	Q9NUD9	PIGV	enables	GO:0000009	alpha-1,6-mannosyltransferase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR007315	9606	Homo sapiens	InterPro	GPI alpha-1,6-mannosyltransferase 2	20260706
UniProtKB	Q9NUD9	PIGV	enables	GO:0004376	GPI mannosyltransferase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR007315	9606	Homo sapiens	InterPro	GPI alpha-1,6-mannosyltransferase 2	20260706
UniProtKB	Q9NUD9	PIGV	located_in	GO:0005789	endoplasmic reticulum membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0097	9606	Homo sapiens	UniProt	GPI alpha-1,6-mannosyltransferase 2	20260706
UniProtKB	Q9NUD9	PIGV	involved_in	GO:0006506	GPI anchor biosynthetic process	biological_process	ECO:0000501	IEA	GO_REF:0000120	InterPro:IPR007315|UniPathway:UPA00196	9606	Homo sapiens	UniProt	GPI alpha-1,6-mannosyltransferase 2	20260706
UniProtKB	Q9NUD9	PIGV	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:P37173	9606	Homo sapiens	IntAct	GPI alpha-1,6-mannosyltransferase 2	20260704
UniProtKB	Q9NUD9	PIGV	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:P45973	9606	Homo sapiens	IntAct	GPI alpha-1,6-mannosyltransferase 2	20260704
UniProtKB	Q9NUD9	PIGV	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:P50454	9606	Homo sapiens	IntAct	GPI alpha-1,6-mannosyltransferase 2	20260704
UniProtKB	Q9NUD9	PIGV	involved_in	GO:0006506	GPI anchor biosynthetic process	biological_process	ECO:0000304	TAS	Reactome:R-HSA-162710		9606	Homo sapiens	Reactome	GPI alpha-1,6-mannosyltransferase 2	20260316
UniProtKB	Q9NUD9	PIGV	located_in	GO:0005783	endoplasmic reticulum	cellular_component	ECO:0000314	IDA	GO_REF:0000052		9606	Homo sapiens	HPA	GPI alpha-1,6-mannosyltransferase 2	20251115
UniProtKB	Q9NUD9	PIGV	enables	GO:0004376	GPI mannosyltransferase activity	molecular_function	ECO:0000304	TAS	Reactome:R-HSA-162873		9606	Homo sapiens	Reactome	GPI alpha-1,6-mannosyltransferase 2	20250815
UniProtKB	Q9NUD9	PIGV	enables	GO:0120563	dol-P-Man:Man(1)GlcN-acyl-PI alpha-1,6-mannosyltransferase activity	molecular_function	ECO:0000315	IMP	PMID:15623507		9606	Homo sapiens	FlyBase	GPI alpha-1,6-mannosyltransferase 2	20250609
UniProtKB	Q9NUD9	PIGV	enables	GO:0120563	dol-P-Man:Man(1)GlcN-acyl-PI alpha-1,6-mannosyltransferase activity	molecular_function	ECO:0000316	IGI	PMID:15623507	UniProtKB:P38211	9606	Homo sapiens	FlyBase	GPI alpha-1,6-mannosyltransferase 2	20250609
UniProtKB	Q9NUD9	PIGV	enables	GO:0000009	alpha-1,6-mannosyltransferase activity	molecular_function	ECO:0000316	IGI	PMID:15720390	UniProtKB:P38211	9606	Homo sapiens	UniProt	GPI alpha-1,6-mannosyltransferase 2	20250110
UniProtKB	Q9NUD9	PIGV	located_in	GO:0005789	endoplasmic reticulum membrane	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-162873		9606	Homo sapiens	Reactome	GPI alpha-1,6-mannosyltransferase 2	20130528
UniProtKB	Q9NUD9	PIGV	located_in	GO:0005789	endoplasmic reticulum membrane	cellular_component	ECO:0000314	IDA	PMID:15623507		9606	Homo sapiens	UniProt	GPI alpha-1,6-mannosyltransferase 2	20060809
UniProtKB	Q9NUD9	PIGV	involved_in	GO:0006506	GPI anchor biosynthetic process	biological_process	ECO:0000315	IMP	PMID:15623507		9606	Homo sapiens	UniProt	GPI alpha-1,6-mannosyltransferase 2	20060809
UniProtKB	Q9NUD9	PIGV	involved_in	GO:0006506	GPI anchor biosynthetic process	biological_process	ECO:0000316	IGI	PMID:15623507	UniProtKB:P38211	9606	Homo sapiens	UniProt	GPI alpha-1,6-mannosyltransferase 2	20060809
UniProtKB	Q9NUD9	PIGV	involved_in	GO:0006506	GPI anchor biosynthetic process	biological_process	ECO:0000316	IGI	PMID:15720390	UniProtKB:P38211	9606	Homo sapiens	UniProt	GPI alpha-1,6-mannosyltransferase 2	20060809
