GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	P00491	PNP	enables	GO:0004731	purine-nucleoside phosphorylase activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:97365|PANTHER:PTN000224756|RGD:1597189|SGD:S000004199|UniProtKB:A4Q998|UniProtKB:P00491|UniProtKB:P45563|UniProtKB:P55859|UniProtKB:P9WP01	9606	Homo sapiens	GO_Central	Purine nucleoside phosphorylase	20260528
UniProtKB	P00491	PNP	is_active_in	GO:0005829	cytosol	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:97365|PANTHER:PTN000224756|UniProtKB:P00491	9606	Homo sapiens	GO_Central	Purine nucleoside phosphorylase	20251224
UniProtKB	P00491	PNP	involved_in	GO:0006148	inosine catabolic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:97365|PANTHER:PTN000224756|SGD:S000004199|UniProtKB:P00491|UniProtKB:P45563	9606	Homo sapiens	GO_Central	Purine nucleoside phosphorylase	20251224
UniProtKB	P00491	PNP	involved_in	GO:0006149	deoxyinosine catabolic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:97365|PANTHER:PTN000224756|UniProtKB:P00491|UniProtKB:P45563	9606	Homo sapiens	GO_Central	Purine nucleoside phosphorylase	20251224
UniProtKB	P00491	PNP	involved_in	GO:0006161	deoxyguanosine catabolic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:97365|PANTHER:PTN000224756|UniProtKB:P45563|UniProtKB:P9WP01	9606	Homo sapiens	GO_Central	Purine nucleoside phosphorylase	20251224
UniProtKB	P00491	PNP	involved_in	GO:0034355	NAD+ biosynthetic process via the salvage pathway	biological_process	ECO:0000318	IBA	GO_REF:0000033	PANTHER:PTN000224756|SGD:S000004199|UniProtKB:P45563	9606	Homo sapiens	GO_Central	Purine nucleoside phosphorylase	20251224
UniProtKB	P00491	PNP	involved_in	GO:0046115	guanosine catabolic process	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:97365|PANTHER:PTN000224756|SGD:S000004199|UniProtKB:P45563	9606	Homo sapiens	GO_Central	Purine nucleoside phosphorylase	20251224
UniProtKB	P00491	PNP	enables	GO:0003824	catalytic activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000845|InterPro:IPR035994	9606	Homo sapiens	InterPro	Purine nucleoside phosphorylase	20260616
UniProtKB	P00491	PNP	enables	GO:0004731	purine-nucleoside phosphorylase activity	molecular_function	ECO:0000501	IEA	GO_REF:0000120	ARBA:ARBA00027754|InterPro:IPR011268|InterPro:IPR011270|RHEA:27646|EC:2.4.2.1	9606	Homo sapiens	UniProt	Purine nucleoside phosphorylase	20260616
UniProtKB	P00491	PNP	located_in	GO:0005829	cytosol	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0091	9606	Homo sapiens	UniProt	Purine nucleoside phosphorylase	20260616
UniProtKB	P00491	PNP	involved_in	GO:0009116	nucleoside metabolic process	biological_process	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR000845|InterPro:IPR035994	9606	Homo sapiens	InterPro	Purine nucleoside phosphorylase	20260616
UniProtKB	P00491	PNP	enables	GO:0016763	pentosyltransferase activity	molecular_function	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR018099	9606	Homo sapiens	InterPro	Purine nucleoside phosphorylase	20260616
UniProtKB	P00491	PNP	enables	GO:0047975	guanosine phosphorylase activity	molecular_function	ECO:0007322	IEA	GO_REF:0000116	RHEA:13233	9606	Homo sapiens	RHEA	Purine nucleoside phosphorylase	20260616
UniProtKB	P00491	PNP	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:O14576-2	9606	Homo sapiens	IntAct	Purine nucleoside phosphorylase	20260613
UniProtKB	P00491	PNP	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:P05067	9606	Homo sapiens	IntAct	Purine nucleoside phosphorylase	20260613
UniProtKB	P00491	PNP	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:P06241	9606	Homo sapiens	IntAct	Purine nucleoside phosphorylase	20260613
UniProtKB	P00491	PNP	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:P14136	9606	Homo sapiens	IntAct	Purine nucleoside phosphorylase	20260613
UniProtKB	P00491	PNP	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:P17612	9606	Homo sapiens	IntAct	Purine nucleoside phosphorylase	20260613
UniProtKB	P00491	PNP	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:P63000	9606	Homo sapiens	IntAct	Purine nucleoside phosphorylase	20260613
UniProtKB	P00491	PNP	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q15583	9606	Homo sapiens	IntAct	Purine nucleoside phosphorylase	20260613
UniProtKB	P00491	PNP	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q92673	9606	Homo sapiens	IntAct	Purine nucleoside phosphorylase	20260613
UniProtKB	P00491	PNP	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q92993-2	9606	Homo sapiens	IntAct	Purine nucleoside phosphorylase	20260613
UniProtKB	P00491	PNP	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q9BXM7	9606	Homo sapiens	IntAct	Purine nucleoside phosphorylase	20260613
UniProtKB	P00491	PNP	enables	GO:0005515	protein binding	molecular_function	ECO:0000353	IPI	PMID:32814053	UniProtKB:Q9UQM7	9606	Homo sapiens	IntAct	Purine nucleoside phosphorylase	20260613
UniProtKB	P00491	PNP	enables	GO:0042802	identical protein binding	molecular_function	ECO:0000353	IPI	PMID:20212140	UniProtKB:P00491	9606	Homo sapiens	IntAct	Purine nucleoside phosphorylase	20260613
UniProtKB	P00491	PNP	enables	GO:0042802	identical protein binding	molecular_function	ECO:0000353	IPI	PMID:25502805	UniProtKB:P00491	9606	Homo sapiens	IntAct	Purine nucleoside phosphorylase	20260613
UniProtKB	P00491	PNP	enables	GO:0042802	identical protein binding	molecular_function	ECO:0000353	IPI	PMID:31515488	UniProtKB:P00491	9606	Homo sapiens	IntAct	Purine nucleoside phosphorylase	20260613
UniProtKB	P00491	PNP	enables	GO:0042802	identical protein binding	molecular_function	ECO:0000353	IPI	PMID:32296183	UniProtKB:P00491	9606	Homo sapiens	IntAct	Purine nucleoside phosphorylase	20260613
UniProtKB	P00491	PNP	located_in	GO:0005829	cytosol	cellular_component	ECO:0000314	IDA	GO_REF:0000052		9606	Homo sapiens	HPA	Purine nucleoside phosphorylase	20251115
UniProtKB	P00491	PNP	enables	GO:0047975	guanosine phosphorylase activity	molecular_function	ECO:0000269	EXP	PMID:9305964		9606	Homo sapiens	UniProt	Purine nucleoside phosphorylase	20251027
UniProtKB	P00491	PNP	enables	GO:0004731	purine-nucleoside phosphorylase activity	molecular_function	ECO:0000314	IDA	PMID:6771276		9606	Homo sapiens	MGI	Purine nucleoside phosphorylase	20220304
UniProtKB	P00491	PNP	acts_upstream_of_or_within	GO:0006149	deoxyinosine catabolic process	biological_process	ECO:0000314	IDA	PMID:6771276		9606	Homo sapiens	MGI	Purine nucleoside phosphorylase	20220304
UniProtKB	P00491	PNP	acts_upstream_of_or_within	GO:0006157	deoxyadenosine catabolic process	biological_process	ECO:0000314	IDA	PMID:6771276		9606	Homo sapiens	MGI	Purine nucleoside phosphorylase	20220304
UniProtKB	P00491	PNP	acts_upstream_of_or_within	GO:0006204	IMP catabolic process	biological_process	ECO:0000314	IDA	PMID:6771276		9606	Homo sapiens	MGI	Purine nucleoside phosphorylase	20220304
UniProtKB	P00491	PNP	acts_upstream_of_or_within	GO:0046059	dAMP catabolic process	biological_process	ECO:0000314	IDA	PMID:6771276		9606	Homo sapiens	MGI	Purine nucleoside phosphorylase	20220304
UniProtKB	P00491	PNP	located_in	GO:0005829	cytosol	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-9735775		9606	Homo sapiens	Reactome	Purine nucleoside phosphorylase	20210702
UniProtKB	P00491	PNP	located_in	GO:0005829	cytosol	cellular_component	ECO:0000304	TAS	Reactome:R-HSA-9735789		9606	Homo sapiens	Reactome	Purine nucleoside phosphorylase	20210702
UniProtKB	P00491	PNP	enables	GO:0004731	purine-nucleoside phosphorylase activity	molecular_function	ECO:0000314	IDA	PMID:6771276		9606	Homo sapiens	MGI	Purine nucleoside phosphorylase	20210326
UniProtKB	P00491	PNP	involved_in	GO:0006149	deoxyinosine catabolic process	biological_process	ECO:0000314	IDA	PMID:6771276		9606	Homo sapiens	MGI	Purine nucleoside phosphorylase	20210326
UniProtKB	P00491	PNP	involved_in	GO:0006157	deoxyadenosine catabolic process	biological_process	ECO:0000314	IDA	PMID:6771276		9606	Homo sapiens	MGI	Purine nucleoside phosphorylase	20210325
UniProtKB	P00491	PNP	involved_in	GO:0006204	IMP catabolic process	biological_process	ECO:0000314	IDA	PMID:6771276		9606	Homo sapiens	MGI	Purine nucleoside phosphorylase	20201118
UniProtKB	P00491	PNP	involved_in	GO:0000255	allantoin metabolic process	biological_process	ECO:0000314	IDA	PMID:6771276		9606	Homo sapiens	MGI	Purine nucleoside phosphorylase	20201111
UniProtKB	P00491	PNP	involved_in	GO:0046059	dAMP catabolic process	biological_process	ECO:0000314	IDA	PMID:6771276		9606	Homo sapiens	MGI	Purine nucleoside phosphorylase	20201111
UniProtKB	P00491	PNP	enables	GO:0004731	purine-nucleoside phosphorylase activity	molecular_function	ECO:0000314	IDA	PMID:5056638		9606	Homo sapiens	MGI	Purine nucleoside phosphorylase	20201110
UniProtKB	P00491	PNP	enables	GO:0004731	purine-nucleoside phosphorylase activity	molecular_function	ECO:0000314	IDA	PMID:5056638		9606	Homo sapiens	MGI	Purine nucleoside phosphorylase	20201110
UniProtKB	P00491	PNP	enables	GO:0004731	purine-nucleoside phosphorylase activity	molecular_function	ECO:0000314	IDA	PMID:6771276		9606	Homo sapiens	MGI	Purine nucleoside phosphorylase	20201110
UniProtKB	P00491	PNP	enables	GO:0004731	purine-nucleoside phosphorylase activity	molecular_function	ECO:0000314	IDA	PMID:6771276		9606	Homo sapiens	MGI	Purine nucleoside phosphorylase	20201110
UniProtKB	P00491	PNP	enables	GO:0004731	purine-nucleoside phosphorylase activity	molecular_function	ECO:0000314	IDA	PMID:6771276		9606	Homo sapiens	MGI	Purine nucleoside phosphorylase	20201110
UniProtKB	P00491	PNP	enables	GO:0004731	purine-nucleoside phosphorylase activity	molecular_function	ECO:0000314	IDA	PMID:6771276		9606	Homo sapiens	MGI	Purine nucleoside phosphorylase	20201110
