GENE PRODUCT DB	GENE PRODUCT ID	SYMBOL	QUALIFIER	GO TERM	GO NAME	GO ASPECT	ECO ID	GO EVIDENCE CODE	REFERENCE	WITH/FROM	TAXON ID	TAXON NAME	ASSIGNED BY	GENE NAME	DATE
UniProtKB	Q99946	PRRT1	enables	GO:0030545	signaling receptor regulator activity	molecular_function	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1932118|PANTHER:PTN002686861	9606	Homo sapiens	GO_Central	Proline-rich transmembrane protein 1	20250821
UniProtKB	Q99946	PRRT1	is_active_in	GO:0045211	postsynaptic membrane	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1932118|PANTHER:PTN002686861|RGD:1359348	9606	Homo sapiens	GO_Central	Proline-rich transmembrane protein 1	20250821
UniProtKB	Q99946	PRRT1	involved_in	GO:0050808	synapse organization	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1932118|PANTHER:PTN002686861	9606	Homo sapiens	GO_Central	Proline-rich transmembrane protein 1	20250821
UniProtKB	Q99946	PRRT1	is_active_in	GO:0098978	glutamatergic synapse	cellular_component	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1932118|PANTHER:PTN002686861|RGD:1359348	9606	Homo sapiens	GO_Central	Proline-rich transmembrane protein 1	20250821
UniProtKB	Q99946	PRRT1	involved_in	GO:2000311	regulation of AMPA receptor activity	biological_process	ECO:0000318	IBA	GO_REF:0000033	MGI:MGI:1932118|PANTHER:PTN002686861	9606	Homo sapiens	GO_Central	Proline-rich transmembrane protein 1	20250821
UniProtKB	Q99946	PRRT1	located_in	GO:0005886	plasma membrane	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0039	9606	Homo sapiens	UniProt	Proline-rich transmembrane protein 1	20260105
UniProtKB	Q99946	PRRT1	located_in	GO:0016020	membrane	cellular_component	ECO:0000256	IEA	GO_REF:0000002	InterPro:IPR007593	9606	Homo sapiens	InterPro	Proline-rich transmembrane protein 1	20260105
UniProtKB	Q99946	PRRT1	located_in	GO:0045202	synapse	cellular_component	ECO:0007322	IEA	GO_REF:0000044	UniProtKB-SubCell:SL-0258	9606	Homo sapiens	UniProt	Proline-rich transmembrane protein 1	20260105
UniProtKB	Q99946	PRRT1	enables	GO:0030545	signaling receptor regulator activity	molecular_function	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O35449|ensembl:ENSMUSP00000015620	9606	Homo sapiens	Ensembl	Proline-rich transmembrane protein 1	20251226
UniProtKB	Q99946	PRRT1	is_active_in	GO:0030672	synaptic vesicle membrane	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O35449|ensembl:ENSMUSP00000015620	9606	Homo sapiens	Ensembl	Proline-rich transmembrane protein 1	20251226
UniProtKB	Q99946	PRRT1	involved_in	GO:0034394	protein localization to cell surface	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O35449|ensembl:ENSMUSP00000015620	9606	Homo sapiens	Ensembl	Proline-rich transmembrane protein 1	20251226
UniProtKB	Q99946	PRRT1	involved_in	GO:0060292	long-term synaptic depression	biological_process	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O35449|ensembl:ENSMUSP00000015620	9606	Homo sapiens	Ensembl	Proline-rich transmembrane protein 1	20251226
UniProtKB	Q99946	PRRT1	is_active_in	GO:0098839	postsynaptic density membrane	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O35449|ensembl:ENSMUSP00000015620	9606	Homo sapiens	Ensembl	Proline-rich transmembrane protein 1	20251226
UniProtKB	Q99946	PRRT1	is_active_in	GO:0098978	glutamatergic synapse	cellular_component	ECO:0000265	IEA	GO_REF:0000107	UniProtKB:O35449|ensembl:ENSMUSP00000015620	9606	Homo sapiens	Ensembl	Proline-rich transmembrane protein 1	20251226
UniProtKB	Q99946	PRRT1	involved_in	GO:0006468	protein phosphorylation	biological_process	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:O35449	9606	Homo sapiens	UniProt	Proline-rich transmembrane protein 1	20201013
UniProtKB	Q99946	PRRT1	involved_in	GO:0034394	protein localization to cell surface	biological_process	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:O35449	9606	Homo sapiens	UniProt	Proline-rich transmembrane protein 1	20201013
UniProtKB	Q99946	PRRT1	involved_in	GO:0060292	long-term synaptic depression	biological_process	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:O35449	9606	Homo sapiens	UniProt	Proline-rich transmembrane protein 1	20201013
UniProtKB	Q99946	PRRT1	involved_in	GO:2000311	regulation of AMPA receptor activity	biological_process	ECO:0000250	ISS	GO_REF:0000024	UniProtKB:O35449	9606	Homo sapiens	UniProt	Proline-rich transmembrane protein 1	20201013
